time	Pump B:Displacement [µL]
00:00:00.010	12.050
00:00:11.745	12.050
00:00:12.314	12.100
00:00:12.744	12.180
00:00:13.189	12.260
00:00:13.615	12.330
00:00:14.055	12.390
00:00:14.505	12.450
00:00:14.945	12.500
00:00:15.434	12.580
00:00:15.825	12.640
00:00:16.265	12.710
00:00:16.695	12.770
00:00:17.125	12.790
00:00:17.555	12.800
00:00:19.855	12.800
00:00:20.185	12.810
00:00:21.885	12.810
00:00:21.905	12.820
00:00:24.925	12.820
00:00:25.414	12.830
00:00:25.864	12.840
00:00:26.955	12.840
00:00:27.634	12.850
00:00:28.925	12.860
00:00:29.995	12.860
00:00:30.235	12.870
00:00:31.565	12.880
00:00:32.865	12.890
00:00:34.055	12.890
00:00:34.605	12.900
00:00:35.475	12.910
00:00:37.095	12.910
00:00:37.225	12.920
00:00:38.085	12.930
00:00:38.955	12.940
00:00:39.815	12.950
00:00:40.235	12.970
00:00:43.175	12.970
00:00:43.285	12.980
00:00:45.205	12.980
00:00:45.933	12.990
00:00:47.235	12.990
00:00:48.188	13.000
00:02:07.343	13.000
00:02:07.411	12.770
00:02:07.841	12.500
00:02:08.271	12.230
00:02:08.701	11.950
00:02:09.131	11.680
00:02:09.561	11.410
00:02:09.991	11.140
00:02:10.421	10.860
00:02:10.851	10.590
00:02:11.281	10.320
00:02:11.711	10.050
00:02:12.141	9.770
00:02:12.571	9.500
00:02:13.001	9.230
00:02:13.431	8.960
00:02:13.851	8.690
00:02:14.281	8.420
00:02:14.721	8.140
00:02:15.156	7.860
00:02:15.581	7.600
00:02:16.011	7.320
00:02:16.441	7.050
00:02:16.871	6.780
00:02:17.301	6.510
00:02:17.741	6.230
00:02:18.171	5.960
00:02:18.601	5.680
00:02:19.031	5.410
00:02:19.461	5.140
00:02:19.901	4.860
00:02:20.331	4.590
00:02:20.761	4.320
00:02:21.190	4.040
00:02:21.621	3.770
00:02:22.051	3.500
00:02:22.480	3.230
00:02:22.910	2.950
00:02:23.350	2.670
00:02:23.780	2.400
00:02:24.220	2.120
00:02:24.660	1.840
00:02:25.090	1.570
00:02:25.520	1.300
00:02:25.950	1.030
00:02:26.380	0.760
00:02:26.810	0.480
00:02:27.260	0.200
00:02:27.715	0.000
00:04:40.449	0.000
00:04:40.639	0.290
00:04:41.089	0.780
00:04:41.509	1.190
00:04:41.929	1.610
00:04:42.379	1.850
00:04:42.836	2.140
00:04:44.509	2.140
00:04:44.616	2.150
00:04:45.036	2.160
00:04:45.456	2.180
00:04:45.876	2.190
00:04:46.296	2.210
00:04:46.726	2.230
00:04:47.146	2.250
00:04:47.566	2.270
00:04:47.986	2.290
00:04:48.406	2.320
00:04:48.826	2.340
00:04:49.246	2.360
00:04:49.671	2.380
00:04:50.096	2.400
00:04:50.516	2.420
00:04:50.936	2.430
00:04:51.356	2.450
00:04:51.786	2.470
00:04:52.206	2.490
00:04:52.636	2.510
00:04:53.056	2.540
00:04:53.476	2.560
00:04:53.896	2.580
00:04:54.316	2.600
00:04:54.736	2.620
00:04:55.156	2.650
00:04:55.576	2.670
00:04:55.996	2.700
00:04:56.416	2.720
00:04:56.836	2.750
00:04:57.256	2.780
00:04:57.676	2.800
00:04:58.096	2.830
00:04:58.516	2.860
00:04:58.936	2.890
00:04:59.356	2.920
00:04:59.776	2.950
00:05:00.196	2.980
00:05:00.616	3.010
00:05:01.036	3.040
00:05:01.456	3.080
00:05:01.876	3.110
