time	Pump B:Displacement [µL]
00:05:02.296	3.140
00:05:02.716	3.180
00:05:03.136	3.210
00:05:03.556	3.250
00:05:03.986	3.290
00:05:04.406	3.320
00:05:04.826	3.360
00:05:05.246	3.400
00:05:05.666	3.440
00:05:06.086	3.480
00:05:06.506	3.520
00:05:06.926	3.560
00:05:07.346	3.600
00:05:07.766	3.640
00:05:08.186	3.680
00:05:08.606	3.730
00:05:09.026	3.770
00:05:09.446	3.810
00:05:09.866	3.860
00:05:10.286	3.910
00:05:10.706	3.950
00:05:11.126	3.990
00:05:11.545	4.040
00:05:11.965	4.090
00:05:12.385	4.140
00:05:12.806	4.190
00:05:13.226	4.230
00:05:13.645	4.280
00:05:14.066	4.330
00:05:14.485	4.380
00:05:14.905	4.430
00:05:15.325	4.480
00:05:15.745	4.540
00:05:16.165	4.590
00:05:16.585	4.640
00:05:17.015	4.700
00:05:17.435	4.750
00:05:17.855	4.810
00:05:18.285	4.860
00:05:18.705	4.920
00:05:19.125	4.970
00:05:19.545	5.030
00:05:19.965	5.080
00:05:20.385	5.130
00:05:20.815	5.190
00:05:21.235	5.240
00:05:21.665	5.300
00:05:22.085	5.350
00:05:22.505	5.400
00:05:22.925	5.450
00:05:23.345	5.510
00:05:23.765	5.560
00:05:24.185	5.610
00:05:24.605	5.660
00:05:25.025	5.710
00:05:25.445	5.760
00:05:25.865	5.810
00:05:26.285	5.860
00:05:26.714	5.910
00:05:27.135	5.960
00:05:27.555	6.010
00:05:27.975	6.070
00:05:28.395	6.110
00:05:28.815	6.160
00:05:29.235	6.210
00:05:29.655	6.260
00:05:30.075	6.310
00:05:30.495	6.360
00:05:30.915	6.410
00:05:31.335	6.450
00:05:31.770	6.500
00:05:32.195	6.550
00:05:32.625	6.600
00:05:33.045	6.640
00:05:33.465	6.690
00:05:33.885	6.740
00:05:34.305	6.780
00:05:34.725	6.830
00:05:35.145	6.880
00:05:35.565	6.920
00:05:35.985	6.970
00:05:36.415	7.010
00:05:36.849	7.060
00:05:37.255	7.100
00:05:37.680	7.150
00:05:38.105	7.200
00:05:38.525	7.240
00:05:38.945	7.280
00:05:39.365	7.330
00:05:39.785	7.370
00:05:40.205	7.420
00:05:40.635	7.460
00:05:41.055	7.500
00:05:41.475	7.550
00:05:41.895	7.590
00:05:42.314	7.640
00:05:42.735	7.680
00:05:43.155	7.730
00:05:43.575	7.770
00:05:43.994	7.810
00:05:44.414	7.860
00:05:44.835	7.900
00:05:45.255	7.940
00:05:45.675	7.990
00:05:46.094	8.030
00:05:46.515	8.070
00:05:46.935	8.110
00:05:47.355	8.160
00:05:47.774	8.200
00:05:48.194	8.240
00:05:48.614	8.280
00:05:49.034	8.330
00:05:49.454	8.370
00:05:49.874	8.410
00:05:50.314	8.450
00:05:50.734	8.490
00:05:51.154	8.530
00:05:51.574	8.570
00:05:51.994	8.610
00:05:52.414	8.650
00:05:52.834	8.690
00:05:53.254	8.730
00:05:53.674	8.770
00:05:54.094	8.810
00:05:54.529	8.850
00:05:54.954	8.890
00:05:55.374	8.930
00:05:55.794	8.970
00:05:56.214	9.000
00:05:56.634	9.040
00:05:57.054	9.080
00:05:57.474	9.120
00:05:57.894	9.150
00:05:58.314	9.190
00:05:58.734	9.230
00:05:59.154	9.260
00:05:59.581	9.300
00:05:59.994	9.340
00:06:00.414	9.370
00:06:00.834	9.400
00:06:01.254	9.440
00:06:01.684	9.480
00:06:02.104	9.510
00:06:02.524	9.550
00:06:02.944	9.580
00:06:03.364	9.610
00:06:03.794	9.650
00:06:04.214	9.680
00:06:04.634	9.710
00:06:05.054	9.750
00:06:05.494	9.780
00:06:05.914	9.820
00:06:06.339	9.850
00:06:06.764	9.880
00:06:07.184	9.910
00:06:07.604	9.940
00:06:08.024	9.970
00:06:08.444	10.000
00:06:08.874	10.030
00:06:09.294	10.070
00:06:09.714	10.100
00:06:10.134	10.130
00:06:10.564	10.150
00:06:10.984	10.190
00:06:11.404	10.220
00:06:11.824	10.240
00:06:12.244	10.270
00:06:12.664	10.300
00:06:13.094	10.330
00:06:13.514	10.360
00:06:13.934	10.390
00:06:14.354	10.410
00:06:14.774	10.440
00:06:15.194	10.470
00:06:15.624	10.500
00:06:16.044	10.520
00:06:16.464	10.550
00:06:16.884	10.580
00:06:17.304	10.600
00:06:17.724	10.630
00:06:18.154	10.650
00:06:18.573	10.680
00:06:18.994	10.710
00:06:19.414	10.730
00:06:19.833	10.750
00:06:20.254	10.780
00:06:20.674	10.800
00:06:21.094	10.830
00:06:21.514	10.850
00:06:21.933	10.880
00:06:22.353	10.900
00:06:22.773	10.920
00:06:23.193	10.950
00:06:23.613	10.970
00:06:24.033	10.990
00:06:24.463	11.010
00:06:24.883	11.030
00:06:25.303	11.060
00:06:25.723	11.080
00:06:26.143	11.100
00:06:26.563	11.120
00:06:26.983	11.140
00:06:27.403	11.160
00:06:27.823	11.190
00:06:28.243	11.210
00:06:28.663	11.230
00:06:29.083	11.250
00:06:29.513	11.260
00:06:29.943	11.280
00:06:30.368	11.310
00:06:30.793	11.330
00:06:31.213	11.350
00:06:31.633	11.360
00:06:32.063	11.380
00:06:32.493	11.400
00:06:32.913	11.420
00:06:33.333	11.440
00:06:33.763	11.460
00:06:34.183	11.470
00:06:34.603	11.490
00:06:35.023	11.510
00:06:35.443	11.520
00:06:35.863	11.540
00:06:36.293	11.560
00:06:36.713	11.580
00:06:37.133	11.590
00:06:37.553	11.610
00:06:37.983	11.620
00:06:38.403	11.630
00:06:38.823	11.650
00:06:39.248	11.670
00:06:39.683	11.690
00:06:40.103	11.700
00:06:40.533	11.710
00:06:40.963	11.730
00:06:41.403	11.740
00:06:41.833	11.750
00:06:42.253	11.770
00:06:42.683	11.780
00:06:43.103	11.800
00:06:43.533	11.810
00:06:43.963	11.830
00:06:44.403	11.840
00:06:44.833	11.850
00:06:45.273	11.860
00:06:45.693	11.870
00:06:46.123	11.880
00:06:46.543	11.890
00:06:46.973	11.910
00:06:47.403	11.920
00:06:47.838	11.930
00:06:48.273	11.940
00:06:48.693	11.950
00:06:49.143	11.960
00:07:12.733	11.960
