time	Pump D:Actual flow [µL/min]
00:00:00.010	-0.002
00:00:00.375	0.005
00:00:00.895	0.011
00:00:01.400	-0.014
00:00:01.845	0.011
00:00:02.305	-0.002
00:00:02.760	0.018
00:00:03.175	-0.002
00:00:03.604	-0.008
00:00:04.035	-0.014
00:00:04.475	0.011
00:00:04.905	-0.021
00:00:05.335	-0.008
00:00:05.775	-0.002
00:00:06.635	-0.008
00:00:07.495	-0.002
00:00:07.934	0.011
00:00:08.394	-0.040
00:00:08.879	-0.014
00:00:09.369	-0.008
00:00:09.834	0.005
00:00:10.294	-0.194
00:00:10.724	0.191
00:00:11.164	0.018
00:00:11.589	-0.059
00:00:12.024	-0.625
00:00:12.454	0.063
00:00:12.884	-0.239
00:00:13.354	-0.072
00:00:13.784	0.043
00:00:14.224	0.673
00:00:14.674	7.365
00:00:15.114	13.251
00:00:15.574	19.274
00:00:16.004	24.690
00:00:16.434	30.794
00:00:16.869	32.852
00:00:17.304	32.798
00:00:17.734	32.454
00:00:18.179	32.281
00:00:18.629	32.149
00:00:19.064	32.056
00:00:19.494	31.990
00:00:19.934	31.939
00:00:20.354	31.977
00:00:20.784	32.122
00:00:21.214	31.863
00:00:21.644	31.519
00:00:22.074	22.498
00:00:22.514	15.610
00:00:22.954	13.106
00:00:23.384	12.326
00:00:23.824	12.012
00:00:24.254	11.877
00:00:24.694	11.563
00:00:25.134	11.294
00:00:25.554	10.890
00:00:26.004	10.621
00:00:26.444	10.460
00:00:26.884	10.110
00:00:27.334	9.795
00:00:27.784	9.439
00:00:28.224	9.182
00:00:28.659	8.826
00:00:29.124	8.569
00:00:29.554	8.255
00:00:29.984	7.975
00:00:30.419	7.774
00:00:30.874	7.619
00:00:31.309	7.457
00:00:31.754	7.311
00:00:32.184	6.839
00:00:32.609	6.592
00:00:33.044	6.445
00:00:33.474	6.299
00:00:33.913	6.036
00:00:34.343	5.674
00:00:34.774	5.586
00:00:35.214	5.233
00:00:35.654	5.020
00:00:36.094	5.086
00:00:36.524	4.675
00:00:36.964	4.560
00:00:37.394	4.330
00:00:37.834	4.000
00:00:38.264	3.707
00:00:38.694	3.664
00:00:39.124	3.351
00:00:39.554	1.651
00:00:39.984	0.493
00:00:40.414	-0.079
00:00:40.864	0.056
00:00:41.294	0.223
00:00:41.723	0.236
00:00:42.153	0.133
00:00:42.583	0.075
00:00:43.463	-0.002
00:00:43.893	0.018
00:00:44.323	0.011
00:00:44.753	-0.059
00:00:45.193	-0.034
00:00:45.643	0.030
00:00:46.073	-0.072
00:00:46.503	-0.027
00:00:46.933	-0.008
00:00:48.244	-0.008
00:00:48.368	37.724
00:00:48.833	24.830
00:00:49.293	16.009
00:00:49.723	11.034
00:00:50.153	7.411
00:00:50.593	5.461
00:00:51.023	3.921
00:00:51.463	3.073
00:00:51.893	2.463
00:00:52.323	1.925
00:00:52.753	1.617
00:00:53.183	1.364
00:00:53.613	1.179
00:00:54.043	1.055
00:00:54.473	0.904
00:00:54.903	0.827
00:00:55.343	0.731
00:00:55.773	0.673
00:00:56.203	0.641
00:00:56.633	0.576
00:00:57.063	0.531
00:00:57.503	0.480
00:00:57.933	0.461
00:00:58.363	0.422
00:00:58.793	0.403
00:00:59.233	0.358
00:00:59.663	0.332
00:01:00.093	0.339
00:01:00.523	0.332
00:01:01.018	0.281
00:01:01.913	-0.059
00:01:02.343	-0.040
00:01:02.773	0.602
00:01:03.203	0.531
00:01:03.633	0.442
00:01:04.063	0.364
00:01:04.493	0.287
00:01:04.923	0.223
00:01:05.353	0.159
00:01:05.783	0.127
00:01:06.213	0.146
00:01:06.643	0.140
00:01:07.073	0.127
00:01:07.503	0.133
00:01:08.373	0.127
00:01:08.803	0.095
00:01:09.233	0.108
00:01:10.093	0.133
00:01:10.523	0.114
00:01:10.953	0.133
00:01:11.383	0.088
00:01:11.813	0.095
00:01:12.243	0.120
00:01:12.672	0.108
00:01:13.103	0.095
00:01:13.533	0.108
00:01:13.963	0.095
00:01:14.402	0.101
00:01:14.833	0.082
00:01:15.692	0.088
00:01:16.122	0.082
00:01:16.552	0.101
00:01:16.982	0.088
00:01:17.412	0.082
00:01:17.842	0.075
00:01:18.277	0.069
00:01:18.712	0.082
00:01:19.142	0.095
00:01:19.572	0.063
00:01:20.002	0.069
00:01:20.432	0.056
00:01:20.862	0.063
00:01:21.292	0.050
00:01:22.152	0.056
00:01:23.012	0.063
00:01:23.442	0.037
00:01:23.882	0.043
00:01:24.312	0.037
00:01:24.742	0.075
00:01:25.172	0.063
00:01:25.602	0.056
00:01:26.032	0.030
00:01:26.472	0.050
00:01:26.902	0.030
00:01:27.332	0.056
00:01:27.762	0.043
