time	Pump C:Pressure [bar]
00:00:00.010	-0.800
00:00:00.305	0.000
00:00:01.606	0.000
00:00:01.775	-0.800
00:00:02.235	0.000
00:00:02.675	-0.800
00:00:03.105	0.000
00:00:04.405	-0.800
00:00:04.835	0.000
00:00:10.725	0.000
00:00:11.514	-0.800
00:00:11.954	1.700
00:00:12.384	3.500
00:00:12.814	6.900
00:00:13.274	9.500
00:00:13.734	11.300
00:00:14.154	13.000
00:00:14.604	12.100
00:00:15.795	12.100
00:00:15.924	11.300
00:00:17.224	12.100
00:00:18.094	11.300
00:00:18.544	12.100
00:00:18.984	11.300
00:00:21.885	11.300
00:00:21.994	14.700
00:00:22.424	18.200
00:00:22.874	19.000
00:00:24.925	19.000
00:00:25.484	19.900
00:00:26.955	19.900
00:00:27.264	20.800
00:00:27.704	19.900
00:00:28.144	20.800
00:00:29.995	20.800
00:00:30.334	21.600
00:00:30.794	20.800
00:00:31.224	21.600
00:00:34.055	21.600
00:00:34.263	22.500
00:00:35.574	21.600
00:00:36.014	22.500
00:00:36.444	21.600
00:00:36.884	22.500
00:00:37.314	21.600
00:00:37.753	22.500
00:00:38.184	21.600
00:00:38.614	22.500
00:00:48.244	22.500
00:00:48.753	14.700
00:00:49.218	10.400
00:00:49.653	7.800
00:00:50.083	6.100
00:00:50.523	4.300
00:00:50.953	3.500
00:00:51.393	2.600
00:00:51.823	1.700
00:00:53.113	0.900
00:00:55.344	0.900
00:00:55.703	0.000
00:01:01.424	0.000
00:01:01.843	6.900
00:01:02.273	8.700
00:01:02.703	9.500
00:01:03.133	8.700
00:01:03.563	7.800
00:01:04.423	6.900
00:01:04.853	7.800
00:01:26.784	7.800
00:01:26.832	8.700
00:01:27.262	7.800
00:01:29.824	7.800
00:01:29.852	8.700
00:01:30.282	7.800
00:01:59.223	7.800
00:02:00.021	8.700
00:02:00.451	7.800
00:02:01.821	-0.800
00:02:02.681	0.000
00:02:03.111	-0.800
00:02:04.293	-0.800
00:02:04.841	0.000
00:02:05.271	-0.800
00:02:05.701	0.000
00:02:06.561	-0.800
00:02:07.036	0.000
00:02:07.481	-0.800
00:02:16.463	-0.800
00:02:17.371	0.000
00:02:17.811	-0.800
00:02:18.241	0.000
00:02:18.671	-0.800
00:02:21.532	-0.800
00:02:22.551	0.000
00:02:22.981	-0.800
00:02:27.622	-0.800
00:02:27.780	0.000
00:02:42.832	0.000
00:02:42.840	-0.800
00:02:43.270	0.000
00:02:51.952	0.000
00:02:52.780	-0.800
00:02:53.210	0.000
00:03:02.092	0.000
00:03:02.259	-0.800
00:03:02.689	0.000
00:03:06.151	0.000
00:03:06.999	-0.800
00:03:07.859	0.000
00:03:22.371	0.000
00:03:22.529	-0.800
00:03:23.389	0.000
00:03:23.819	-0.800
00:03:24.249	0.000
00:03:25.411	0.000
00:03:25.979	-0.800
00:03:26.409	0.000
00:03:31.501	0.000
00:03:31.573	-0.800
00:03:32.008	0.000
00:03:37.581	0.000
00:03:38.028	-0.800
00:03:38.458	0.000
00:03:44.681	0.000
00:03:45.318	-0.800
00:03:45.748	0.000
00:03:47.468	-0.800
00:03:48.318	0.000
00:03:49.178	-0.800
00:03:49.608	0.000
00:03:54.820	0.000
00:03:55.158	-0.800
00:03:55.578	0.000
00:04:01.920	0.000
00:04:01.928	-0.800
00:04:02.348	0.000
00:04:03.950	0.000
00:04:04.898	-0.800
00:04:05.737	0.000
00:04:06.990	0.000
00:04:07.417	-0.800
00:04:07.837	0.000
00:04:16.110	0.000
00:04:16.267	-0.800
00:04:16.687	0.000
00:04:20.170	0.000
