time	Pump C:Pressure [bar]
00:04:20.477	-0.800
00:04:20.897	0.000
00:04:28.280	0.000
00:04:28.487	-0.800
00:04:28.907	0.000
00:04:39.439	0.000
00:04:39.847	-0.800
00:04:40.286	0.000
00:04:40.736	0.000
00:04:41.159	-0.800
00:04:42.009	0.000
00:04:42.459	-0.800
00:04:43.489	-0.800
00:04:43.851	0.000
00:04:45.106	0.900
00:04:45.526	1.700
00:04:45.946	2.600
00:04:46.366	3.500
00:04:46.796	4.300
00:04:47.216	5.200
00:04:48.056	6.100
00:04:48.896	6.900
00:05:02.759	6.900
00:05:03.626	7.800
00:05:04.056	6.900
00:05:04.476	7.800
00:05:04.896	6.900
00:05:05.316	7.800
00:05:25.069	7.800
00:05:25.515	6.900
00:05:35.208	6.900
00:05:35.635	6.100
00:05:36.485	6.900
00:05:36.905	6.100
00:05:37.325	6.900
00:05:37.755	6.100
00:05:38.595	6.900
00:05:40.275	6.100
00:05:47.368	6.100
00:05:48.264	5.200
00:05:49.398	5.200
00:05:49.524	6.100
00:05:50.384	5.200
00:06:01.568	5.200
00:06:01.754	4.300
00:06:02.594	5.200
00:06:03.014	4.300
00:06:03.864	5.200
00:06:04.284	4.300
00:06:08.667	4.300
00:06:09.364	3.500
00:06:09.784	4.300
00:06:11.054	3.500
00:06:11.474	4.300
00:06:11.894	3.500
00:06:12.314	4.300
00:06:13.737	4.300
00:06:14.004	3.500
00:06:14.424	4.300
00:06:14.844	3.500
00:06:22.857	3.500
00:06:23.263	2.600
00:06:23.683	3.500
00:06:24.108	2.600
00:06:24.953	3.500
00:06:25.373	2.600
00:06:36.047	2.600
00:06:36.363	1.700
00:06:48.207	1.700
00:06:48.768	0.900
00:06:49.203	0.000
00:06:57.336	0.000
00:06:57.358	-0.800
00:06:57.782	0.000
00:06:59.042	-0.800
00:07:00.376	-0.800
00:07:00.782	0.000
00:07:01.212	-0.800
00:07:01.637	0.000
00:07:02.537	-0.800
00:07:02.987	0.000
00:07:08.486	0.000
00:07:08.637	-0.800
00:07:09.072	0.000
00:07:09.502	-0.800
00:07:09.942	0.000
00:07:12.733	0.000
