time	Pump C:Setpoint []
00:06:05.984	11.567
00:06:06.414	11.497
00:06:06.834	11.427
00:06:07.254	11.339
00:06:07.674	11.269
00:06:08.094	11.199
00:06:08.514	11.128
00:06:08.944	11.041
00:06:09.364	10.970
00:06:09.784	10.900
00:06:10.204	10.830
00:06:10.634	10.760
00:06:11.054	10.672
00:06:11.474	10.602
00:06:11.894	10.531
00:06:12.314	10.461
00:06:12.746	10.391
00:06:13.164	10.303
00:06:13.584	10.233
00:06:14.004	10.163
00:06:14.424	10.093
00:06:14.843	10.005
00:06:15.264	9.935
00:06:15.694	9.864
00:06:16.114	9.794
00:06:16.533	9.724
00:06:16.954	9.636
00:06:17.374	9.566
00:06:17.794	9.496
00:06:18.224	9.425
00:06:18.644	9.338
00:06:19.064	9.267
00:06:19.484	9.197
00:06:19.904	9.127
00:06:20.324	9.057
00:06:20.744	8.969
00:06:21.164	8.899
00:06:21.583	8.829
00:06:22.003	8.758
00:06:22.424	8.688
00:06:22.843	8.600
00:06:23.263	8.530
00:06:23.683	8.460
00:06:24.108	8.390
00:06:24.533	8.319
00:06:24.953	8.232
00:06:25.373	8.161
00:06:25.793	8.091
00:06:26.213	8.021
00:06:26.633	7.951
00:06:27.053	7.863
00:06:27.473	7.793
00:06:27.893	7.723
00:06:28.313	7.652
00:06:28.733	7.582
00:06:29.153	7.494
00:06:29.583	7.424
00:06:30.013	7.354
00:06:30.443	7.266
00:06:30.863	7.196
00:06:31.283	7.126
00:06:31.703	7.055
00:06:32.133	6.985
00:06:32.563	6.897
00:06:32.983	6.827
00:06:33.403	6.757
00:06:33.833	6.687
00:06:34.253	6.599
00:06:34.673	6.529
00:06:35.093	6.458
00:06:35.513	6.388
00:06:35.933	6.318
00:06:36.363	6.230
00:06:36.783	6.160
00:06:37.203	6.090
00:06:37.623	6.020
00:06:38.053	5.932
00:06:38.473	5.862
00:06:38.893	5.791
00:06:39.323	5.721
00:06:39.753	5.633
00:06:40.173	5.563
00:06:40.603	5.493
00:06:41.033	5.423
00:06:41.473	5.335
00:06:41.903	5.265
00:06:42.323	5.194
00:06:42.753	5.107
00:06:43.173	5.036
