time	Pump C:Pump speed [µL/min]
00:00:00.010	0.000
00:00:10.725	0.000
00:00:11.514	0.350
00:00:11.954	24.324
00:00:12.384	30.799
00:00:12.814	33.031
00:00:13.274	35.824
00:00:13.734	36.302
00:00:14.154	17.827
00:00:14.604	16.210
00:00:15.044	15.556
00:00:15.494	11.572
00:00:15.924	11.485
00:00:16.354	5.689
00:00:16.784	13.501
00:00:17.224	9.313
00:00:17.654	6.942
00:00:18.094	8.382
00:00:18.544	7.523
00:00:18.984	8.525
00:00:19.414	8.324
00:00:19.844	8.362
00:00:20.274	8.382
00:00:20.704	7.833
00:00:21.134	8.511
00:00:21.564	18.067
00:00:21.994	50.383
00:00:22.424	34.240
00:00:22.874	28.166
00:00:23.304	26.240
00:00:23.744	27.688
00:00:24.174	30.813
00:00:24.614	28.049
00:00:25.054	29.429
00:00:25.484	29.898
00:00:25.934	28.089
00:00:26.374	29.924
00:00:26.814	30.958
00:00:27.264	32.068
00:00:27.704	31.959
00:00:28.144	33.025
00:00:28.574	32.067
00:00:29.044	32.933
00:00:29.474	34.107
00:00:29.904	32.215
00:00:30.334	32.702
00:00:30.794	33.160
00:00:31.224	32.332
00:00:31.664	32.456
00:00:32.094	35.287
00:00:32.524	34.147
00:00:32.964	33.811
00:00:33.394	34.617
00:00:33.834	32.932
00:00:34.263	33.261
00:00:34.694	34.830
00:00:35.129	34.893
00:00:35.574	34.766
00:00:36.014	34.905
00:00:36.444	33.795
00:00:36.884	33.475
00:00:37.314	33.631
00:00:37.753	29.097
00:00:38.184	32.954
00:00:38.614	33.919
00:00:39.044	33.945
00:00:39.474	34.453
00:00:39.904	35.496
00:00:40.334	34.226
00:00:40.778	33.857
00:00:41.213	34.880
00:00:41.644	32.177
00:00:42.073	33.171
00:00:42.503	34.279
00:00:42.934	33.371
00:00:43.383	34.449
00:00:43.813	36.979
00:00:44.243	33.408
00:00:44.673	34.136
00:00:45.113	34.999
00:00:45.573	34.955
00:00:46.003	32.321
00:00:46.433	33.865
00:00:46.863	33.213
00:00:48.244	33.213
00:00:48.288	0.000
00:01:01.424	0.000
00:01:01.843	37.147
00:01:02.273	31.579
00:01:02.703	24.526
00:01:03.133	18.326
