time	Pump HP:Actual flow [µL/min]
00:00:00.010	3.490
00:00:00.020	3.469
00:00:00.445	3.444
00:00:00.995	3.415
00:00:01.480	3.389
00:00:01.930	1.781
00:00:02.390	-3.650
00:00:02.825	0.022
00:00:03.244	0.298
00:00:03.675	0.058
00:00:04.105	0.016
00:00:04.545	0.003
00:00:04.975	0.001
00:00:05.405	0.000
00:00:05.845	-0.002
00:00:06.274	0.000
00:00:06.704	0.000
00:00:07.135	0.000
00:00:07.564	0.001
00:00:08.014	-0.003
00:00:08.479	0.727
00:00:08.959	1.658
00:00:09.454	2.636
00:00:09.914	3.552
00:00:10.384	4.330
00:00:10.804	5.264
00:00:11.234	5.020
00:00:11.664	4.948
00:00:12.094	4.864
00:00:12.524	4.848
00:00:12.954	4.841
00:00:13.394	4.801
00:00:13.874	4.671
00:00:14.309	4.573
00:00:14.754	4.479
00:00:15.199	4.428
00:00:15.634	4.372
00:00:16.064	4.340
00:00:16.494	4.329
00:00:16.934	4.324
00:00:17.364	4.328
00:00:17.794	4.360
00:00:18.244	4.383
00:00:18.694	4.416
00:00:19.124	4.447
00:00:19.554	4.495
00:00:19.984	4.537
00:00:20.414	4.563
00:00:20.844	4.600
00:00:21.274	4.616
00:00:21.704	4.638
00:00:22.134	4.642
00:00:22.584	4.639
00:00:23.014	4.645
00:00:23.444	4.630
00:00:23.884	4.612
00:00:24.314	4.593
00:00:24.754	4.573
00:00:25.194	4.547
00:00:25.639	4.523
00:00:26.084	4.504
00:00:26.524	4.491
00:00:26.969	4.474
00:00:27.414	4.459
00:00:27.844	4.448
00:00:28.284	4.447
00:00:28.724	4.441
00:00:29.184	4.447
00:00:29.614	4.452
00:00:30.044	4.447
00:00:30.494	4.445
00:00:30.934	4.459
00:00:31.374	4.469
00:00:31.804	4.474
00:00:32.234	4.479
00:00:32.674	4.495
00:00:33.104	4.497
00:00:33.534	4.517
00:00:33.973	4.505
00:00:34.403	4.509
00:00:34.834	4.505
00:00:35.274	4.515
00:00:35.713	4.520
00:00:36.154	4.514
00:00:36.584	4.506
00:00:37.024	4.512
00:00:37.454	4.517
00:00:37.894	4.512
00:00:38.324	4.502
00:00:38.753	4.502
00:00:39.183	4.502
00:00:39.614	4.500
00:00:40.044	4.502
00:00:40.474	4.496
00:00:40.923	4.495
00:00:41.353	4.507
00:00:41.783	4.497
00:00:42.213	4.494
00:00:42.643	4.495
00:00:43.073	4.499
00:00:43.523	4.489
00:00:43.953	4.489
00:00:44.383	4.490
00:00:44.823	4.495
00:00:45.713	4.462
00:00:46.143	4.474
