time	Pump HP:Pump speed [µL/min]
00:00:00.010	0.000
00:00:02.616	0.000
00:00:02.825	-300.000
00:00:07.686	-300.000
00:00:08.014	0.000
00:00:08.480	99.615
00:00:10.725	99.615
00:00:11.234	5.627
00:00:12.756	5.627
00:00:13.394	-0.015
00:00:13.874	-0.247
00:00:14.309	1.819
00:00:14.754	3.493
00:00:15.199	4.479
00:00:15.634	5.985
00:00:16.064	7.172
00:00:16.494	8.049
00:00:16.934	9.138
00:00:17.364	9.935
00:00:17.794	10.213
00:00:18.244	10.510
00:00:18.694	10.646
00:00:19.124	10.522
00:00:19.554	9.886
00:00:19.984	9.023
00:00:20.414	8.468
00:00:20.844	7.358
00:00:21.274	6.603
00:00:21.704	5.536
00:00:22.134	4.704
00:00:22.584	4.040
00:00:23.014	2.850
00:00:23.444	2.398
00:00:23.884	1.890
00:00:24.314	1.632
00:00:24.754	1.483
00:00:25.194	1.498
00:00:25.639	1.740
00:00:26.084	1.859
00:00:26.524	1.991
00:00:26.969	2.356
00:00:27.414	2.806
00:00:27.844	3.253
00:00:28.284	3.463
00:00:28.724	3.976
00:00:29.184	4.100
00:00:29.614	4.302
00:00:30.044	4.779
00:00:30.494	5.238
00:00:30.934	5.130
00:00:31.374	5.180
00:00:31.804	5.313
00:00:32.234	5.412
00:00:32.674	5.100
00:00:33.104	5.178
00:00:33.534	4.671
00:00:33.973	5.045
00:00:34.403	4.919
00:00:34.834	4.985
00:00:35.274	4.616
00:00:35.713	4.390
00:00:36.154	4.441
00:00:36.584	4.617
00:00:37.024	4.342
00:00:37.454	4.069
00:00:37.894	4.135
00:00:38.324	4.334
00:00:38.753	4.277
00:00:39.183	4.215
00:00:39.614	4.256
00:00:40.044	4.154
00:00:40.474	4.327
00:00:40.924	4.331
00:00:41.354	4.003
00:00:41.783	4.315
00:00:42.213	4.418
00:00:42.643	4.415
00:00:43.073	4.316
00:00:43.523	4.615
00:00:43.953	4.656
00:00:44.383	4.653
00:00:44.823	4.534
00:00:45.713	4.445
00:00:48.244	4.445
00:00:48.448	11.105
00:00:48.918	15.442
00:00:49.363	11.105
00:00:49.793	7.426
00:00:51.285	7.426
00:00:51.963	4.445
00:00:52.393	7.426
00:00:53.253	4.445
00:01:00.414	4.445
00:01:00.608	0.000
00:01:01.093	9.784
00:01:01.983	5.803
00:01:02.413	5.653
00:01:02.843	5.713
00:01:03.273	5.390
00:01:03.703	5.423
00:01:04.133	5.467
00:01:04.563	5.312
00:01:04.993	5.223
00:01:05.423	5.440
00:01:05.853	5.405
00:01:06.283	4.993
00:01:06.713	5.289
00:01:07.143	5.104
00:01:07.578	5.196
00:01:08.013	4.807
00:01:08.443	5.216
00:01:08.873	4.881
00:01:09.303	4.851
00:01:09.733	4.820
00:01:10.162	4.963
00:01:10.593	5.060
00:01:11.023	4.839
00:01:11.453	5.112
00:01:11.883	4.839
00:01:12.313	4.877
00:01:12.743	4.971
00:01:13.173	4.763
00:01:13.603	4.930
00:01:14.033	4.699
00:01:14.473	4.891
00:01:14.903	4.656
00:01:15.333	4.469
00:01:15.763	4.810
00:01:16.193	4.584
00:01:16.622	4.722
00:01:17.052	4.687
00:01:17.482	4.805
00:01:17.912	4.484
00:01:18.352	4.794
00:01:18.782	4.767
00:01:19.212	4.377
00:01:19.642	4.913
00:01:20.072	4.503
00:01:20.502	4.278
00:01:20.932	4.729
00:01:21.362	4.579
00:01:21.792	4.285
00:01:22.222	4.531
00:01:22.652	4.426
00:01:23.082	4.503
00:01:23.512	4.317
00:01:23.952	4.320
00:01:24.382	4.614
00:01:24.812	4.614
00:01:25.242	4.070
00:01:25.672	4.504
00:01:26.102	4.621
00:01:26.542	4.450
00:01:26.972	4.597
00:01:27.408	4.561
00:01:27.832	4.271
00:01:28.262	3.943
00:01:28.692	3.764
00:01:29.122	3.644
00:01:29.552	3.215
00:01:29.992	3.390
00:01:30.422	2.849
00:01:30.860	2.936
00:01:31.292	2.863
00:01:31.722	2.639
00:01:32.152	2.750
00:01:32.582	2.492
00:01:33.022	2.350
00:01:33.452	2.460
00:01:33.882	2.301
00:01:34.312	2.015
00:01:34.742	2.414
00:01:35.172	1.849
00:01:35.602	2.077
00:01:36.032	1.788
00:01:36.462	1.856
00:01:36.892	1.736
00:01:37.322	1.634
00:01:37.752	1.592
00:01:38.182	1.531
00:01:38.612	1.409
00:01:39.042	1.468
00:01:39.472	1.438
00:01:39.902	1.394
00:01:40.332	1.407
00:01:40.762	1.192
00:01:41.192	1.395
00:01:41.622	1.254
00:01:42.052	1.229
00:01:42.482	1.114
00:01:42.922	0.991
00:01:43.352	1.167
00:01:43.782	0.946
00:01:44.212	0.967
00:01:44.659	0.979
00:01:45.081	0.998
00:01:45.512	0.976
00:01:45.952	1.037
00:01:46.382	0.914
00:01:46.822	0.979
00:01:47.252	1.048
00:01:47.682	0.822
00:01:48.111	0.987
00:01:48.542	1.079
00:01:48.972	0.838
00:01:49.402	0.871
00:01:49.832	0.936
00:01:50.261	0.856
00:01:50.691	0.772
00:01:51.121	0.866
00:01:51.551	0.876
00:01:51.981	0.795
00:01:52.411	0.796
00:01:52.841	0.760
00:01:53.271	0.593
00:01:53.701	0.766
00:01:54.131	0.702
00:01:54.561	0.649
00:01:54.991	0.749
00:01:55.421	0.594
00:01:55.851	0.565
00:01:56.281	0.637
00:01:56.711	0.591
00:01:57.141	0.547
00:01:57.571	0.413
00:01:58.011	0.567
00:01:58.441	0.565
00:01:58.871	0.501
00:01:59.301	0.539
00:01:59.731	0.460
00:02:00.161	0.330
00:02:00.591	0.367
00:02:01.021	0.341
00:02:01.526	0.404
00:02:01.961	0.270
00:02:02.391	0.338
00:02:02.821	0.324
00:02:03.251	0.216
00:02:03.691	0.156
00:02:04.121	0.207
00:02:04.551	0.100
00:02:04.981	0.191
00:02:05.411	0.211
00:02:05.841	0.254
00:02:06.271	0.041
00:02:06.716	0.135
00:02:07.196	0.004
00:02:07.621	-0.016
00:02:08.051	-0.051
00:02:08.481	-0.065
00:02:08.911	-0.150
00:02:09.341	-0.256
00:02:09.771	-0.544
00:02:10.201	-0.727
00:02:10.631	-0.867
00:02:11.061	-0.895
00:02:11.491	-0.665
00:02:11.921	-0.532
00:02:12.351	-0.550
00:02:12.781	-0.498
00:02:13.211	-0.488
00:02:13.651	-0.487
00:02:14.061	-0.522
00:02:14.496	-0.473
00:02:14.931	-0.507
00:02:15.371	-0.616
00:02:15.791	-0.629
00:02:16.221	-0.676
00:02:16.651	-0.776
00:02:17.081	-0.719
00:02:17.516	-0.851
00:02:17.951	-0.861
00:02:18.381	-0.391
00:02:18.811	-0.085
00:02:19.241	0.187
00:02:19.681	0.518
00:02:20.111	0.908
00:02:20.541	0.988
00:02:20.971	1.042
00:02:21.401	1.159
00:02:21.831	1.258
00:02:22.261	1.278
00:02:22.691	1.381
00:02:23.126	1.521
00:02:23.561	1.464
00:02:23.990	1.534
00:02:24.441	1.320
00:02:24.870	1.277
00:02:25.300	1.222
00:02:25.730	1.273
00:02:26.160	1.366
00:02:26.590	1.364
00:02:27.025	1.349
00:02:27.470	1.448
00:02:27.920	1.457
00:02:28.350	1.564
00:02:28.780	1.520
00:02:29.210	1.517
00:02:29.640	1.529
00:02:30.070	1.596
00:02:30.500	1.638
00:02:30.930	1.630
00:02:31.360	1.739
00:02:31.790	1.694
00:02:32.220	1.802
00:02:32.650	1.650
00:02:33.070	1.714
00:02:33.500	1.687
00:02:33.930	1.729
00:02:34.360	1.630
00:02:34.790	1.786
00:02:35.220	1.789
00:02:35.650	1.898
00:02:36.080	1.834
00:02:36.510	1.893
00:02:36.940	1.982
00:02:37.380	1.807
00:02:37.810	1.779
00:02:38.240	1.884
00:02:38.670	1.896
00:02:39.100	1.789
00:02:39.530	1.862
00:02:39.960	1.790
00:02:40.390	1.922
00:02:40.830	1.809
00:02:41.260	1.929
00:02:41.690	1.944
00:02:42.120	1.959
00:02:42.550	1.971
00:02:42.980	1.903
00:02:43.410	1.990
00:02:43.850	1.820
00:02:44.330	1.958
