time	Pump C:Actual flow [µL/min]
00:00:00.010	0.002
00:00:00.305	-0.005
00:00:00.795	0.002
00:00:01.320	0.006
00:00:01.775	0.002
00:00:02.235	0.009
00:00:02.675	0.009
00:00:03.105	-0.005
00:00:03.535	0.002
00:00:03.965	-0.002
00:00:05.264	0.002
00:00:06.565	-0.002
00:00:06.995	0.002
00:00:07.854	-0.002
00:00:08.799	-0.005
00:00:09.754	-0.002
00:00:10.214	-0.525
00:00:10.654	0.210
00:00:11.094	0.013
00:00:11.514	-0.050
00:00:11.954	2.076
00:00:12.384	5.606
00:00:12.814	9.527
00:00:13.274	13.705
00:00:13.734	17.238
00:00:14.154	21.080
00:00:14.604	18.124
00:00:15.044	15.679
00:00:15.494	13.581
00:00:15.924	11.325
00:00:16.354	9.293
00:00:16.784	7.797
00:00:17.224	8.312
00:00:17.654	8.463
00:00:18.094	8.153
00:00:18.544	8.316
00:00:18.984	8.110
00:00:19.414	8.244
00:00:19.844	8.157
00:00:20.274	8.251
00:00:20.704	8.226
00:00:21.134	8.254
00:00:21.564	8.236
00:00:21.994	14.285
00:00:22.424	25.517
00:00:22.874	28.350
00:00:23.304	28.383
00:00:23.744	28.236
00:00:24.174	28.093
00:00:24.614	28.727
00:00:25.054	28.870
00:00:25.484	29.195
00:00:25.934	29.426
00:00:26.374	29.858
00:00:26.814	30.030
00:00:27.264	30.294
00:00:27.704	30.597
00:00:28.144	30.781
00:00:28.574	31.289
00:00:29.044	31.494
00:00:29.474	31.740
00:00:29.904	32.267
00:00:30.334	32.445
00:00:30.794	32.687
00:00:31.224	32.966
00:00:31.664	33.165
00:00:32.094	33.121
00:00:32.524	33.541
00:00:32.964	33.834
00:00:33.394	33.943
00:00:33.834	34.352
00:00:34.263	34.598
00:00:34.694	34.649
00:00:35.129	34.562
00:00:35.574	34.540
00:00:36.014	34.435
00:00:36.444	34.464
00:00:36.884	34.435
00:00:37.314	34.377
00:00:37.753	34.869
00:00:38.184	34.301
00:00:38.614	34.102
00:00:39.044	34.106
00:00:39.474	34.460
00:00:39.904	34.681
00:00:40.334	35.000
00:00:40.778	34.971
00:00:41.213	34.623
00:00:41.644	34.931
00:00:42.073	34.801
00:00:42.503	34.674
00:00:42.933	34.764
00:00:43.383	34.659
00:00:43.813	34.768
00:00:44.243	34.873
00:00:44.673	34.822
00:00:45.113	34.710
00:00:46.003	35.068
00:00:46.433	34.873
00:00:46.863	34.931
00:00:48.244	34.931
00:00:48.288	29.309
00:00:48.753	35.803
00:00:49.218	25.980
00:00:49.653	18.813
00:00:50.083	14.826
00:00:50.523	11.450
00:00:50.953	9.350
00:00:51.393	7.450
00:00:51.823	6.235
00:00:52.253	5.256
00:00:52.683	4.320
00:00:53.113	3.707
00:00:53.543	3.099
00:00:53.973	2.713
00:00:54.403	2.382
00:00:54.833	2.065
00:00:55.273	1.841
00:00:55.703	1.631
00:00:56.133	1.465
00:00:56.563	1.334
00:00:56.993	1.200
00:00:57.433	1.106
00:00:57.863	1.005
00:00:58.293	0.927
00:00:58.723	0.864
00:00:59.163	0.793
00:00:59.593	0.763
00:01:00.023	0.715
00:01:00.453	0.670
00:01:00.933	0.641
00:01:01.843	14.795
00:01:02.273	21.952
00:01:02.703	23.998
00:01:03.133	23.180
00:01:03.563	20.867
00:01:03.993	19.353
00:01:04.423	18.864
00:01:04.853	19.177
00:01:05.283	19.676
00:01:05.713	20.094
00:01:06.143	20.339
00:01:06.573	20.270
00:01:07.003	20.017
00:01:07.433	19.702
00:01:07.873	19.885
00:01:08.303	19.925
00:01:08.733	20.226
00:01:09.162	20.193
00:01:09.598	20.178
00:01:10.023	19.775
00:01:10.453	19.771
00:01:10.883	19.845
00:01:11.313	19.914
00:01:11.743	20.200
00:01:12.172	20.149
00:01:12.603	20.068
00:01:13.033	19.973
00:01:13.463	20.032
00:01:13.893	19.889
00:01:14.333	20.046
00:01:14.763	20.138
00:01:15.192	20.163
00:01:15.622	20.185
00:01:16.052	19.837
00:01:16.482	19.797
00:01:16.912	19.878
00:01:17.342	20.065
00:01:17.772	20.281
00:01:18.202	20.207
00:01:18.642	20.076
00:01:19.072	19.958
00:01:19.502	19.859
00:01:19.932	19.804
00:01:20.362	19.856
00:01:20.792	19.907
00:01:21.222	19.947
00:01:21.652	20.101
00:01:22.082	20.171
00:01:22.512	19.786
00:01:22.942	19.790
00:01:23.372	19.797
00:01:23.812	20.112
00:01:24.242	20.123
00:01:24.672	20.204
00:01:25.102	19.914
00:01:25.532	19.801
00:01:25.962	19.782
00:01:26.402	20.017
00:01:26.832	20.240
00:01:27.262	20.050
00:01:27.692	20.039
00:01:28.122	19.896
00:01:28.552	19.804
00:01:28.982	19.929
00:01:29.412	19.984
00:01:29.852	20.120
00:01:30.282	20.174
00:01:30.712	20.405
00:01:31.152	19.834
00:01:31.582	19.749
00:01:32.012	19.687
00:01:32.442	19.977
00:01:32.872	20.098
00:01:33.312	20.131
00:01:33.742	20.149
00:01:34.172	20.046
00:01:34.602	19.995
00:01:35.032	19.742
00:01:35.462	19.841
00:01:35.892	19.812
00:01:36.322	20.105
00:01:36.752	20.120
00:01:37.182	20.156
00:01:37.612	19.881
00:01:38.042	19.837
00:01:38.472	19.790
00:01:38.902	19.914
00:01:39.332	20.339
00:01:39.762	20.174
00:01:40.192	20.013
00:01:40.622	19.929
00:01:41.052	19.823
00:01:41.482	19.859
00:01:41.912	19.962
00:01:42.342	20.229
00:01:42.782	20.215
00:01:43.212	20.131
00:01:43.641	19.720
00:01:44.072	19.815
00:01:44.502	19.771
00:01:44.942	20.032
00:01:45.372	20.141
00:01:45.812	20.131
00:01:46.242	19.966
00:01:46.676	19.870
00:01:47.111	19.709
00:01:47.542	20.149
00:01:47.971	20.189
00:01:48.402	20.332
00:01:48.832	20.255
00:01:49.261	19.845
00:01:49.691	19.691
00:01:50.121	19.775
00:01:50.551	19.801
00:01:50.981	20.178
00:01:51.411	20.193
00:01:51.841	19.991
00:01:52.271	19.845
00:01:52.701	19.782
00:01:53.131	20.083
00:01:53.561	19.944
00:01:53.991	20.149
00:01:54.422	20.196
00:01:54.851	19.911
00:01:55.281	19.856
00:01:55.711	19.709
00:01:56.141	20.189
00:01:56.571	20.152
00:01:57.001	20.127
00:01:57.431	20.160
00:01:57.871	19.958
00:01:58.301	19.819
00:01:58.731	19.815
00:01:59.161	19.878
00:01:59.591	20.116
00:02:00.021	20.134
00:02:00.451	20.127
00:02:00.881	20.211
00:02:01.326	19.962
00:02:01.821	1.573
00:02:02.251	0.318
00:02:02.681	0.076
00:02:03.111	0.009
00:02:03.981	0.006
00:02:04.841	0.009
00:02:05.271	0.002
00:02:05.701	-0.002
00:02:06.131	0.002
00:02:06.561	0.009
00:02:07.036	0.009
00:02:07.481	0.006
00:02:07.911	0.002
00:02:08.341	-0.005
00:02:08.771	0.002
00:02:09.631	-0.005
00:02:10.061	0.006
00:02:10.491	-0.002
00:02:10.921	0.002
00:02:11.351	-0.002
00:02:11.798	0.002
00:02:12.641	0.009
00:02:13.071	-0.005
00:02:13.501	0.006
