time	Pump D:Pressure [bar]
00:00:00.010	0.000
00:00:11.745	0.000
00:00:12.454	0.900
00:00:12.884	1.700
00:00:13.354	3.500
00:00:14.224	5.200
00:00:14.674	6.900
00:00:15.114	8.700
00:00:15.574	10.400
00:00:16.004	12.100
00:00:16.434	13.000
00:00:16.869	13.900
00:00:18.845	13.900
00:00:19.494	13.000
00:00:21.885	13.000
00:00:22.074	11.300
00:00:22.514	10.400
00:00:23.384	9.500
00:00:38.105	9.500
00:00:38.264	8.700
00:00:38.694	9.500
00:00:39.124	8.700
00:00:48.244	8.700
00:00:48.833	5.200
00:00:49.293	3.500
00:00:49.723	1.700
00:00:50.593	0.900
00:00:51.893	0.000
00:07:06.466	0.000
00:07:06.962	-0.800
00:07:07.397	0.000
00:07:12.733	0.000
