time	Pump A:Actual flow [µL/min]
00:00:00.010	0.001
00:00:00.165	-0.002
00:00:00.594	0.005
00:00:01.175	-0.002
00:00:02.056	0.013
00:00:02.535	0.001
00:00:03.395	0.013
00:00:03.825	0.005
00:00:05.125	0.001
00:00:05.555	-0.006
00:00:05.995	0.001
00:00:06.425	0.005
00:00:06.855	0.039
00:00:07.284	0.013
00:00:07.714	0.005
00:00:08.640	-0.006
00:00:09.124	-0.002
00:00:09.594	-0.006
00:00:10.054	-0.245
00:00:10.514	0.404
00:00:10.954	0.032
00:00:11.374	-0.014
00:00:11.814	-0.059
00:00:12.244	-0.553
00:00:12.674	-0.200
00:00:13.104	-0.056
00:00:13.564	0.157
00:00:13.985	0.168
00:00:14.435	0.070
00:00:14.875	-0.075
00:00:15.325	0.062
00:00:15.774	-0.105
00:00:16.185	-0.078
00:00:16.615	0.077
00:00:17.074	0.233
00:00:17.504	0.343
00:00:17.915	0.275
00:00:18.394	0.271
00:00:18.834	0.195
00:00:19.264	0.202
00:00:19.675	0.130
00:00:20.105	0.115
00:00:20.535	0.058
00:00:20.984	0.005
00:00:21.395	-0.021
00:00:21.825	0.066
00:00:22.274	-0.040
00:00:22.724	0.081
00:00:23.135	0.043
00:00:23.594	0.066
00:00:24.024	0.036
00:00:24.435	0.009
00:00:24.904	-0.033
00:00:25.339	-0.014
00:00:25.765	0.028
00:00:26.205	-0.010
00:00:26.645	0.028
00:00:27.095	-0.002
00:00:27.535	0.028
00:00:27.975	-0.006
00:00:28.424	-0.006
00:00:28.874	0.005
00:00:29.305	-0.018
00:00:29.735	0.032
00:00:30.184	-0.010
00:00:30.639	0.051
00:00:31.074	-0.029
00:00:31.514	0.005
00:00:31.925	0.005
00:00:32.355	0.005
00:00:32.814	0.009
00:00:33.244	0.009
00:00:33.684	0.013
00:00:34.113	-0.021
00:00:34.525	-0.002
00:00:34.974	0.013
00:00:35.424	0.385
00:00:35.864	0.631
00:00:36.275	0.813
00:00:36.733	1.193
