time	Pump B:Pump speed [µL/min]
00:05:25.445	7.228
00:05:25.865	6.629
00:05:26.285	6.950
00:05:26.714	8.145
00:05:27.135	6.914
00:05:27.555	7.134
00:05:27.975	6.624
00:05:28.395	6.643
00:05:28.815	7.986
00:05:29.235	6.508
00:05:29.655	7.060
00:05:30.075	6.687
00:05:30.495	6.698
00:05:30.915	7.624
00:05:31.335	6.236
00:05:31.770	6.428
00:05:32.195	7.277
00:05:32.625	6.490
00:05:33.045	7.159
00:05:33.465	5.651
00:05:33.885	6.329
00:05:34.305	7.730
00:05:34.725	5.960
00:05:35.145	6.360
00:05:35.565	6.559
00:05:35.985	6.587
00:05:36.415	6.303
00:05:36.849	6.635
00:05:37.255	6.412
00:05:37.680	7.023
00:05:38.105	5.956
00:05:38.525	5.816
00:05:38.945	7.368
00:05:39.365	5.627
00:05:39.785	6.021
00:05:40.205	6.838
00:05:40.635	6.031
00:05:41.055	5.989
00:05:41.475	6.881
00:05:41.895	6.588
00:05:42.314	6.122
00:05:42.735	6.503
00:05:43.155	6.144
00:05:43.575	6.713
00:05:43.994	5.882
00:05:44.414	6.298
00:05:44.835	6.216
00:05:45.255	5.775
00:05:45.675	6.053
00:05:46.094	6.681
00:05:46.515	5.691
00:05:46.935	5.923
00:05:47.354	6.561
00:05:47.774	5.839
00:05:48.194	5.827
00:05:48.614	6.870
00:05:49.034	5.435
00:05:49.454	5.892
00:05:49.874	6.274
00:05:50.314	5.335
00:05:50.734	5.700
00:05:51.154	6.224
00:05:51.574	5.388
00:05:51.994	5.676
00:05:52.414	6.072
00:05:52.834	5.373
00:05:53.254	5.621
00:05:53.674	5.524
00:05:54.094	5.956
00:05:54.529	5.527
00:05:54.954	5.365
00:05:55.374	5.975
00:05:55.794	4.911
00:05:56.214	5.158
00:05:56.634	5.780
00:05:57.054	4.852
00:05:57.474	5.205
00:05:57.894	5.668
00:05:58.314	5.078
00:05:58.734	5.193
00:05:59.154	4.844
00:05:59.581	5.754
00:05:59.994	4.943
00:06:00.414	4.853
00:06:00.834	5.187
00:06:01.254	4.941
00:06:01.684	4.937
00:06:02.104	4.647
00:06:02.524	5.468
00:06:02.944	4.555
00:06:03.364	4.875
00:06:03.794	4.546
00:06:04.214	5.209
00:06:04.634	4.409
00:06:05.054	4.350
00:06:05.494	4.976
00:06:05.914	4.770
00:06:06.339	4.479
00:06:06.764	4.349
00:06:07.184	4.857
00:06:07.604	4.699
00:06:08.024	4.361
00:06:08.444	4.210
00:06:08.874	4.751
00:06:09.294	4.361
00:06:09.714	4.025
00:06:10.134	3.926
00:06:10.564	4.222
00:06:10.984	4.734
00:06:11.404	3.828
00:06:11.824	3.928
00:06:12.244	4.053
00:06:12.664	4.703
00:06:13.094	3.673
00:06:13.514	4.023
00:06:13.934	3.750
00:06:14.354	4.164
00:06:14.774	3.950
00:06:15.194	3.688
00:06:15.624	3.687
00:06:16.044	3.818
00:06:16.464	4.427
00:06:16.884	3.563
00:06:17.304	3.699
00:06:17.724	3.660
00:06:18.154	3.725
00:06:18.573	3.978
00:06:18.994	3.830
00:06:19.414	3.722
00:06:19.833	3.426
00:06:20.254	3.667
00:06:20.674	4.168
00:06:21.094	3.395
00:06:21.513	3.213
00:06:21.933	3.321
00:06:22.353	3.134
00:06:22.773	3.774
00:06:23.193	3.241
00:06:23.613	3.166
00:06:24.033	3.144
00:06:24.463	3.089
00:06:24.883	3.311
00:06:25.303	3.546
00:06:25.723	3.184
00:06:26.143	3.005
00:06:26.563	2.727
00:06:26.983	2.813
00:06:27.403	3.292
00:06:27.823	3.223
00:06:28.243	2.685
00:06:28.663	2.669
00:06:29.083	2.700
00:06:29.513	2.695
00:06:29.943	2.918
00:06:30.368	3.186
00:06:30.793	2.717
00:06:31.213	2.527
00:06:31.633	2.629
00:06:32.063	2.351
00:06:32.493	2.585
00:06:32.913	2.939
00:06:33.333	2.942
00:06:33.763	2.430
00:06:34.183	2.275
00:06:34.603	2.461
00:06:35.023	2.392
00:06:35.443	2.310
00:06:35.863	2.568
00:06:36.293	2.552
00:06:36.713	2.303
00:06:37.133	2.075
00:06:37.553	2.059
00:06:37.983	2.033
00:06:38.403	1.821
00:06:38.823	2.257
00:06:39.248	2.617
00:06:39.683	2.392
00:06:40.103	2.046
00:06:40.533	1.904
00:06:40.963	1.741
00:06:41.403	1.872
00:06:41.833	1.796
00:06:42.253	1.849
00:06:42.683	2.109
00:06:43.103	2.195
00:06:43.533	2.118
00:06:43.963	1.772
00:06:44.403	1.484
00:06:44.833	1.624
00:06:45.273	1.735
00:06:45.693	1.566
00:06:46.123	1.528
00:06:46.543	1.551
00:06:46.973	1.763
00:06:47.403	1.811
00:06:47.838	1.790
00:06:48.273	1.529
00:06:48.693	1.360
00:06:49.143	0.000
00:07:12.733	0.000
