time	Pump B:Pump speed [µL/min]
00:00:00.010	0.000
00:00:11.745	0.000
00:00:11.884	1.947
00:00:12.314	6.552
00:00:12.744	8.417
00:00:13.189	9.313
00:00:13.615	11.720
00:00:14.055	9.895
00:00:14.505	10.821
00:00:14.945	8.105
00:00:15.434	10.739
00:00:15.825	8.341
00:00:16.265	10.258
00:00:16.695	8.902
00:00:17.125	2.504
00:00:17.555	0.000
00:00:18.886	0.000
00:00:19.755	0.254
00:00:20.185	0.000
00:00:20.615	1.000
00:00:21.035	0.000
00:00:21.475	1.340
00:00:21.905	0.000
00:00:22.325	0.072
00:00:22.775	0.000
00:00:23.915	0.000
00:00:24.075	0.271
00:00:24.515	0.535
00:00:24.955	0.641
00:00:25.414	0.047
00:00:25.864	1.028
00:00:26.304	0.000
00:00:26.744	0.300
00:00:27.194	0.369
00:00:27.634	0.629
00:00:28.084	1.303
00:00:28.475	0.000
00:00:28.925	1.300
00:00:29.385	0.281
00:00:29.815	1.063
00:00:30.235	0.107
00:00:30.695	0.416
00:00:31.125	0.000
00:00:31.565	0.208
00:00:32.005	0.667
00:00:32.435	0.385
00:00:32.865	1.435
00:00:33.295	0.000
00:00:33.735	0.440
00:00:34.165	0.921
00:00:34.605	0.000
00:00:35.025	0.000
00:00:35.475	1.518
00:00:35.915	0.000
00:00:36.355	0.000
00:00:36.785	0.854
00:00:37.225	0.000
00:00:37.655	0.476
00:00:38.085	0.000
00:00:38.955	1.227
00:00:39.375	1.590
00:00:39.815	2.026
00:00:40.235	0.000
00:00:41.125	0.000
00:00:41.975	0.580
00:00:42.405	0.000
00:00:42.845	0.000
00:00:43.285	1.061
00:00:43.715	0.000
00:00:44.575	0.858
00:00:45.015	0.152
00:00:45.498	0.000
00:00:45.933	0.605
00:00:46.363	0.000
00:01:01.424	0.000
00:01:01.773	0.247
00:01:02.203	0.308
00:01:02.633	0.070
00:01:03.063	0.000
00:01:43.003	0.000
00:01:43.572	0.077
00:01:44.002	0.000
00:01:45.033	0.000
00:01:45.302	0.083
00:01:45.742	0.029
00:01:46.172	0.000
00:01:48.073	0.000
00:01:48.332	0.044
00:01:48.761	0.000
00:01:51.113	0.000
00:01:51.771	0.047
00:01:52.201	0.000
00:01:56.183	0.000
00:01:56.931	0.038
00:01:57.361	0.000
00:01:57.791	0.038
00:01:58.231	0.000
00:02:00.243	0.000
00:02:01.241	0.020
00:02:01.751	0.000
00:02:07.343	0.000
00:02:07.411	-38.000
00:02:27.622	-38.000
00:02:27.715	0.000
00:04:40.449	0.000
00:04:40.639	60.000
00:04:42.479	60.000
00:04:42.836	0.000
00:04:44.509	0.000
00:04:44.616	1.632
00:04:45.036	2.682
00:04:45.456	2.611
00:04:45.876	2.054
00:04:46.296	2.163
00:04:46.726	2.643
00:04:47.146	3.269
00:04:47.566	3.440
00:04:47.986	2.857
00:04:48.406	3.068
00:04:48.826	3.065
00:04:49.246	3.600
00:04:49.671	3.454
00:04:50.096	2.431
00:04:50.516	2.204
00:04:50.936	2.203
00:04:51.356	2.660
00:04:51.786	2.798
00:04:52.206	3.380
00:04:52.636	3.612
00:04:53.056	3.177
00:04:53.476	3.213
00:04:53.896	3.091
00:04:54.316	3.206
00:04:54.736	3.922
00:04:55.156	3.631
00:04:55.576	3.570
00:04:55.996	3.470
00:04:56.416	3.337
00:04:56.836	3.958
00:04:57.256	3.607
00:04:57.676	3.985
00:04:58.096	4.145
00:04:58.516	4.267
00:04:58.936	4.756
00:04:59.356	3.895
00:04:59.776	4.053
00:05:00.196	4.124
00:05:00.616	5.221
00:05:01.036	4.476
00:05:01.456	4.752
00:05:01.876	4.817
00:05:02.296	5.436
00:05:02.716	4.447
00:05:03.136	4.707
00:05:03.556	5.456
00:05:03.986	5.128
00:05:04.406	5.433
00:05:04.826	5.096
00:05:05.246	5.565
00:05:05.666	5.400
00:05:06.086	5.511
00:05:06.506	6.731
00:05:06.926	5.529
00:05:07.346	5.394
00:05:07.766	6.664
00:05:08.186	5.782
00:05:08.606	6.199
00:05:09.026	6.924
00:05:09.446	5.857
00:05:09.866	6.324
00:05:10.286	7.030
00:05:10.706	6.533
00:05:11.126	6.086
00:05:11.545	6.701
00:05:11.965	6.766
00:05:12.385	7.374
00:05:12.806	6.137
00:05:13.226	6.860
00:05:13.645	7.776
00:05:14.065	6.779
00:05:14.485	7.510
00:05:14.905	7.027
00:05:15.325	7.229
00:05:15.745	7.786
00:05:16.165	7.696
00:05:16.585	7.949
00:05:17.015	7.131
00:05:17.435	7.973
00:05:17.855	7.354
00:05:18.285	7.496
00:05:18.705	8.501
00:05:19.125	7.816
00:05:19.545	8.768
00:05:19.965	7.677
00:05:20.385	7.763
00:05:20.815	7.049
00:05:21.235	7.645
00:05:21.665	7.597
00:05:22.085	7.375
00:05:22.505	8.369
00:05:22.925	7.125
00:05:23.345	7.527
00:05:23.765	6.990
00:05:24.185	7.170
00:05:24.605	8.085
00:05:25.025	7.088
