time	Pump HP:Pump speed [µL/min]
00:02:21.445	-0.418
00:02:21.915	-0.427
00:02:22.385	-0.521
00:02:22.855	-0.205
00:02:23.325	0.256
00:02:23.795	0.851
00:02:24.265	1.102
00:02:24.735	1.104
00:02:25.205	1.195
00:02:25.675	1.206
00:02:26.145	1.290
00:02:26.615	1.221
00:02:27.090	1.209
00:02:27.555	1.364
00:02:28.025	1.280
00:02:28.495	1.492
00:02:28.965	1.436
00:02:29.435	1.465
00:02:29.905	1.464
00:02:30.375	1.569
00:02:30.845	1.569
00:02:31.315	1.602
00:02:31.785	1.626
00:02:32.255	1.744
00:02:32.715	1.682
00:02:33.185	1.713
00:02:33.655	1.727
00:02:34.125	1.800
00:02:34.595	1.788
00:02:35.065	1.809
00:02:35.535	1.747
00:02:36.005	1.880
00:02:36.475	1.785
00:02:36.945	1.853
00:02:37.415	1.933
00:02:37.885	1.873
00:02:38.355	1.904
00:02:38.825	1.852
00:02:39.295	1.998
00:02:39.765	1.850
00:02:40.235	1.896
00:02:40.705	1.927
00:02:41.175	1.815
00:02:41.645	1.920
00:02:42.115	2.024
00:02:42.585	1.867
00:02:43.055	1.911
00:02:43.525	1.834
00:02:43.985	2.003
00:02:44.415	1.895
00:02:44.845	1.945
00:02:45.275	1.964
00:02:45.704	1.889
00:02:46.134	1.925
00:02:46.565	1.950
00:02:46.995	2.048
00:02:47.435	1.891
00:02:47.865	1.947
00:02:48.295	1.922
00:02:48.770	1.978
00:02:49.215	1.979
00:02:49.645	1.924
00:02:50.075	1.993
00:02:50.504	1.881
00:02:50.935	1.997
00:02:51.364	2.006
00:02:51.795	2.000
00:02:52.224	1.941
00:02:52.655	1.995
00:02:53.085	2.031
00:02:53.514	1.865
00:02:53.944	1.980
00:02:54.375	1.960
00:02:54.804	1.968
00:02:55.234	1.938
00:02:55.664	1.985
00:02:56.094	2.007
00:02:56.524	1.961
00:02:56.954	1.999
00:02:57.384	2.013
00:02:57.814	2.060
00:02:58.244	1.993
00:02:58.684	1.974
00:02:59.114	2.016
00:02:59.544	1.883
00:02:59.974	2.025
00:03:00.404	1.959
00:03:00.834	1.987
00:03:01.264	1.950
00:03:01.694	1.973
00:03:02.124	2.042
00:03:02.554	1.904
00:03:02.984	2.010
00:03:03.414	1.980
00:03:03.844	1.970
00:03:04.274	1.883
00:03:04.704	2.017
00:03:05.134	2.061
00:03:05.564	1.857
00:03:05.994	2.044
00:03:06.424	2.080
00:03:06.854	2.029
00:03:07.284	1.991
00:03:07.737	1.999
00:03:08.144	2.115
00:03:08.574	1.934
00:03:09.004	2.076
00:03:09.444	2.023
00:03:09.874	2.048
00:03:10.304	2.023
00:03:10.734	2.042
00:03:11.164	2.080
00:03:11.594	1.999
00:03:12.024	2.040
00:03:12.454	2.018
00:03:12.884	2.020
00:03:13.314	2.078
00:03:13.744	2.018
00:03:14.174	2.036
00:03:14.604	1.966
00:03:15.034	2.064
00:03:15.464	2.035
00:03:15.894	2.034
00:03:16.324	2.055
00:03:16.754	2.014
00:03:17.184	2.046
00:03:17.614	2.011
00:03:18.044	2.081
00:03:18.474	2.109
00:03:18.904	1.993
00:03:19.334	2.009
00:03:19.764	1.940
00:03:20.204	1.909
00:03:20.634	1.862
00:03:21.064	1.881
00:03:21.494	1.951
00:03:21.933	1.941
00:03:22.364	1.951
00:03:22.794	1.964
00:03:23.224	2.095
00:03:23.654	2.016
00:03:24.084	2.094
00:03:24.514	2.123
00:03:24.953	2.090
00:03:25.383	2.108
00:03:25.814	2.056
00:03:26.244	2.094
00:03:26.674	2.018
00:03:27.103	2.003
00:03:27.533	2.051
00:03:27.963	1.977
00:03:28.394	2.019
00:03:28.823	2.031
00:03:29.253	2.017
00:03:29.683	2.016
00:03:30.123	1.928
00:03:30.553	2.030
00:03:30.983	1.923
00:03:31.413	1.986
00:03:31.843	1.963
00:03:32.273	2.007
00:03:32.703	1.950
00:03:33.143	1.971
00:03:33.573	2.081
00:03:34.003	1.940
00:03:34.433	2.025
00:03:34.863	2.061
00:03:35.293	1.953
00:03:35.723	1.933
00:03:36.153	1.978
00:03:36.583	2.070
00:03:37.013	1.925
00:03:37.443	2.023
00:03:37.873	2.039
00:03:38.303	2.000
00:03:38.733	1.991
00:03:39.163	1.991
00:03:39.593	2.048
00:03:40.023	1.939
00:03:40.463	2.057
00:03:40.893	2.021
00:03:41.323	2.010
00:03:41.753	1.980
00:03:42.183	2.002
00:03:42.613	2.063
00:03:43.043	1.988
00:03:43.473	2.013
00:03:43.903	2.046
00:03:44.343	1.987
00:03:44.773	2.044
00:03:45.203	2.014
00:03:45.633	2.047
00:03:46.063	1.979
00:03:46.493	2.024
00:03:46.923	2.072
00:03:47.353	1.947
00:03:47.783	2.070
00:03:48.213	2.062
00:03:48.643	2.064
00:03:49.073	2.015
00:03:49.503	2.015
00:03:49.933	2.052
00:03:50.363	1.997
00:03:50.793	2.035
00:03:51.223	2.054
00:03:51.663	2.031
00:03:52.093	2.052
00:03:52.523	1.997
00:03:52.953	2.086
00:03:53.383	1.974
00:03:53.813	2.033
00:03:54.250	2.099
00:03:54.683	2.003
00:03:55.113	2.033
00:03:55.553	2.026
00:03:55.983	2.039
00:03:56.413	1.986
00:03:56.843	2.088
00:03:57.273	2.147
00:03:57.703	1.946
00:03:58.133	2.114
00:03:58.563	2.087
00:03:58.993	2.005
00:03:59.423	2.042
00:03:59.853	2.023
00:04:00.283	2.029
00:04:00.723	1.855
00:04:01.152	1.896
00:04:01.582	1.976
00:04:02.012	2.087
00:04:02.442	2.002
00:04:02.873	2.118
00:04:03.303	2.154
00:04:03.732	2.017
00:04:04.162	2.021
00:04:04.592	2.109
