time	Pump A:Actual flow [µL/min]
00:02:14.096	-0.014
00:02:14.566	-0.002
00:02:15.036	0.001
00:02:15.506	-0.010
00:02:15.976	-0.006
00:02:16.446	0.009
00:02:16.919	0.001
00:02:17.856	0.005
00:02:18.326	0.016
00:02:18.790	0.005
00:02:19.715	0.001
00:02:20.655	0.009
00:02:21.125	-0.006
00:02:21.595	0.001
00:02:22.065	-0.006
00:02:22.535	0.005
00:02:23.005	-0.002
00:02:23.475	0.001
00:02:23.945	0.005
00:02:24.415	0.001
00:02:24.885	0.005
00:02:25.355	-0.002
00:02:25.825	0.001
00:02:26.295	-0.006
00:02:26.765	0.001
00:02:27.235	-0.006
00:02:27.705	-0.002
00:02:28.175	-0.010
00:02:28.645	-0.006
00:02:29.115	0.001
00:02:29.585	-0.014
00:02:30.055	0.005
00:02:30.525	-0.002
00:02:30.995	0.009
00:02:31.465	-0.002
00:02:31.935	-0.010
00:02:32.430	-0.002
00:02:32.865	0.001
00:02:33.805	-0.006
00:02:34.275	0.009
00:02:34.745	-0.006
00:02:35.215	-0.002
00:02:35.685	-0.006
00:02:36.155	0.009
00:02:36.625	-0.006
00:02:37.565	0.001
00:02:38.035	-0.002
00:02:38.505	0.001
00:02:38.975	-0.006
00:02:39.445	0.001
00:02:39.915	0.005
00:02:40.385	0.001
00:02:40.855	0.005
00:02:41.325	-0.002
00:02:42.265	-0.006
00:02:42.735	0.001
00:02:43.205	0.005
00:02:43.675	-0.018
00:02:44.135	0.001
00:02:44.565	-0.006
00:02:44.995	-0.002
00:02:45.425	0.009
00:02:45.855	-0.002
00:02:46.284	0.005
00:02:46.715	0.001
00:02:47.145	0.005
00:02:47.585	-0.002
00:02:48.015	-0.010
00:02:48.444	0.009
00:02:48.930	-0.002
00:02:49.364	0.002
00:02:49.795	-0.002
00:02:50.225	0.006
00:02:50.655	0.009
00:02:51.085	-0.006
00:02:51.514	0.002
00:02:53.235	0.013
00:02:53.664	-0.002
00:02:54.094	-0.006
00:02:54.524	0.002
00:02:54.954	-0.002
00:02:55.384	0.006
00:02:55.814	-0.002
00:02:56.244	0.002
00:02:56.674	-0.006
00:02:57.104	-0.002
00:02:57.534	0.002
00:02:57.964	-0.010
00:02:58.394	0.009
00:02:58.834	0.002
00:02:59.694	-0.002
00:03:00.124	0.002
00:03:00.554	-0.002
00:03:01.414	0.002
00:03:02.274	0.006
00:03:02.704	-0.002
00:03:03.134	0.002
00:03:04.424	-0.006
00:03:04.854	0.006
00:03:05.714	0.002
00:03:06.144	-0.002
00:03:06.574	0.002
00:03:07.004	-0.002
00:03:07.434	0.009
00:03:07.864	-0.006
00:03:08.724	0.002
00:03:09.164	0.006
00:03:10.024	-0.002
00:03:10.884	0.006
00:03:11.314	0.002
00:03:12.656	0.002
00:03:13.464	-0.010
00:03:13.894	0.002
00:03:14.754	0.006
00:03:15.184	-0.002
00:03:15.614	0.002
00:03:16.474	-0.006
00:03:16.904	0.002
00:03:17.334	-0.002
