time	Pump A:Setpoint []
00:06:26.028	5.352
00:06:26.448	5.309
00:06:26.868	5.267
00:06:27.288	5.213
00:06:27.708	5.171
00:06:28.128	5.128
00:06:28.548	5.085
00:06:28.968	5.043
00:06:29.390	4.989
00:06:29.808	4.947
00:06:30.228	4.904
00:06:30.648	4.861
00:06:31.068	4.819
00:06:31.498	4.765
00:06:31.918	4.723
00:06:32.338	4.680
00:06:32.758	4.637
00:06:33.178	4.584
00:06:33.598	4.541
00:06:34.018	4.499
00:06:34.438	4.456
00:06:34.858	4.413
00:06:35.278	4.360
00:06:35.698	4.317
00:06:36.118	4.275
00:06:36.538	4.232
00:06:36.958	4.189
00:06:37.378	4.136
00:06:37.818	4.093
00:06:38.238	4.051
00:06:38.658	4.008
00:06:39.078	3.955
00:06:39.498	3.912
00:06:39.918	3.869
00:06:40.338	3.827
00:06:40.758	3.784
00:06:41.178	3.731
00:06:41.598	3.688
00:06:42.018	3.645
00:06:42.438	3.603
00:06:42.858	3.560
00:06:43.278	3.507
00:06:43.698	3.464
00:06:44.118	3.421
00:06:44.538	3.379
00:06:44.958	3.336
00:06:45.378	3.283
00:06:45.807	3.240
00:06:46.227	3.197
00:06:46.648	3.155
00:06:47.068	3.112
00:06:47.488	3.059
00:06:47.908	3.016
00:06:48.328	2.973
00:06:48.748	2.931
00:06:49.168	2.888
00:06:49.588	2.835
00:06:50.008	2.792
00:06:50.427	2.749
00:06:50.858	2.707
00:06:51.278	2.653
00:06:51.697	2.611
00:06:52.117	2.568
00:06:52.537	2.525
00:06:52.968	2.483
00:06:53.387	2.429
00:06:53.807	0.000
00:07:17.277	0.000
