time	Pump A:Setpoint []
00:00:00.072	0.000
00:00:38.527	0.000
00:00:39.537	0.194
00:00:39.987	0.432
00:00:40.437	0.730
00:00:40.867	0.968
00:00:41.297	1.206
00:00:41.747	1.504
00:00:42.167	1.742
00:00:42.607	2.039
00:00:43.027	2.277
00:00:43.447	2.575
00:00:43.887	3.735
00:00:44.317	5.184
00:00:44.767	5.398
00:00:52.727	5.398
00:00:52.743	0.000
00:02:10.795	0.000
00:02:11.781	-68.000
00:04:43.914	-68.000
00:04:44.764	60.000
00:04:46.954	60.000
00:04:46.961	0.000
00:04:48.801	0.450
00:04:49.241	1.890
00:04:49.661	3.330
00:04:50.081	5.130
00:04:50.501	6.570
00:04:50.921	8.010
00:04:51.341	9.450
00:04:51.761	10.890
00:04:52.191	12.690
00:04:52.611	14.130
00:04:53.031	15.570
00:04:53.451	17.010
00:04:53.871	17.975
00:04:54.291	17.875
00:04:54.711	17.795
00:04:55.141	17.715
00:04:55.561	17.635
00:04:55.981	17.535
00:04:56.411	17.455
00:04:56.831	17.375
00:04:57.251	17.295
00:04:57.671	17.215
00:04:58.091	17.115
00:04:58.511	17.035
00:04:58.931	16.955
00:04:59.351	16.875
00:04:59.771	16.795
00:05:00.191	16.695
00:05:00.611	16.615
00:05:01.031	16.535
00:05:01.451	16.455
00:05:01.871	16.375
00:05:02.301	16.275
00:05:02.721	16.195
00:05:03.141	16.115
00:05:03.561	16.035
00:05:03.981	15.935
00:05:04.421	15.855
00:05:04.841	15.775
00:05:05.265	15.695
00:05:05.681	15.595
00:05:06.101	15.515
00:05:06.521	15.435
00:05:06.941	15.355
00:05:07.370	15.275
00:05:07.791	15.175
00:05:08.211	15.095
00:05:08.641	15.015
00:05:09.060	14.935
00:05:09.481	14.835
00:05:09.900	14.755
00:05:10.320	14.675
00:05:10.740	14.595
00:05:11.160	14.515
00:05:11.580	14.415
00:05:12.000	14.335
00:05:12.421	14.255
00:05:12.840	14.175
00:05:13.260	14.095
00:05:13.680	13.995
00:05:14.100	13.915
00:05:14.520	13.835
00:05:14.940	13.755
00:05:15.360	13.675
00:05:15.780	13.575
00:05:16.200	13.495
00:05:16.630	13.415
00:05:17.050	13.335
00:05:17.470	13.255
00:05:17.890	13.155
00:05:18.310	13.075
00:05:18.730	12.995
00:05:19.150	12.915
00:05:19.570	12.835
00:05:19.990	12.735
00:05:20.410	12.655
00:05:20.830	12.575
00:05:21.250	12.495
00:05:21.680	12.395
00:05:22.100	12.315
00:05:22.520	12.235
00:05:22.940	12.155
00:05:23.360	12.075
00:05:23.780	11.987
00:05:24.200	11.944
00:05:24.620	11.901
00:05:25.040	11.859
00:05:25.460	11.816
00:05:25.880	11.763
00:05:26.300	11.720
00:05:26.720	11.677
00:05:27.140	11.635
00:05:27.560	11.592
00:05:27.980	11.539
00:05:28.400	11.496
00:05:28.820	11.453
00:05:29.240	11.411
00:05:29.660	11.368
00:05:30.080	11.315
00:05:30.500	11.272
00:05:30.920	11.229
00:05:31.340	11.187
00:05:31.760	11.144
00:05:32.180	11.091
00:05:32.600	11.048
00:05:33.020	11.005
00:05:33.440	10.963
00:05:33.860	10.920
00:05:34.280	10.867
00:05:34.700	10.824
00:05:35.120	10.781
00:05:35.540	10.739
00:05:35.960	10.696
00:05:36.380	10.643
00:05:36.800	10.600
00:05:37.220	10.557
00:05:37.640	10.515
00:05:38.060	10.472
00:05:38.480	10.419
00:05:38.910	10.376
00:05:39.330	10.333
00:05:39.749	10.291
00:05:40.170	10.248
00:05:40.590	10.195
00:05:41.010	10.152
00:05:41.430	10.109
00:05:41.859	10.067
00:05:42.280	10.013
00:05:42.699	9.971
00:05:43.130	9.928
00:05:43.550	9.885
00:05:43.970	9.843
00:05:44.389	9.789
00:05:44.809	9.747
00:05:45.229	9.704
00:05:45.649	9.661
00:05:46.069	9.619
00:05:46.489	9.565
00:05:46.919	9.523
00:05:47.339	9.480
00:05:47.759	9.437
00:05:48.179	9.384
00:05:48.599	9.341
00:05:49.019	9.299
00:05:49.439	9.256
00:05:49.859	9.213
00:05:50.279	9.160
00:05:50.699	9.117
00:05:51.119	9.075
00:05:51.539	9.032
00:05:51.959	8.989
00:05:52.379	8.936
00:05:52.799	8.893
00:05:53.219	8.851
00:05:53.639	8.808
00:05:54.059	8.765
00:05:54.479	8.712
00:05:54.899	8.669
00:05:55.319	8.627
00:05:55.739	8.584
00:05:56.159	8.541
00:05:56.579	8.488
00:05:57.003	8.445
00:05:57.419	8.403
00:05:57.839	8.360
00:05:58.269	8.317
00:05:58.689	8.264
00:05:59.109	8.221
00:05:59.529	8.179
00:05:59.949	8.136
00:06:00.369	8.093
00:06:00.789	8.040
00:06:01.219	7.997
00:06:01.639	7.955
00:06:02.059	7.912
00:06:02.479	7.859
00:06:02.899	7.816
00:06:03.319	7.773
00:06:03.739	7.731
00:06:04.159	7.688
00:06:04.579	7.635
00:06:04.999	7.592
00:06:05.419	7.549
00:06:05.839	7.507
00:06:06.259	7.464
00:06:06.679	7.411
00:06:07.107	7.368
00:06:07.529	7.325
00:06:07.949	7.283
00:06:08.379	7.229
00:06:08.799	7.187
00:06:09.219	7.144
00:06:09.639	7.101
00:06:10.059	7.059
00:06:10.479	7.005
00:06:10.899	6.963
00:06:11.329	6.920
00:06:11.749	6.877
00:06:12.169	6.835
00:06:12.589	6.781
00:06:13.009	6.739
00:06:13.429	6.696
00:06:13.849	6.653
00:06:14.268	6.611
00:06:14.689	6.557
00:06:15.109	6.515
00:06:15.529	6.472
00:06:15.949	6.429
00:06:16.368	6.387
00:06:16.789	6.333
00:06:17.208	6.291
00:06:17.629	6.248
00:06:18.048	6.205
00:06:18.469	6.163
00:06:18.888	6.109
00:06:19.308	6.067
00:06:19.728	6.024
00:06:20.148	5.981
00:06:20.569	5.939
00:06:20.988	5.885
00:06:21.408	5.843
00:06:21.828	5.800
00:06:22.248	5.757
00:06:22.668	5.715
00:06:23.088	5.661
00:06:23.508	5.619
00:06:23.928	5.576
00:06:24.348	5.533
00:06:24.768	5.491
00:06:25.188	5.437
00:06:25.608	5.395
