time	Pump A:Displacement [µL]
00:04:53.871	3.570
00:04:54.291	3.720
00:04:54.711	3.850
00:04:55.141	3.970
00:04:55.561	4.090
00:04:55.981	4.210
00:04:56.411	4.330
00:04:56.831	4.450
00:04:57.251	4.580
00:04:57.671	4.700
00:04:58.091	4.820
00:04:58.511	4.940
00:04:58.931	5.060
00:04:59.351	5.180
00:04:59.771	5.290
00:05:00.191	5.410
00:05:00.611	5.530
00:05:01.031	5.640
00:05:01.451	5.760
00:05:01.871	5.870
00:05:02.301	5.980
00:05:02.721	6.100
00:05:03.141	6.200
00:05:03.561	6.310
00:05:03.981	6.420
00:05:04.421	6.530
00:05:04.841	6.640
00:05:05.265	6.740
00:05:05.681	6.840
00:05:06.101	6.950
00:05:06.521	7.060
00:05:06.941	7.170
00:05:07.370	7.270
00:05:07.791	7.380
00:05:08.211	7.480
00:05:08.641	7.590
00:05:09.060	7.690
00:05:09.481	7.790
00:05:09.901	7.890
00:05:10.320	7.990
00:05:10.740	8.090
00:05:11.160	8.190
00:05:11.580	8.290
00:05:12.000	8.390
00:05:12.421	8.490
00:05:12.840	8.590
00:05:13.260	8.690
00:05:13.680	8.780
00:05:14.100	8.880
00:05:14.520	8.980
00:05:14.940	9.070
00:05:15.360	9.170
00:05:15.780	9.260
00:05:16.200	9.360
00:05:16.630	9.450
00:05:17.050	9.550
00:05:17.470	9.640
00:05:17.890	9.730
00:05:18.310	9.820
00:05:18.730	9.910
00:05:19.150	9.990
00:05:19.570	10.080
00:05:19.990	10.170
00:05:20.410	10.250
00:05:20.830	10.340
00:05:21.250	10.430
00:05:21.680	10.510
00:05:22.100	10.590
00:05:22.520	10.680
00:05:22.940	10.760
00:05:23.360	10.840
00:05:23.780	10.920
00:05:24.200	11.000
00:05:24.620	11.080
00:05:25.040	11.160
00:05:25.460	11.240
00:05:25.880	11.320
00:05:26.300	11.400
00:05:26.720	11.480
00:05:27.140	11.560
00:05:27.560	11.640
00:05:27.980	11.720
00:05:28.400	11.800
00:05:28.820	11.880
00:05:29.240	11.950
00:05:29.660	12.030
00:05:30.080	12.110
00:05:30.500	12.190
00:05:30.920	12.260
00:05:31.340	12.340
00:05:31.760	12.420
00:05:32.180	12.490
00:05:32.600	12.570
00:05:33.020	12.640
00:05:33.440	12.720
00:05:33.860	12.790
00:05:34.280	12.870
00:05:34.700	12.940
00:05:35.120	13.010
00:05:35.540	13.090
00:05:35.960	13.160
00:05:36.380	13.230
00:05:36.800	13.310
00:05:37.220	13.380
00:05:37.640	13.450
00:05:38.060	13.520
00:05:38.480	13.600
00:05:38.910	13.670
00:05:39.330	13.740
00:05:39.749	13.820
00:05:40.170	13.890
00:05:40.590	13.960
00:05:41.010	14.030
00:05:41.430	14.100
00:05:41.859	14.170
00:05:42.280	14.240
00:05:42.699	14.310
00:05:43.130	14.380
00:05:43.550	14.450
00:05:43.970	14.520
00:05:44.389	14.590
00:05:44.809	14.650
00:05:45.229	14.720
00:05:45.649	14.790
00:05:46.069	14.860
00:05:46.489	14.920
00:05:46.919	14.990
00:05:47.339	15.060
00:05:47.759	15.120
00:05:48.179	15.190
00:05:48.599	15.260
00:05:49.019	15.320
00:05:49.439	15.390
00:05:49.859	15.450
00:05:50.279	15.510
00:05:50.699	15.580
00:05:51.119	15.640
00:05:51.539	15.700
00:05:51.959	15.760
00:05:52.379	15.820
00:05:52.799	15.880
00:05:53.219	15.940
00:05:53.639	16.000
00:05:54.059	16.060
00:05:54.479	16.120
00:05:54.899	16.180
00:05:55.319	16.240
00:05:55.739	16.300
00:05:56.159	16.350
00:05:56.579	16.410
00:05:57.003	16.470
00:05:57.419	16.530
00:05:57.839	16.590
00:05:58.269	16.640
00:05:58.689	16.700
00:05:59.109	16.750
00:05:59.529	16.810
00:05:59.949	16.870
00:06:00.369	16.920
00:06:00.789	16.980
00:06:01.219	17.030
00:06:01.639	17.090
00:06:02.059	17.140
00:06:02.479	17.190
00:06:02.899	17.250
00:06:03.319	17.300
00:06:03.739	17.350
00:06:04.159	17.400
00:06:04.579	17.460
00:06:04.999	17.510
00:06:05.419	17.560
00:06:05.839	17.610
00:06:06.259	17.660
00:06:06.679	17.710
00:06:07.107	17.760
00:06:07.529	17.810
00:06:07.949	17.860
00:06:08.379	17.910
00:06:08.799	17.960
00:06:09.219	18.010
00:06:09.639	18.050
00:06:10.059	18.100
00:06:10.479	18.150
00:06:10.899	18.200
00:06:11.329	18.240
00:06:11.749	18.290
00:06:12.169	18.340
00:06:12.589	18.380
00:06:13.009	18.430
00:06:13.429	18.470
00:06:13.849	18.520
00:06:14.268	18.560
00:06:14.689	18.610
00:06:15.109	18.650
00:06:15.529	18.690
00:06:15.949	18.740
00:06:16.368	18.780
00:06:16.789	18.820
00:06:17.208	18.860
00:06:17.629	18.900
00:06:18.049	18.950
00:06:18.469	18.990
00:06:18.888	19.030
00:06:19.308	19.070
00:06:19.728	19.110
00:06:20.148	19.150
00:06:20.569	19.190
00:06:20.988	19.230
00:06:21.408	19.260
00:06:21.828	19.300
00:06:22.248	19.340
00:06:22.668	19.380
00:06:23.088	19.420
00:06:23.508	19.460
00:06:23.928	19.490
00:06:24.348	19.530
00:06:24.768	19.570
00:06:25.188	19.600
00:06:25.608	19.640
00:06:26.028	19.670
00:06:26.448	19.710
00:06:26.868	19.740
00:06:27.288	19.770
00:06:27.708	19.810
00:06:28.128	19.840
00:06:28.548	19.870
00:06:28.968	19.900
00:06:29.390	19.930
00:06:29.808	19.970
00:06:30.228	20.000
00:06:30.648	20.020
00:06:31.068	20.060
00:06:31.498	20.090
00:06:31.918	20.120
00:06:32.338	20.140
00:06:32.758	20.170
00:06:33.178	20.210
00:06:33.598	20.230
00:06:34.018	20.260
00:06:34.438	20.290
00:06:34.858	20.320
00:06:35.278	20.340
00:06:35.698	20.370
00:06:36.118	20.390
00:06:36.538	20.420
00:06:36.958	20.450
00:06:37.378	20.470
00:06:37.818	20.500
00:06:38.238	20.520
00:06:38.658	20.550
00:06:39.078	20.580
00:06:39.498	20.600
00:06:39.918	20.620
00:06:40.338	20.650
00:06:40.758	20.670
00:06:41.178	20.690
00:06:41.598	20.720
00:06:42.018	20.740
00:06:42.438	20.760
00:06:42.858	20.780
00:06:43.278	20.800
00:06:43.698	20.830
00:06:44.118	20.850
00:06:44.538	20.870
00:06:44.958	20.890
00:06:45.378	20.910
00:06:45.807	20.930
00:06:46.227	20.950
00:06:46.648	20.970
00:06:47.068	20.990
00:06:47.488	21.010
00:06:47.908	21.030
00:06:48.328	21.040
00:06:48.748	21.070
00:06:49.168	21.080
00:06:49.588	21.100
00:06:50.008	21.120
00:06:50.428	21.130
00:06:50.858	21.150
00:06:51.278	21.160
00:06:51.697	21.180
00:06:52.117	21.200
00:06:52.537	21.220
00:06:52.968	21.230
00:06:53.387	21.240
00:06:53.807	21.250
00:07:17.277	21.250
