time	Pump A:Displacement [µL]
00:00:00.072	21.460
00:00:16.218	21.460
00:00:16.724	21.490
00:00:17.144	21.570
00:00:17.564	21.640
00:00:18.024	21.710
00:00:18.428	21.750
00:00:18.874	21.800
00:00:19.304	21.860
00:00:19.734	21.900
00:00:20.138	21.940
00:00:20.604	22.010
00:00:21.044	22.070
00:00:21.474	22.100
00:00:21.878	22.110
00:00:26.357	22.110
00:00:26.994	22.120
00:00:30.417	22.120
00:00:30.427	22.130
00:00:31.757	22.140
00:00:33.067	22.150
00:00:34.467	22.150
00:00:34.807	22.160
00:00:36.087	22.170
00:00:37.387	22.180
00:00:38.527	22.180
00:00:39.107	22.190
00:00:39.987	22.210
00:00:40.437	22.220
00:00:40.867	22.240
00:00:41.297	22.260
00:00:41.747	22.280
00:00:42.167	22.310
00:00:42.607	22.340
00:00:43.027	22.360
00:00:43.447	22.390
00:00:43.887	22.460
00:00:44.317	22.560
00:00:44.767	22.630
00:00:45.197	22.680
00:00:45.647	22.720
00:00:46.077	22.760
00:00:46.497	22.800
00:00:46.947	22.850
00:00:47.377	22.880
00:00:47.807	22.920
00:00:48.227	22.970
00:00:48.667	23.010
00:00:49.127	23.050
00:00:49.587	23.100
00:00:50.073	23.150
00:00:50.493	23.190
00:00:50.913	23.230
00:00:51.353	23.270
00:00:52.727	23.270
00:00:52.743	23.400
00:02:10.795	23.400
00:02:11.781	23.210
00:02:12.216	22.730
00:02:12.686	22.200
00:02:13.156	21.660
00:02:13.626	21.130
00:02:14.096	20.600
00:02:14.566	20.060
00:02:15.036	19.530
00:02:15.506	19.000
00:02:15.976	18.470
00:02:16.446	17.930
00:02:16.919	17.400
00:02:17.386	16.870
00:02:17.856	16.340
00:02:18.326	15.800
00:02:18.790	15.270
00:02:19.245	14.760
00:02:19.715	14.230
00:02:20.185	13.700
00:02:20.655	13.160
00:02:21.125	12.630
00:02:21.595	12.100
00:02:22.065	11.560
00:02:22.535	11.030
00:02:23.005	10.500
00:02:23.475	9.970
00:02:23.945	9.430
00:02:24.415	8.900
00:02:24.885	8.370
00:02:25.355	7.840
00:02:25.825	7.300
00:02:26.295	6.770
00:02:26.765	6.240
00:02:27.235	5.710
00:02:27.705	5.170
00:02:28.175	4.640
00:02:28.645	4.110
00:02:29.115	3.580
00:02:29.585	3.040
00:02:30.055	2.510
00:02:30.525	1.980
00:02:30.995	1.440
00:02:31.465	0.910
00:02:31.935	0.380
00:02:32.430	0.000
00:04:44.924	0.000
00:04:45.204	0.390
00:04:45.651	0.890
00:04:46.076	1.310
00:04:46.511	1.750
00:04:46.961	2.040
00:04:48.984	2.040
00:04:49.241	2.090
00:04:49.661	2.160
00:04:50.081	2.270
00:04:50.501	2.380
00:04:50.921	2.510
00:04:51.341	2.640
00:04:51.761	2.780
00:04:52.191	2.920
00:04:52.611	3.070
00:04:53.031	3.230
00:04:53.451	3.400
