time	Pump D:Pump speed [µL/min]
00:04:54.086	1.886
00:04:54.501	2.106
00:04:54.921	1.949
00:04:55.351	1.777
00:04:55.771	1.513
00:04:56.201	1.777
00:04:56.621	1.761
00:04:57.041	1.863
00:04:57.461	1.627
00:04:57.881	1.705
00:04:58.301	1.931
00:04:58.721	1.688
00:04:59.141	1.655
00:04:59.561	1.466
00:04:59.981	1.341
00:05:00.401	1.491
00:05:00.821	1.432
00:05:01.241	1.509
00:05:01.661	1.490
00:05:02.081	1.230
00:05:02.511	1.384
00:05:02.931	1.274
00:05:03.351	1.299
00:05:03.771	1.461
00:05:04.191	1.464
00:05:04.631	1.276
00:05:05.051	1.228
00:05:05.471	1.112
00:05:05.891	0.942
00:05:06.310	1.303
00:05:06.731	1.202
00:05:07.151	1.193
00:05:07.581	1.032
00:05:08.001	0.993
00:05:08.430	1.037
00:05:08.851	0.870
00:05:09.271	1.121
00:05:09.691	0.977
00:05:10.110	1.096
00:05:10.530	1.075
00:05:10.950	1.023
00:05:11.370	0.886
00:05:11.790	0.801
00:05:12.210	0.743
00:05:12.630	0.678
00:05:13.050	0.669
00:05:13.470	0.643
00:05:13.890	0.697
00:05:14.310	0.734
00:05:14.730	0.674
00:05:15.150	0.721
00:05:15.570	0.632
00:05:15.990	0.671
00:05:16.415	0.583
00:05:16.840	0.484
00:05:17.260	0.485
00:05:17.680	0.707
00:05:18.100	0.376
00:05:18.520	0.497
00:05:18.940	0.548
00:05:19.360	0.302
00:05:19.780	0.303
00:05:20.200	0.415
00:05:20.620	0.306
00:05:21.040	0.254
00:05:21.460	0.426
00:05:21.890	0.142
00:05:22.310	0.200
00:05:22.730	0.265
00:05:23.150	0.204
00:05:23.570	0.275
00:05:23.990	0.287
00:05:24.410	0.290
00:05:24.830	0.377
00:05:25.250	0.075
00:05:25.670	0.215
00:05:26.090	0.115
00:05:26.510	0.253
00:05:26.930	0.261
00:05:27.350	0.197
00:05:27.770	0.194
00:05:28.190	0.226
00:05:28.610	0.134
00:05:29.030	0.182
00:05:29.450	0.247
00:05:29.870	0.190
00:05:30.290	0.232
00:05:30.710	0.122
00:05:31.130	0.055
00:05:31.550	0.117
00:05:31.970	0.155
00:05:32.390	0.151
00:05:32.810	0.177
00:05:33.230	0.138
00:05:33.650	0.167
00:05:34.070	0.327
00:05:34.490	0.104
00:05:34.910	0.157
00:05:35.330	0.250
00:05:35.750	0.130
00:05:36.170	0.145
00:05:36.590	0.256
00:05:37.010	0.142
00:05:37.430	0.056
00:05:37.850	0.095
00:05:38.270	0.122
00:05:38.690	0.201
00:05:39.120	0.197
00:05:39.540	0.129
00:05:39.960	0.166
00:05:40.380	0.179
00:05:40.799	0.000
00:05:41.220	0.181
00:05:41.640	0.165
00:05:42.070	0.000
00:05:42.490	0.222
00:05:42.919	0.234
00:05:43.340	0.113
00:05:43.759	0.228
00:05:44.179	0.152
00:05:44.599	0.075
00:05:45.019	0.192
00:05:45.439	0.202
00:05:45.859	0.053
00:05:46.279	0.092
00:05:46.699	0.127
00:05:47.129	0.017
00:05:47.549	0.176
00:05:47.969	0.217
00:05:48.389	0.141
00:05:48.809	0.187
00:05:49.229	0.017
00:05:49.649	0.091
00:05:50.069	0.069
00:05:50.489	0.144
00:05:50.909	0.188
00:05:51.329	0.159
00:05:51.749	0.138
00:05:52.169	0.156
00:05:52.589	0.156
00:05:53.009	0.146
00:05:53.429	0.146
00:05:53.849	0.122
00:05:54.269	0.177
00:05:54.689	0.119
00:05:55.109	0.046
00:05:55.529	0.172
00:05:55.949	0.020
00:05:56.369	0.155
00:05:56.789	0.259
00:05:57.209	0.114
00:05:57.629	0.147
00:05:58.049	0.170
00:05:58.479	0.135
00:05:58.899	0.140
00:05:59.319	0.176
00:05:59.739	0.150
00:06:00.159	0.105
00:06:00.579	0.136
00:06:01.011	0.116
00:06:01.429	0.154
00:06:01.849	0.141
00:06:02.269	0.131
00:06:02.689	0.147
00:06:03.109	0.067
00:06:03.529	0.150
00:06:03.949	0.034
00:06:04.369	0.110
00:06:04.789	0.243
00:06:05.209	0.162
00:06:05.629	0.272
00:06:06.049	0.078
00:06:06.469	0.117
00:06:06.889	0.102
00:06:07.319	0.129
00:06:07.739	0.054
00:06:08.169	0.141
00:06:08.589	0.092
00:06:09.009	0.093
00:06:09.429	0.006
00:06:09.849	0.084
00:06:10.269	0.160
00:06:10.689	0.137
00:06:11.109	0.074
00:06:11.539	0.031
00:06:11.959	0.002
00:06:12.379	0.067
00:06:12.799	0.075
00:06:13.218	0.197
00:06:13.639	0.104
00:06:14.059	0.082
00:06:14.479	0.024
00:06:14.899	0.162
00:06:15.318	0.006
00:06:15.739	0.144
00:06:16.159	0.006
00:06:16.579	0.135
00:06:16.999	0.050
00:06:17.419	0.142
00:06:17.838	0.000
00:06:18.258	0.094
00:06:18.678	0.196
00:06:19.098	0.178
00:06:19.518	0.000
00:06:20.358	0.015
00:06:20.778	0.042
00:06:21.198	0.093
00:06:21.618	0.000
00:06:22.038	0.100
00:06:22.458	0.008
00:06:22.878	0.106
00:06:23.298	0.064
00:06:23.718	0.070
00:06:24.138	0.096
00:06:24.558	0.147
00:06:24.978	0.000
00:06:25.398	0.111
00:06:25.818	0.163
00:06:26.238	0.137
00:06:26.658	0.032
00:06:27.078	0.132
00:06:27.498	0.022
00:06:27.918	0.000
00:06:28.758	0.009
00:06:29.178	0.082
00:06:29.604	0.180
00:06:30.018	0.070
00:06:30.438	0.077
00:06:30.858	0.000
00:06:31.278	0.135
00:06:31.708	0.003
00:06:32.128	0.046
00:06:32.548	0.064
00:06:32.968	0.000
00:06:33.388	0.110
00:06:33.808	0.081
00:06:34.228	0.009
00:06:34.648	0.078
00:06:35.068	0.109
00:06:35.490	0.040
00:06:35.908	0.000
00:06:36.328	0.083
00:06:36.748	0.000
00:06:37.168	0.096
00:06:37.603	0.000
00:06:38.028	0.055
00:06:38.448	0.088
00:06:38.868	0.077
00:06:39.288	0.107
00:06:39.708	0.000
00:06:40.128	0.129
00:06:40.548	0.044
00:06:40.968	0.012
00:06:41.388	0.000
00:06:42.228	0.106
00:06:42.648	0.000
00:06:43.488	0.091
00:06:43.908	0.000
00:06:44.748	0.060
00:06:45.168	0.000
00:06:45.588	0.128
00:06:46.017	0.055
00:06:46.437	0.000
00:06:47.278	0.004
00:06:47.697	0.000
00:06:48.538	0.037
00:06:48.958	0.000
00:06:50.218	0.033
00:06:50.638	0.000
00:06:51.671	0.000
00:06:52.327	0.063
00:06:52.752	0.163
00:06:53.177	0.000
00:07:17.277	0.000
