time	Pump D:Pump speed [µL/min]
00:00:00.072	0.000
00:00:15.208	0.000
00:00:16.084	0.496
00:00:16.514	6.791
00:00:16.934	4.464
00:00:17.354	11.850
00:00:17.804	10.447
00:00:18.244	10.406
00:00:18.674	23.294
00:00:19.099	19.231
00:00:19.529	37.103
00:00:19.954	42.893
00:00:20.384	37.695
00:00:20.829	55.536
00:00:21.269	36.198
00:00:21.694	33.690
00:00:22.124	32.313
00:00:22.544	31.619
00:00:22.964	31.639
00:00:23.389	30.737
00:00:23.814	30.102
00:00:24.234	30.878
00:00:24.669	31.411
00:00:25.104	32.216
00:00:25.524	31.117
00:00:25.949	32.111
00:00:26.364	6.314
00:00:26.784	9.915
00:00:27.214	16.545
00:00:27.634	11.728
00:00:28.069	11.234
00:00:28.519	10.040
00:00:28.944	11.137
00:00:29.364	11.409
00:00:29.804	11.424
00:00:30.229	10.530
00:00:30.659	9.147
00:00:31.109	11.077
00:00:31.554	9.444
00:00:31.999	10.324
00:00:32.444	8.959
00:00:32.874	9.543
00:00:33.304	9.578
00:00:33.724	8.009
00:00:34.174	8.551
00:00:34.603	8.137
00:00:35.034	6.999
00:00:35.454	6.980
00:00:35.879	6.398
00:00:36.319	5.605
00:00:36.759	7.331
00:00:37.193	7.747
00:00:37.613	5.533
00:00:38.043	5.337
00:00:38.483	5.975
00:00:38.913	5.526
00:00:39.333	4.140
00:00:39.778	6.225
00:00:40.228	5.232
00:00:40.673	4.308
00:00:41.103	6.005
00:00:41.538	3.288
00:00:41.973	3.540
00:00:42.403	3.748
00:00:42.833	4.049
00:00:43.253	3.415
00:00:43.683	0.000
00:00:45.003	1.067
00:00:45.438	0.000
00:00:47.657	0.000
00:00:48.468	0.067
00:00:48.918	0.000
00:00:49.858	0.846
00:00:50.283	0.316
00:00:50.703	0.000
00:01:05.907	0.000
00:01:06.558	0.394
00:01:07.012	0.306
00:01:07.448	0.000
00:01:31.257	0.000
00:01:31.257	0.003
00:01:31.722	0.000
00:01:39.366	0.000
00:01:39.627	0.002
00:01:40.097	0.000
00:01:41.396	0.000
00:01:41.491	0.011
00:01:41.957	0.000
00:01:49.506	0.000
00:01:49.856	0.028
00:01:50.326	0.000
00:01:51.536	0.000
00:01:51.726	0.026
00:01:52.196	0.000
00:01:55.586	0.000
00:01:55.956	0.041
00:01:56.427	0.006
00:01:56.896	0.012
00:01:57.366	0.041
00:01:57.836	0.000
00:02:00.656	0.000
00:02:01.596	0.061
00:02:02.066	0.000
00:02:11.815	0.000
00:02:11.986	-28.000
00:02:32.095	-28.000
00:02:32.635	0.000
00:04:44.924	0.000
00:04:45.424	60.000
00:04:46.954	60.000
00:04:47.651	0.000
00:04:48.984	0.000
00:04:49.011	1.039
00:04:49.451	1.225
00:04:49.871	1.532
00:04:50.291	0.000
00:04:50.711	1.556
00:04:51.131	0.973
00:04:51.551	1.512
00:04:51.971	0.991
00:04:52.401	2.157
00:04:52.821	1.711
00:04:53.241	1.930
00:04:53.661	2.237
