time	Pump B:Actual flow [µL/min]
00:00:00.072	0.013
00:00:00.295	0.026
00:00:00.775	-0.006
00:00:01.195	0.000
00:00:01.665	0.006
00:00:02.144	-0.013
00:00:02.594	0.000
00:00:03.044	-0.006
00:00:03.489	0.013
00:00:04.424	0.000
00:00:04.894	0.006
00:00:05.354	-0.006
00:00:05.814	0.013
00:00:06.254	0.006
00:00:06.694	0.013
00:00:07.114	0.000
00:00:07.534	0.013
00:00:08.804	0.032
00:00:09.664	0.013
00:00:10.084	-0.025
00:00:10.514	0.000
00:00:10.939	-0.013
00:00:11.359	0.013
00:00:11.794	0.000
00:00:12.679	-0.025
00:00:13.659	-0.019
00:00:14.139	-0.025
00:00:14.624	-1.044
00:00:15.074	0.325
00:00:15.494	0.013
00:00:15.934	-0.095
00:00:16.374	-0.261
00:00:16.794	-0.191
00:00:17.214	-0.051
00:00:17.644	0.108
00:00:18.078	0.166
00:00:18.498	0.051
00:00:18.928	0.000
00:00:19.358	0.070
00:00:19.788	-0.057
00:00:20.208	-0.172
00:00:20.658	-0.045
00:00:21.098	0.102
00:00:21.528	0.325
00:00:21.948	0.408
00:00:22.377	0.331
00:00:22.798	0.248
00:00:23.218	0.153
00:00:23.648	0.038
00:00:24.068	0.083
00:00:24.497	0.019
00:00:24.927	0.064
00:00:25.347	-0.057
00:00:25.768	0.089
00:00:26.197	0.064
00:00:26.617	-0.032
00:00:27.047	0.274
00:00:27.467	0.299
00:00:27.887	0.331
00:00:28.347	0.172
00:00:28.777	0.045
00:00:29.197	0.038
00:00:29.637	-0.038
00:00:30.067	-0.108
00:00:30.497	0.070
00:00:30.937	0.000
00:00:31.387	-0.076
00:00:31.827	0.096
00:00:32.287	-0.057
00:00:32.717	0.045
00:00:33.137	-0.064
00:00:33.567	0.026
00:00:34.007	-0.064
00:00:34.447	-0.064
00:00:34.877	0.083
00:00:35.297	0.019
00:00:35.717	0.064
00:00:36.157	0.006
00:00:36.597	0.051
00:00:37.037	-0.095
00:00:37.457	0.057
00:00:37.887	0.026
00:00:38.317	-0.038
00:00:38.757	0.045
00:00:39.177	-0.019
00:00:39.617	0.108
00:00:40.057	-0.095
00:00:40.517	0.096
00:00:40.937	-0.057
00:00:41.367	-0.032
00:00:41.817	0.147
00:00:42.237	0.000
00:00:42.677	-0.038
00:00:43.097	0.064
00:00:43.517	-0.057
00:00:43.957	-0.115
00:00:44.387	0.115
00:00:44.853	0.363
00:00:45.277	0.318
00:00:45.727	0.153
00:00:46.147	0.096
00:00:46.567	0.064
00:00:47.017	-0.045
00:00:47.447	0.013
00:00:47.877	0.032
00:00:48.307	-0.019
00:00:48.747	0.045
00:00:49.207	0.032
00:00:49.693	-0.095
00:00:50.143	0.064
00:00:50.563	0.026
00:00:50.983	-0.032
00:00:51.423	0.026
00:00:52.727	0.026
00:00:52.823	-3.172
00:00:53.308	19.453
00:00:53.753	15.635
00:00:54.183	11.670
00:00:54.613	9.108
00:00:55.043	7.220
00:00:55.478	5.564
00:00:55.913	4.586
00:00:56.353	3.652
00:00:56.783	3.088
00:00:57.223	2.589
00:00:57.663	2.228
00:00:58.093	1.932
00:00:58.528	1.656
00:00:58.968	1.485
00:00:59.403	1.308
00:00:59.823	1.184
00:01:00.263	1.072
00:01:00.703	0.949
00:01:01.133	0.873
00:01:01.573	0.790
00:01:02.013	0.720
00:01:02.453	0.656
00:01:02.873	0.599
00:01:03.303	0.554
00:01:03.728	0.529
00:01:04.163	0.484
00:01:04.593	0.452
00:01:05.033	0.433
00:01:05.498	0.382
00:01:06.413	0.051
00:01:06.863	-0.057
00:01:07.293	-0.019
00:01:07.748	0.051
00:01:08.193	0.172
00:01:08.642	0.197
00:01:09.082	0.217
00:01:09.523	0.197
00:01:09.953	0.191
00:01:10.383	0.159
00:01:10.822	0.185
00:01:11.252	0.159
00:01:11.717	0.178
00:01:13.007	0.178
00:01:13.041	0.172
00:01:13.472	0.159
00:01:13.912	0.147
00:01:14.342	0.153
00:01:14.792	0.147
00:01:15.242	0.140
00:01:15.692	0.134
00:01:16.132	0.121
00:01:16.572	0.127
00:01:17.447	0.147
00:01:17.912	0.121
00:01:18.357	0.134
00:01:18.802	0.108
00:01:19.252	0.102
00:01:19.702	0.127
00:01:20.142	0.121
00:01:20.582	0.096
00:01:21.032	0.076
00:01:21.482	0.108
00:01:21.927	0.083
00:01:22.377	0.076
00:01:22.832	0.102
00:01:23.272	0.089
00:01:23.732	0.083
00:01:24.627	0.096
00:01:25.097	0.083
00:01:25.552	0.070
00:01:26.017	0.096
00:01:26.477	0.102
00:01:26.937	0.096
00:01:27.402	0.076
00:01:27.867	0.064
00:01:28.322	0.057
00:01:28.772	0.064
00:01:29.232	0.076
00:01:29.687	0.083
00:01:30.157	0.070
00:01:30.627	0.057
00:01:31.567	0.076
00:01:32.027	0.064
00:01:32.472	0.051
00:01:32.937	0.057
00:01:33.397	0.083
00:01:33.867	0.064
00:01:34.337	0.051
00:01:34.797	0.057
00:01:35.737	0.070
00:01:36.207	0.038
00:01:36.667	0.051
00:01:37.137	0.038
00:01:37.607	0.064
00:01:38.077	0.076
00:01:38.547	0.057
00:01:39.937	0.064
00:01:40.406	0.057
00:01:40.867	0.013
00:01:41.337	0.070
00:01:41.797	0.045
00:01:42.267	0.051
00:01:42.736	0.064
00:01:43.206	0.057
00:01:43.677	0.064
00:01:44.146	0.038
00:01:44.617	0.064
00:01:45.087	0.051
00:01:45.551	0.038
00:01:45.981	0.032
00:01:46.411	0.038
00:01:47.346	0.057
00:01:47.816	0.051
00:01:48.756	0.038
00:01:49.226	0.051
00:01:50.166	0.032
00:01:50.636	0.026
00:01:51.106	0.051
00:01:51.576	0.045
00:01:52.036	0.026
00:01:52.506	0.045
00:01:53.446	0.032
00:01:53.916	0.051
00:01:54.386	0.038
00:01:55.326	0.045
00:01:55.796	0.026
00:01:56.266	0.019
00:01:56.736	0.038
00:01:57.206	0.045
00:01:57.681	0.019
00:01:58.146	0.038
00:01:58.616	0.032
00:01:59.556	0.045
00:02:00.026	0.032
00:02:00.966	0.045
00:02:01.436	0.026
00:02:01.906	0.013
00:02:02.376	0.026
00:02:02.846	0.038
00:02:03.316	0.026
00:02:03.791	0.032
00:02:04.726	0.038
00:02:05.666	0.032
00:02:06.196	0.076
00:02:06.666	-0.013
00:02:07.136	0.000
00:02:07.606	-0.019
00:02:08.066	-0.006
00:02:08.536	0.006
00:02:09.006	0.013
00:02:09.476	-0.006
00:02:10.416	0.013
00:02:10.886	0.006
00:02:11.376	-0.006
00:02:11.826	-0.006
00:02:12.766	0.006
00:02:13.236	-0.006
00:02:14.176	0.006
00:02:15.116	-0.006
00:02:15.586	-0.019
00:02:16.056	-0.006
00:02:16.995	0.006
00:02:17.465	0.000
00:02:17.935	0.006
00:02:18.426	0.000
00:02:19.325	-0.006
00:02:20.265	0.006
00:02:20.735	0.000
00:02:21.205	0.013
00:02:21.675	-0.006
00:02:22.615	-0.025
00:02:23.085	0.006
00:02:23.555	0.000
00:02:24.026	-0.013
00:02:24.495	-0.019
00:02:24.965	0.000
00:02:25.905	-0.006
00:02:26.375	0.000
00:02:26.845	0.006
00:02:27.785	-0.006
00:02:28.255	0.000
00:02:28.725	-0.006
00:02:29.195	0.000
00:02:29.665	0.013
00:02:30.135	0.000
00:02:31.075	-0.006
00:02:32.015	0.006
00:02:32.475	0.019
00:02:32.945	0.000
00:02:33.885	0.006
00:02:34.825	0.000
00:02:35.765	-0.006
00:02:36.705	0.000
00:02:38.115	0.013
00:02:38.585	0.000
00:02:39.055	-0.013
00:02:39.525	-0.006
00:02:39.995	0.006
00:02:40.465	0.013
00:02:40.935	0.000
00:02:41.405	-0.013
00:02:41.875	0.019
00:02:42.345	0.000
00:02:42.815	0.013
00:02:43.285	0.000
00:02:43.755	-0.006
00:02:44.205	-0.013
00:02:44.635	-0.025
00:02:45.065	0.000
00:02:45.495	-0.006
00:02:45.924	0.006
00:02:46.354	0.013
00:02:46.785	0.006
00:02:47.215	-0.006
00:02:47.655	0.006
00:02:48.085	-0.006
00:02:48.525	0.013
00:02:49.010	-0.007
00:02:49.434	-0.014
00:02:49.865	0.012
00:02:50.295	-0.007
00:02:50.725	0.006
00:02:51.584	-0.014
00:02:52.015	0.025
00:02:52.444	-0.007
00:02:52.875	-0.014
00:02:53.304	0.006
00:02:54.164	-0.007
00:02:54.594	0.012
00:02:55.024	-0.033
00:02:55.454	0.006
00:02:55.884	-0.020
00:02:56.314	0.025
00:02:56.744	-0.001
00:02:57.174	-0.007
00:02:57.604	-0.001
00:02:58.904	-0.007
00:02:59.334	-0.001
00:03:00.194	-0.014
00:03:00.624	-0.007
00:03:01.054	-0.014
00:03:01.484	0.006
00:03:01.914	0.018
00:03:02.344	-0.001
00:03:02.774	0.012
00:03:03.634	-0.007
00:03:04.064	-0.014
00:03:04.494	-0.007
00:03:04.924	-0.001
00:03:05.784	-0.007
00:03:06.644	-0.014
00:03:07.074	0.012
00:03:07.504	-0.007
00:03:07.934	-0.014
00:03:08.364	0.006
00:03:08.794	-0.007
00:03:10.094	0.018
00:03:10.954	-0.014
00:03:11.384	-0.007
00:03:12.244	0.006
00:03:12.674	-0.001
00:03:13.104	0.006
00:03:13.534	0.012
00:03:13.964	-0.001
00:03:14.824	-0.007
00:03:16.114	-0.014
00:03:16.544	0.018
00:03:16.974	0.006
00:03:17.404	-0.007
00:03:17.834	-0.014
00:03:18.264	-0.007
00:03:19.124	0.006
00:03:19.554	-0.020
00:03:19.994	-0.001
00:03:21.284	-0.014
00:03:21.714	-0.001
00:03:22.154	0.006
00:03:22.584	0.025
00:03:23.014	0.006
00:03:23.444	0.018
00:03:23.874	-0.014
00:03:24.734	-0.001
00:03:25.174	-0.007
00:03:26.033	0.006
00:03:26.463	0.012
00:03:26.893	-0.007
00:03:27.323	-0.001
00:03:27.753	0.012
00:03:28.183	-0.007
00:03:28.613	0.012
00:03:29.043	-0.001
00:03:29.473	0.012
00:03:29.903	-0.007
00:03:30.773	0.006
00:03:31.203	-0.001
00:03:31.633	-0.014
00:03:32.063	-0.007
00:03:32.493	-0.001
00:03:32.923	-0.014
00:03:33.363	0.012
00:03:33.793	0.025
00:03:34.223	0.012
00:03:34.653	0.006
00:03:35.975	0.006
00:03:36.373	-0.020
00:03:36.803	0.012
00:03:37.233	-0.007
00:03:37.663	0.012
00:03:38.093	-0.020
00:03:38.523	-0.001
00:03:38.953	0.012
00:03:39.383	-0.001
00:03:39.813	0.012
