time	Pump D:Displacement [µL]
00:00:00.072	2.870
00:00:16.218	2.870
00:00:16.514	2.880
00:00:16.934	2.950
00:00:17.354	3.020
00:00:17.821	3.100
00:00:18.244	3.170
00:00:18.674	3.250
00:00:19.099	3.440
00:00:19.529	3.650
00:00:19.954	3.910
00:00:20.384	4.210
00:00:20.829	4.570
00:00:21.269	4.890
00:00:21.694	5.160
00:00:22.124	5.390
00:00:22.544	5.620
00:00:22.964	5.830
00:00:23.389	6.060
00:00:23.814	6.280
00:00:24.234	6.500
00:00:24.669	6.720
00:00:25.104	6.950
00:00:25.524	7.160
00:00:25.949	7.390
00:00:26.364	7.500
00:00:26.784	7.560
00:00:27.214	7.600
00:00:27.634	7.680
00:00:28.069	7.770
00:00:28.519	7.850
00:00:28.944	7.930
00:00:29.364	8.000
00:00:29.804	8.090
00:00:30.229	8.160
00:00:30.659	8.230
00:00:31.109	8.310
00:00:31.554	8.380
00:00:31.999	8.450
00:00:32.444	8.520
00:00:32.874	8.590
00:00:33.304	8.640
00:00:33.724	8.700
00:00:34.174	8.760
00:00:34.603	8.820
00:00:35.034	8.870
00:00:35.454	8.930
00:00:35.879	8.980
00:00:36.319	9.030
00:00:36.759	9.080
00:00:37.194	9.130
00:00:37.613	9.170
00:00:38.043	9.220
00:00:38.483	9.260
00:00:38.913	9.300
00:00:39.333	9.340
00:00:39.779	9.380
00:00:40.228	9.410
00:00:40.673	9.450
00:00:41.103	9.480
00:00:41.538	9.510
00:00:41.973	9.550
00:00:42.403	9.570
00:00:42.833	9.600
00:00:43.253	9.630
00:00:43.683	9.640
00:00:49.677	9.640
00:00:49.858	9.650
00:00:52.727	9.650
00:00:52.988	9.660
00:01:06.917	9.660
00:01:07.012	9.670
00:02:11.815	9.670
00:02:11.986	9.580
00:02:12.456	9.360
00:02:12.925	9.140
00:02:13.396	8.920
00:02:13.866	8.700
00:02:14.336	8.480
00:02:14.806	8.260
00:02:15.276	8.050
00:02:15.746	7.830
00:02:16.216	7.610
00:02:16.686	7.390
00:02:17.156	7.170
00:02:17.626	6.940
00:02:18.095	6.730
00:02:18.566	6.510
00:02:19.015	6.300
00:02:19.485	6.080
00:02:19.955	5.860
00:02:20.426	5.640
00:02:20.895	5.420
00:02:21.365	5.200
00:02:21.835	4.980
00:02:22.305	4.760
00:02:22.775	4.540
00:02:23.245	4.330
00:02:23.715	4.100
00:02:24.185	3.890
00:02:24.655	3.660
00:02:25.125	3.450
00:02:25.595	3.220
00:02:26.065	3.010
00:02:26.535	2.790
00:02:27.005	2.570
00:02:27.475	2.350
00:02:27.945	2.130
00:02:28.415	1.910
00:02:28.885	1.690
00:02:29.355	1.470
00:02:29.825	1.260
00:02:30.295	1.030
00:02:30.765	0.820
00:02:31.235	0.600
00:02:31.705	0.370
00:02:32.175	0.150
00:02:32.635	0.000
00:04:44.924	0.000
00:04:45.424	0.360
00:04:45.843	0.780
00:04:46.273	1.210
00:04:46.731	1.690
00:04:47.164	2.060
00:04:47.651	2.120
00:04:48.984	2.120
00:04:49.451	2.130
00:04:49.871	2.140
00:04:50.291	2.150
00:04:51.131	2.160
00:04:51.551	2.170
00:04:51.971	2.180
00:04:52.401	2.190
00:04:52.821	2.200
00:04:53.241	2.220
00:04:53.661	2.230
00:04:54.086	2.250
00:04:54.501	2.260
00:04:54.921	2.280
00:04:55.351	2.290
00:04:55.771	2.300
00:04:56.201	2.310
00:04:56.621	2.330
00:04:57.041	2.340
00:04:57.461	2.350
00:04:57.881	2.360
00:04:58.301	2.370
00:04:58.721	2.390
00:04:59.141	2.400
00:04:59.561	2.410
00:04:59.981	2.420
00:05:00.401	2.430
00:05:00.821	2.440
00:05:01.241	2.450
00:05:01.661	2.460
00:05:02.081	2.470
00:05:02.511	2.480
00:05:02.931	2.490
00:05:03.351	2.500
00:05:03.771	2.510
00:05:04.191	2.520
00:05:04.631	2.530
00:05:05.051	2.540
00:05:05.471	2.550
00:05:06.310	2.560
00:05:06.731	2.570
00:05:07.151	2.580
00:05:07.581	2.590
00:05:08.430	2.600
00:05:08.851	2.610
00:05:09.691	2.620
00:05:10.110	2.630
00:05:10.950	2.640
00:05:11.370	2.650
00:05:12.210	2.660
00:05:12.630	2.670
00:05:13.470	2.680
00:05:14.310	2.690
00:05:15.150	2.700
00:05:16.363	2.700
00:05:16.415	2.710
00:05:17.260	2.720
00:05:18.383	2.720
00:05:18.520	2.730
00:05:20.200	2.740
00:05:21.433	2.740
00:05:22.310	2.750
00:05:24.473	2.750
00:05:25.250	2.760
00:05:27.513	2.760
00:05:27.770	2.770
00:05:30.553	2.770
00:05:31.550	2.780
00:05:34.613	2.780
00:05:35.330	2.790
00:05:38.663	2.790
00:05:39.540	2.800
00:05:43.733	2.800
00:05:43.759	2.810
00:05:47.793	2.810
00:05:47.969	2.820
00:05:51.852	2.820
00:05:52.589	2.830
00:05:56.922	2.830
00:05:57.629	2.840
00:06:03.002	2.840
00:06:03.109	2.850
00:06:09.082	2.850
00:06:09.849	2.860
00:06:17.202	2.860
00:06:17.419	2.870
00:06:25.312	2.870
00:06:25.818	2.880
00:06:37.482	2.880
00:06:38.448	2.890
00:07:17.277	2.890
