time	Pump C:Displacement [µL]
00:00:00.072	30.340
00:00:16.218	30.340
00:00:16.444	30.450
00:00:16.864	30.640
00:00:17.284	30.860
00:00:17.724	31.110
00:00:18.164	31.370
00:00:18.594	31.610
00:00:19.014	31.730
00:00:19.444	31.840
00:00:19.874	31.940
00:00:20.310	32.020
00:00:20.749	32.100
00:00:21.184	32.160
00:00:21.614	32.240
00:00:22.044	32.300
00:00:22.464	32.350
00:00:22.884	32.410
00:00:23.304	32.470
00:00:23.734	32.520
00:00:24.154	32.580
00:00:24.584	32.630
00:00:25.019	32.700
00:00:25.434	32.750
00:00:25.854	32.810
00:00:26.284	32.970
00:00:26.704	33.280
00:00:27.134	33.590
00:00:27.554	33.780
00:00:27.984	33.980
00:00:28.434	34.190
00:00:28.864	34.400
00:00:29.284	34.610
00:00:29.724	34.830
00:00:30.174	35.060
00:00:30.614	35.290
00:00:31.039	35.510
00:00:31.479	35.740
00:00:31.929	35.980
00:00:32.374	36.210
00:00:32.814	36.450
00:00:33.239	36.680
00:00:33.654	36.900
00:00:34.109	37.150
00:00:34.543	37.390
00:00:34.964	37.620
00:00:35.384	37.850
00:00:35.804	38.090
00:00:36.244	38.340
00:00:36.684	38.590
00:00:37.124	38.840
00:00:37.553	39.100
00:00:37.974	39.340
00:00:38.408	39.590
00:00:38.843	39.850
00:00:39.273	40.110
00:00:39.723	40.370
00:00:40.148	40.620
00:00:40.603	40.880
00:00:41.038	41.130
00:00:41.458	41.370
00:00:41.903	41.630
00:00:42.328	41.870
00:00:42.763	42.120
00:00:43.183	42.350
00:00:43.608	42.590
00:00:44.043	42.840
00:00:44.488	43.110
00:00:44.928	43.370
00:00:45.363	43.620
00:00:45.813	43.890
00:00:46.243	44.140
00:00:46.668	44.380
00:00:47.108	44.640
00:00:47.533	44.890
00:00:47.973	45.150
00:00:48.393	45.390
00:00:48.838	45.650
00:00:49.298	45.910
00:00:49.773	46.190
00:00:50.213	46.440
00:00:50.633	46.680
00:00:51.058	46.920
00:00:51.493	47.170
00:00:52.727	47.170
00:00:52.903	47.890
00:01:05.907	47.890
00:01:06.483	48.370
00:01:06.938	48.650
00:01:07.368	48.850
00:01:07.828	49.010
00:01:08.268	49.130
00:01:08.717	49.260
00:01:09.153	49.390
00:01:09.598	49.540
00:01:10.022	49.690
00:01:10.453	49.840
00:01:10.893	49.980
00:01:11.328	50.130
00:01:11.798	50.280
00:01:12.222	50.420
00:01:12.672	50.570
00:01:13.112	50.720
00:01:13.542	50.860
00:01:13.982	51.010
00:01:14.417	51.150
00:01:14.867	51.300
00:01:15.312	51.450
00:01:15.767	51.600
00:01:16.202	51.740
00:01:16.642	51.890
00:01:17.072	52.030
00:01:17.527	52.180
00:01:17.987	52.340
00:01:18.432	52.490
00:01:18.877	52.630
00:01:19.327	52.780
00:01:19.772	52.930
00:01:20.217	53.080
00:01:20.652	53.230
00:01:21.107	53.380
00:01:21.557	53.530
00:01:22.007	53.680
00:01:22.457	53.840
00:01:22.907	53.990
00:01:23.347	54.130
00:01:23.807	54.290
00:01:24.242	54.440
00:01:24.707	54.590
00:01:25.177	54.750
00:01:25.627	54.900
00:01:26.097	55.050
00:01:26.557	55.200
00:01:27.017	55.360
00:01:27.477	55.510
00:01:27.947	55.660
00:01:28.397	55.810
00:01:28.847	55.950
00:01:29.302	56.110
00:01:29.767	56.250
00:01:30.237	56.400
00:01:30.707	56.560
00:01:31.177	56.720
00:01:31.647	56.870
00:01:32.107	57.020
00:01:32.547	57.160
00:01:33.017	57.320
00:01:33.477	57.470
00:01:33.947	57.630
00:01:34.412	57.790
00:01:34.877	57.940
00:01:35.352	58.100
00:01:35.817	58.260
00:01:36.287	58.410
00:01:36.747	58.570
00:01:37.217	58.730
00:01:37.687	58.890
00:01:38.157	59.040
00:01:38.627	59.200
00:01:39.087	59.350
00:01:39.547	59.510
00:01:40.017	59.670
00:01:40.481	59.830
00:01:40.947	59.980
00:01:41.429	60.140
00:01:41.877	60.290
00:01:42.347	60.440
00:01:42.817	60.600
00:01:43.287	60.760
00:01:43.757	60.910
00:01:44.227	61.070
00:01:44.697	61.220
00:01:45.167	61.380
00:01:45.621	61.530
00:01:46.051	61.670
00:01:46.486	61.810
00:01:46.956	61.960
00:01:47.427	62.120
00:01:47.897	62.280
00:01:48.366	62.440
00:01:48.836	62.590
00:01:49.306	62.750
00:01:49.776	62.910
00:01:50.246	63.070
00:01:50.716	63.230
00:01:51.186	63.390
00:01:51.651	63.540
00:01:52.116	63.700
00:01:52.586	63.860
00:01:53.056	64.010
00:01:53.526	64.170
00:01:53.996	64.330
00:01:54.466	64.480
00:01:54.936	64.640
00:01:55.406	64.800
00:01:55.876	64.950
00:01:56.346	65.110
00:01:56.816	65.270
00:01:57.286	65.430
00:01:57.756	65.580
00:01:58.226	65.730
00:01:58.696	65.890
00:01:59.166	66.050
00:01:59.636	66.200
00:02:00.106	66.360
00:02:00.576	66.510
00:02:01.046	66.670
00:02:01.516	66.820
00:02:01.986	66.980
00:02:02.456	67.140
00:02:02.926	67.290
00:02:03.396	67.450
00:02:03.866	67.610
00:02:04.336	67.770
00:02:04.806	67.920
00:02:05.276	68.080
00:02:05.746	68.240
00:02:06.276	68.330
00:02:11.815	68.330
00:02:11.906	67.800
00:02:12.376	66.240
00:02:12.846	64.670
00:02:13.316	63.100
00:02:13.786	61.540
00:02:14.256	59.970
00:02:14.726	58.400
00:02:15.196	56.840
00:02:15.666	55.270
00:02:16.136	53.700
00:02:16.606	52.140
00:02:17.076	50.570
00:02:17.546	49.010
00:02:18.015	47.440
00:02:18.506	45.800
00:02:18.935	44.370
00:02:19.406	42.800
00:02:19.876	41.240
00:02:20.345	39.670
00:02:20.815	38.110
00:02:21.285	36.540
00:02:21.755	34.970
00:02:22.225	33.410
00:02:22.695	31.840
00:02:23.165	30.270
00:02:23.635	28.700
00:02:24.105	27.140
00:02:24.575	25.570
00:02:25.045	24.010
00:02:25.515	22.440
00:02:25.985	20.870
00:02:26.455	19.310
00:02:26.925	17.740
00:02:27.395	16.180
00:02:27.865	14.610
00:02:28.335	13.040
00:02:28.805	11.470
00:02:29.275	9.910
00:02:29.745	8.340
00:02:30.215	6.770
00:02:30.685	5.210
00:02:31.155	3.640
00:02:31.625	2.070
00:02:32.095	0.510
00:02:32.555	0.000
00:04:44.924	0.000
00:04:45.354	0.230
00:04:45.773	0.620
00:04:46.203	1.060
00:04:46.634	1.630
00:04:47.084	2.090
00:04:47.571	2.120
00:04:48.941	2.130
00:04:49.381	2.180
00:04:49.801	2.250
00:04:50.221	2.340
00:04:50.641	2.430
00:04:51.064	2.540
00:04:51.481	2.650
00:04:51.901	2.770
00:04:52.331	2.900
00:04:52.751	3.030
00:04:53.171	3.170
00:04:53.591	3.330
00:04:54.011	3.470
00:04:54.431	3.600
00:04:54.851	3.730
00:04:55.281	3.850
00:04:55.701	3.980
00:04:56.126	4.100
00:04:56.551	4.220
00:04:56.971	4.350
00:04:57.391	4.480
00:04:57.811	4.610
00:04:58.231	4.730
00:04:58.651	4.860
00:04:59.071	4.980
00:04:59.491	5.110
00:04:59.911	5.240
00:05:00.331	5.370
00:05:00.751	5.500
00:05:01.171	5.630
00:05:01.591	5.760
00:05:02.011	5.890
00:05:02.441	6.020
00:05:02.861	6.150
00:05:03.281	6.290
00:05:03.701	6.420
00:05:04.121	6.550
00:05:04.561	6.690
00:05:04.981	6.830
00:05:05.401	6.960
00:05:05.821	7.100
00:05:06.240	7.230
00:05:06.661	7.360
00:05:07.081	7.500
00:05:07.511	7.630
00:05:07.931	7.760
00:05:08.351	7.900
00:05:08.780	8.030
00:05:09.201	8.170
00:05:09.621	8.300
00:05:10.040	8.430
00:05:10.460	8.560
00:05:10.880	8.690
00:05:11.300	8.830
00:05:11.720	8.960
00:05:12.140	9.090
00:05:12.560	9.220
00:05:12.980	9.360
00:05:13.400	9.490
00:05:13.820	9.630
00:05:14.240	9.760
00:05:14.660	9.890
00:05:15.080	10.030
00:05:15.500	10.170
00:05:15.920	10.310
00:05:16.340	10.450
00:05:16.770	10.590
00:05:17.190	10.730
00:05:17.610	10.870
00:05:18.030	11.010
00:05:18.450	11.150
00:05:18.870	11.290
00:05:19.290	11.430
00:05:19.710	11.570
00:05:20.130	11.710
00:05:20.550	11.850
00:05:20.970	11.990
00:05:21.390	12.130
00:05:21.820	12.270
00:05:22.240	12.410
00:05:22.660	12.550
00:05:23.080	12.680
00:05:23.500	12.820
00:05:23.920	12.970
00:05:24.340	13.110
00:05:24.760	13.250
00:05:25.180	13.380
00:05:25.600	13.520
00:05:26.020	13.650
00:05:26.440	13.780
00:05:26.860	13.920
00:05:27.280	14.050
00:05:27.700	14.180
00:05:28.120	14.310
00:05:28.540	14.440
00:05:28.960	14.570
00:05:29.380	14.700
00:05:29.800	14.830
00:05:30.220	14.960
00:05:30.640	15.100
00:05:31.060	15.230
00:05:31.480	15.360
00:05:31.900	15.480
00:05:32.320	15.610
00:05:32.740	15.740
00:05:33.160	15.870
00:05:33.580	16.000
00:05:34.000	16.120
00:05:34.420	16.250
00:05:34.840	16.370
00:05:35.260	16.500
00:05:35.680	16.620
00:05:36.100	16.740
00:05:36.520	16.870
00:05:36.940	16.990
00:05:37.360	17.110
00:05:37.780	17.230
00:05:38.200	17.350
00:05:38.620	17.460
00:05:39.050	17.580
00:05:39.470	17.700
00:05:39.890	17.820
00:05:40.310	17.930
00:05:40.730	18.050
00:05:41.150	18.160
00:05:41.570	18.270
00:05:42.000	18.390
00:05:42.420	18.500
00:05:42.839	18.610
00:05:43.270	18.720
00:05:43.690	18.840
00:05:44.110	18.940
00:05:44.529	19.050
00:05:44.949	19.160
00:05:45.370	19.270
00:05:45.789	19.380
00:05:46.209	19.480
00:05:46.629	19.590
00:05:47.059	19.710
00:05:47.479	19.820
00:05:47.899	19.930
00:05:48.319	20.040
00:05:48.739	20.140
00:05:49.159	20.250
00:05:49.579	20.350
00:05:49.999	20.460
00:05:50.420	20.560
