time	Pump A:Pump speed [µL/min]
00:06:20.988	5.348
00:06:21.408	5.431
00:06:21.828	5.997
00:06:22.248	5.209
00:06:22.668	5.125
00:06:23.088	5.881
00:06:23.508	5.230
00:06:23.928	5.070
00:06:24.348	5.187
00:06:24.768	5.480
00:06:25.188	4.869
00:06:25.608	4.745
00:06:26.028	5.400
00:06:26.448	4.846
00:06:26.868	4.671
00:06:27.288	4.653
00:06:27.708	5.189
00:06:28.128	4.459
00:06:28.548	4.331
00:06:28.968	4.516
00:06:29.390	4.970
00:06:29.808	4.398
00:06:30.228	4.235
00:06:30.648	4.368
00:06:31.068	4.777
00:06:31.498	4.081
00:06:31.918	4.079
00:06:32.338	4.072
00:06:32.758	4.645
00:06:33.178	4.163
00:06:33.598	3.798
00:06:34.018	3.667
00:06:34.438	4.251
00:06:34.858	4.164
00:06:35.278	3.734
00:06:35.698	3.613
00:06:36.118	3.632
00:06:36.538	4.200
00:06:36.958	3.893
00:06:37.378	3.624
00:06:37.818	3.555
00:06:38.238	3.611
00:06:38.658	4.093
00:06:39.078	3.562
00:06:39.498	3.255
00:06:39.918	3.176
00:06:40.338	3.105
00:06:40.758	3.749
00:06:41.178	3.527
00:06:41.598	3.273
00:06:42.018	3.017
00:06:42.438	2.952
00:06:42.858	3.071
00:06:43.278	3.661
00:06:43.698	3.302
00:06:44.118	2.950
00:06:44.538	2.664
00:06:44.958	2.638
00:06:45.378	2.921
00:06:45.807	3.325
00:06:46.227	2.968
00:06:46.648	2.729
00:06:47.068	2.611
00:06:47.488	2.474
00:06:47.908	2.605
00:06:48.328	2.982
00:06:48.747	2.921
00:06:49.168	2.543
00:06:49.588	2.264
00:06:50.008	2.136
00:06:50.427	2.081
00:06:50.858	2.218
00:06:51.278	2.614
00:06:51.697	2.737
00:06:52.117	2.425
00:06:52.537	2.065
00:06:52.968	1.827
00:06:53.387	1.809
00:06:53.807	0.000
00:07:17.277	0.000
