time	Pump A:Pump speed [µL/min]
00:00:00.072	0.000
00:00:16.218	0.000
00:00:16.304	0.668
00:00:16.724	7.766
00:00:17.144	11.844
00:00:17.564	9.187
00:00:18.024	8.910
00:00:18.428	5.686
00:00:18.874	6.955
00:00:19.304	4.548
00:00:19.734	6.546
00:00:20.138	8.867
00:00:20.604	6.894
00:00:21.044	8.643
00:00:21.474	1.644
00:00:21.878	0.162
00:00:22.308	0.000
00:00:25.698	0.000
00:00:26.128	0.227
00:00:26.564	0.000
00:00:26.994	0.000
00:00:27.397	0.000
00:00:28.724	0.000
00:00:29.127	0.000
00:00:29.584	0.674
00:00:29.987	0.449
00:00:30.427	0.796
00:00:30.857	0.139
00:00:31.317	0.439
00:00:31.757	0.748
00:00:32.207	0.225
00:00:32.647	0.377
00:00:33.067	0.807
00:00:33.497	0.509
00:00:33.927	0.461
00:00:34.367	0.792
00:00:34.807	0.319
00:00:35.227	0.067
00:00:35.647	0.656
00:00:36.087	0.235
00:00:36.527	0.415
00:00:36.967	0.912
00:00:37.387	0.916
00:00:37.817	0.000
00:00:38.237	0.672
00:00:38.677	0.870
00:00:39.107	0.000
00:00:39.537	2.768
00:00:39.987	1.327
00:00:40.437	2.249
00:00:40.867	3.064
00:00:41.297	2.727
00:00:41.747	3.174
00:00:42.167	4.618
00:00:42.607	3.976
00:00:43.027	4.241
00:00:43.447	5.165
00:00:43.887	15.111
00:00:44.317	14.378
00:00:44.767	5.103
00:00:45.197	5.976
00:00:45.647	4.624
00:00:46.077	5.060
00:00:46.497	6.263
00:00:46.947	5.889
00:00:47.377	5.724
00:00:47.807	6.133
00:00:48.227	5.405
00:00:48.667	5.524
00:00:49.127	6.704
00:00:49.587	5.054
00:00:50.073	5.950
00:00:50.493	7.445
00:00:50.913	4.962
00:00:51.353	5.703
00:00:52.727	5.703
00:00:52.743	0.000
00:02:10.795	0.000
00:02:11.781	-68.000
00:02:32.095	-68.000
00:02:32.430	0.000
00:04:43.914	0.000
00:04:44.764	60.000
00:04:46.954	60.000
00:04:46.961	0.000
00:04:48.801	1.527
00:04:49.241	8.401
00:04:49.661	11.861
00:04:50.081	15.788
00:04:50.501	17.203
00:04:50.921	18.274
00:04:51.341	18.343
00:04:51.761	19.193
00:04:52.191	20.500
00:04:52.611	21.353
00:04:53.031	23.972
00:04:53.451	25.094
00:04:53.871	22.692
00:04:54.291	19.428
00:04:54.711	18.429
00:04:55.141	17.015
00:04:55.561	16.308
00:04:55.981	16.951
00:04:56.411	17.126
00:04:56.831	17.053
00:04:57.251	16.968
00:04:57.671	17.174
00:04:58.091	16.429
00:04:58.511	16.253
00:04:58.931	16.372
00:04:59.351	16.219
00:04:59.771	16.465
00:05:00.191	16.531
00:05:00.611	16.986
00:05:01.031	16.754
00:05:01.451	17.130
00:05:01.871	16.909
00:05:02.301	16.974
00:05:02.721	15.922
00:05:03.141	15.010
00:05:03.561	14.836
00:05:03.981	14.521
00:05:04.421	14.887
00:05:04.841	15.832
00:05:05.265	15.987
00:05:05.681	15.189
00:05:06.101	14.572
00:05:06.521	14.787
00:05:06.941	15.509
00:05:07.370	15.485
00:05:07.791	15.693
00:05:08.211	14.870
00:05:08.641	14.384
00:05:09.060	13.910
00:05:09.481	14.450
00:05:09.900	15.290
00:05:10.320	15.064
00:05:10.740	13.805
00:05:11.160	13.802
00:05:11.580	14.209
00:05:12.000	14.645
00:05:12.421	14.284
00:05:12.840	13.449
00:05:13.260	13.521
00:05:13.680	14.059
00:05:14.100	14.703
00:05:14.520	13.506
00:05:14.940	13.438
00:05:15.360	13.356
00:05:15.780	14.173
00:05:16.200	13.095
00:05:16.630	12.598
00:05:17.050	13.005
00:05:17.470	13.932
00:05:17.890	12.336
00:05:18.310	12.254
00:05:18.730	13.001
00:05:19.150	12.923
00:05:19.570	12.029
00:05:19.990	12.050
00:05:20.410	12.961
00:05:20.830	11.615
00:05:21.250	12.227
00:05:21.680	12.698
00:05:22.100	11.445
00:05:22.520	11.805
00:05:22.940	12.001
00:05:23.360	11.271
00:05:23.780	11.407
00:05:24.200	11.786
00:05:24.620	10.955
00:05:25.040	11.946
00:05:25.460	11.640
00:05:25.880	11.032
00:05:26.300	12.261
00:05:26.720	10.868
00:05:27.140	11.080
00:05:27.560	12.192
00:05:27.980	10.730
00:05:28.400	11.410
00:05:28.820	11.592
00:05:29.240	10.784
00:05:29.660	11.858
00:05:30.080	10.677
00:05:30.500	10.596
00:05:30.920	11.572
00:05:31.340	10.494
00:05:31.760	11.500
00:05:32.180	10.923
00:05:32.600	10.295
00:05:33.020	11.295
00:05:33.440	10.293
00:05:33.860	10.823
00:05:34.280	10.445
00:05:34.700	10.121
00:05:35.120	10.735
00:05:35.540	10.003
00:05:35.960	11.170
00:05:36.380	10.024
00:05:36.800	10.437
00:05:37.220	10.374
00:05:37.640	10.194
00:05:38.060	11.251
00:05:38.480	9.838
00:05:38.910	10.974
00:05:39.330	10.195
00:05:39.749	9.955
00:05:40.170	10.472
00:05:40.590	9.713
00:05:41.010	10.662
00:05:41.430	9.583
00:05:41.859	10.435
00:05:42.280	9.635
00:05:42.699	9.722
00:05:43.130	9.725
00:05:43.550	9.624
00:05:43.970	10.077
00:05:44.389	9.202
00:05:44.809	10.442
00:05:45.229	9.394
00:05:45.649	10.212
00:05:46.069	9.200
00:05:46.489	10.067
00:05:46.919	9.352
00:05:47.339	9.619
00:05:47.759	9.197
00:05:48.179	9.292
00:05:48.599	9.196
00:05:49.019	8.997
00:05:49.439	9.206
00:05:49.859	8.734
00:05:50.279	8.987
00:05:50.699	8.686
00:05:51.119	8.674
00:05:51.539	8.348
00:05:51.959	8.763
00:05:52.379	8.507
00:05:52.799	8.296
00:05:53.219	8.886
00:05:53.639	8.400
00:05:54.059	8.564
00:05:54.479	8.325
00:05:54.899	9.034
00:05:55.319	8.005
00:05:55.739	8.901
00:05:56.159	8.066
00:05:56.579	8.855
00:05:57.003	7.954
00:05:57.419	8.348
00:05:57.839	7.722
00:05:58.269	8.186
00:05:58.689	8.008
00:05:59.109	7.733
00:05:59.529	8.323
00:05:59.949	7.616
00:06:00.369	8.542
00:06:00.789	7.427
00:06:01.219	8.361
00:06:01.639	7.383
00:06:02.059	7.534
00:06:02.479	7.814
00:06:02.899	7.205
00:06:03.319	8.051
00:06:03.739	7.098
00:06:04.159	7.580
00:06:04.579	7.175
00:06:04.999	7.034
00:06:05.419	7.696
00:06:05.839	6.912
00:06:06.259	7.686
00:06:06.679	6.865
00:06:07.107	6.929
00:06:07.529	7.537
00:06:07.949	6.718
00:06:08.379	7.470
00:06:08.799	6.765
00:06:09.219	6.608
00:06:09.639	7.199
00:06:10.059	6.593
00:06:10.479	6.863
00:06:10.899	6.761
00:06:11.329	6.309
00:06:11.749	7.184
00:06:12.169	6.290
00:06:12.589	6.224
00:06:13.009	6.958
00:06:13.429	6.226
00:06:13.849	6.307
00:06:14.268	6.650
00:06:14.689	5.999
00:06:15.109	6.147
00:06:15.529	6.291
00:06:15.949	5.887
00:06:16.368	6.117
00:06:16.789	6.157
00:06:17.208	5.712
00:06:17.629	6.142
00:06:18.048	6.032
00:06:18.469	5.594
00:06:18.888	5.829
00:06:19.308	6.005
00:06:19.728	5.499
00:06:20.148	5.580
00:06:20.569	6.080
