time	Pump HP:Setpoint []
00:00:00.072	0.000
00:00:07.098	0.000
00:00:07.324	-300.000
00:00:12.168	-300.000
00:00:12.949	370.000
00:00:17.238	370.000
00:00:17.859	4.500
00:00:49.677	4.500
00:00:49.938	0.000
00:00:50.353	330.500
00:01:04.887	330.500
00:01:05.273	0.000
00:01:05.748	4.500
00:01:32.267	4.500
00:01:32.707	4.494
00:01:33.177	4.469
00:01:33.637	4.449
00:01:34.107	4.424
00:01:34.567	4.399
00:01:35.037	4.379
00:01:35.507	4.354
00:01:35.977	4.329
00:01:36.437	4.309
00:01:36.907	4.284
00:01:37.377	4.259
00:01:37.847	4.234
00:01:38.317	4.214
00:01:38.777	4.189
00:01:39.247	4.164
00:01:39.707	4.144
00:01:40.177	4.119
00:01:40.637	4.099
00:01:41.107	4.074
00:01:41.567	4.049
00:01:42.037	4.029
00:01:42.506	4.004
00:01:42.977	3.979
00:01:43.446	3.954
00:01:43.917	3.934
00:01:44.397	3.909
00:01:44.857	3.884
00:01:45.327	3.864
00:01:45.771	3.839
00:01:46.196	3.819
00:01:46.646	3.794
00:01:47.116	3.774
00:01:47.586	3.749
00:01:48.056	3.724
00:01:48.527	3.704
00:01:48.996	3.679
00:01:49.466	3.654
00:01:49.936	3.634
00:01:50.406	3.609
00:01:50.876	3.584
00:01:51.346	3.559
00:01:51.806	3.539
00:01:52.276	3.514
00:01:52.746	3.489
00:01:53.216	3.469
00:01:53.686	3.444
00:01:54.156	3.419
00:01:54.626	3.399
00:01:55.096	3.374
00:01:55.566	3.349
00:01:56.036	3.329
00:01:56.506	3.304
00:01:56.976	3.279
00:01:57.446	3.254
00:01:57.916	3.234
00:01:58.386	3.209
00:01:58.856	3.184
00:01:59.326	3.164
00:01:59.796	3.139
00:02:00.266	3.114
00:02:00.736	3.094
00:02:01.206	3.069
00:02:01.676	3.044
00:02:02.146	3.019
00:02:02.616	2.999
00:02:03.086	2.974
00:02:03.556	2.949
00:02:04.026	2.929
00:02:04.496	2.904
00:02:04.966	2.879
00:02:05.436	2.859
00:02:05.956	2.829
00:02:06.436	2.809
00:02:06.906	2.784
00:02:07.376	2.759
00:02:07.836	2.739
00:02:08.306	2.714
00:02:08.776	2.689
00:02:09.246	2.664
00:02:09.716	2.644
00:02:10.186	2.619
00:02:10.656	2.594
00:02:11.126	2.574
00:02:11.621	2.549
00:02:12.066	2.524
00:02:12.536	2.504
00:02:13.006	2.479
00:02:13.476	2.454
00:02:13.945	2.429
00:02:14.416	2.409
00:02:14.891	2.384
00:02:15.356	2.359
00:02:15.826	2.339
00:02:16.296	2.314
00:02:16.766	2.289
00:02:17.236	2.269
00:02:17.705	2.244
00:02:18.176	2.219
00:02:18.651	2.194
00:02:19.095	2.174
00:02:19.565	2.149
00:02:20.035	2.129
00:02:20.505	2.104
00:02:20.975	2.079
00:02:21.445	2.054
00:02:21.915	2.034
00:02:22.385	2.009
00:02:22.855	2.000
00:06:44.571	2.000
00:06:44.818	2.028
00:06:45.238	2.090
00:06:45.677	2.140
00:06:46.087	2.190
00:06:46.508	2.240
00:06:46.928	2.290
00:06:47.348	2.353
00:06:47.767	2.403
00:06:48.188	2.453
00:06:48.608	2.503
00:06:49.028	2.553
00:06:49.447	2.615
00:06:49.868	2.665
00:06:50.288	2.715
00:06:50.717	2.765
00:06:51.137	2.828
00:06:51.558	2.878
00:06:51.978	2.928
00:06:52.397	2.978
00:06:52.827	3.028
00:06:53.247	3.090
00:06:53.677	3.140
00:06:54.087	3.190
00:06:54.507	3.240
00:06:54.937	3.303
00:06:55.357	3.353
00:06:55.797	3.403
00:06:56.197	3.453
00:06:56.617	3.503
00:06:57.037	3.565
00:06:57.457	3.615
00:06:57.877	3.665
00:06:58.297	3.715
00:06:58.717	3.765
00:06:59.137	3.828
00:06:59.557	3.878
00:06:59.977	3.928
00:07:00.397	3.978
00:07:00.817	4.028
00:07:01.247	4.090
00:07:01.667	4.140
00:07:02.087	4.190
00:07:02.507	4.240
00:07:02.927	4.290
00:07:03.347	4.353
00:07:03.767	4.403
00:07:04.187	4.453
00:07:04.607	4.500
00:07:16.011	4.500
00:07:16.877	0.000
