time	Pump C:Actual flow [µL/min]
00:02:03.866	20.090
00:02:04.336	19.801
00:02:04.806	20.032
00:02:05.276	20.076
00:02:05.746	19.797
00:02:06.276	3.525
00:02:06.746	0.444
00:02:07.216	0.103
00:02:07.686	0.032
00:02:08.146	0.010
00:02:09.086	-0.001
00:02:09.556	0.006
00:02:10.026	-0.013
00:02:10.496	-0.001
00:02:10.966	0.006
00:02:11.456	0.010
00:02:11.906	-0.001
00:02:12.376	-0.005
00:02:12.846	0.002
00:02:13.316	-0.009
00:02:13.786	0.002
00:02:14.256	-0.001
00:02:14.726	-0.009
00:02:15.196	0.002
00:02:15.666	0.013
00:02:16.136	-0.005
00:02:16.606	0.010
00:02:17.076	0.006
00:02:17.546	0.013
00:02:18.015	-0.005
00:02:18.506	-0.016
00:02:18.935	-0.001
00:02:19.405	0.002
00:02:20.345	0.006
00:02:21.285	-0.005
00:02:21.755	0.006
00:02:22.225	-0.005
00:02:22.695	0.006
00:02:23.165	-0.005
00:02:23.635	-0.001
00:02:24.105	0.002
00:02:24.575	-0.001
00:02:25.045	0.006
00:02:25.515	-0.001
00:02:25.985	0.006
00:02:26.455	0.002
00:02:26.925	-0.005
00:02:27.395	-0.009
00:02:27.865	-0.005
00:02:28.335	0.002
00:02:28.805	0.010
00:02:29.275	0.002
00:02:30.215	-0.001
00:02:30.685	-0.005
00:02:31.155	-0.009
00:02:31.625	0.002
00:02:32.095	-0.005
00:02:33.025	0.006
00:02:33.495	-0.009
00:02:33.965	0.002
00:02:34.905	-0.001
00:02:35.375	0.002
00:02:36.315	-0.005
00:02:36.785	-0.001
00:02:37.255	0.006
00:02:37.725	-0.009
00:02:38.195	-0.005
00:02:38.665	0.002
00:02:39.135	-0.001
00:02:39.605	-0.005
00:02:40.545	0.002
00:02:41.015	0.006
00:02:41.485	0.002
00:02:41.955	-0.001
00:02:42.425	0.002
00:02:42.895	0.006
00:02:43.365	-0.001
00:02:43.835	0.006
00:02:44.281	0.002
00:02:45.135	-0.001
00:02:45.564	0.006
00:02:46.855	-0.001
00:02:47.725	0.010
00:02:48.155	-0.009
00:02:48.605	0.002
00:02:49.070	-0.005
00:02:49.504	-0.009
00:02:49.935	-0.002
00:02:50.368	-0.005
00:02:50.795	-0.009
00:02:51.224	0.006
00:02:51.655	-0.002
00:02:52.514	0.002
00:02:52.944	-0.005
00:02:54.234	-0.009
00:02:54.664	0.006
00:02:55.094	-0.005
00:02:55.524	0.010
00:02:55.954	-0.005
00:02:56.384	0.006
00:02:56.814	-0.002
00:02:57.244	0.002
00:02:57.674	-0.009
00:02:58.104	0.002
00:02:59.404	-0.013
00:02:59.834	-0.009
00:03:00.264	-0.002
00:03:01.124	-0.009
00:03:01.554	0.002
00:03:01.984	-0.005
00:03:02.414	0.002
00:03:03.274	-0.002
00:03:03.704	-0.005
00:03:04.134	0.006
00:03:04.564	-0.002
00:03:05.854	-0.009
00:03:06.284	-0.005
00:03:06.714	0.006
00:03:07.144	0.002
00:03:07.574	-0.005
00:03:08.004	-0.002
00:03:08.434	-0.009
00:03:08.864	0.006
00:03:09.304	-0.009
00:03:09.734	0.002
00:03:10.594	-0.005
00:03:11.454	-0.002
00:03:11.884	-0.005
00:03:12.314	0.002
00:03:12.744	0.006
00:03:13.604	-0.005
00:03:14.034	0.002
00:03:14.464	0.006
00:03:15.324	-0.005
00:03:16.614	-0.009
00:03:17.044	0.002
00:03:17.904	-0.002
00:03:18.334	0.002
00:03:18.776	-0.005
00:03:19.194	0.010
00:03:19.624	-0.002
00:03:20.064	0.002
00:03:20.494	0.006
00:03:20.923	-0.005
00:03:21.354	0.013
00:03:21.784	-0.005
00:03:22.654	-0.002
00:03:23.514	-0.005
00:03:23.943	0.006
00:03:24.374	0.002
00:03:25.674	-0.002
00:03:26.103	0.002
00:03:26.963	0.010
00:03:27.393	0.006
00:03:27.823	0.002
00:03:28.253	-0.009
00:03:28.683	0.010
00:03:29.113	0.002
00:03:29.973	-0.005
00:03:30.413	0.006
00:03:30.843	-0.005
00:03:31.273	0.006
00:03:32.133	-0.002
00:03:32.998	-0.009
00:03:33.433	0.002
00:03:33.863	-0.009
00:03:34.293	0.002
00:03:35.153	-0.005
00:03:35.583	0.006
00:03:36.013	0.002
00:03:36.873	0.006
00:03:37.303	-0.009
00:03:37.733	0.002
00:03:38.163	-0.002
00:03:38.593	0.002
00:03:39.023	-0.005
00:03:39.453	0.002
00:03:39.883	-0.009
00:03:40.323	0.002
00:03:40.753	-0.005
00:03:41.183	0.006
00:03:41.613	-0.002
00:03:42.043	0.002
00:03:42.903	0.006
00:03:43.763	0.010
00:03:44.193	-0.005
00:03:44.633	-0.002
00:03:45.063	0.002
00:03:45.493	0.006
00:03:46.353	-0.002
00:03:46.783	0.013
00:03:47.213	0.002
00:03:49.155	0.002
00:03:49.363	-0.005
00:03:49.793	-0.002
00:03:50.223	0.002
00:03:51.523	0.006
00:03:51.953	0.002
00:03:52.383	0.006
00:03:52.813	0.010
00:03:53.243	-0.005
00:03:53.673	0.002
00:03:54.103	-0.002
00:03:54.973	0.006
00:03:55.413	0.002
00:03:56.703	-0.002
00:03:57.133	-0.005
00:03:57.563	0.002
00:03:58.853	-0.005
00:03:59.283	0.006
00:03:59.713	-0.009
00:04:00.142	0.002
00:04:00.582	-0.009
00:04:01.012	0.002
00:04:01.873	-0.002
00:04:02.302	0.010
00:04:02.732	-0.005
00:04:03.162	-0.002
00:04:03.592	0.006
00:04:04.022	-0.002
00:04:04.452	-0.005
00:04:04.882	0.002
00:04:05.312	-0.002
00:04:06.172	0.006
00:04:07.405	0.006
00:04:07.462	-0.002
00:04:08.322	0.002
00:04:08.762	-0.002
00:04:09.622	0.002
00:04:10.052	-0.002
00:04:10.912	0.013
00:04:11.342	-0.002
00:04:11.782	0.002
00:04:12.212	-0.002
00:04:13.495	-0.002
00:04:13.502	0.002
00:04:13.962	-0.002
00:04:14.392	0.002
00:04:15.252	-0.009
00:04:15.682	-0.002
00:04:16.112	0.002
00:04:16.542	0.010
00:04:17.402	0.002
00:04:17.842	-0.005
00:04:18.272	0.010
00:04:18.702	0.006
00:04:19.132	0.002
00:04:19.562	0.006
00:04:19.992	0.002
00:04:20.422	-0.009
00:04:20.852	0.002
00:04:21.712	0.010
00:04:22.152	-0.009
00:04:23.012	0.002
00:04:23.872	-0.005
00:04:24.302	-0.002
00:04:25.162	0.002
00:04:26.022	-0.002
00:04:26.452	0.002
00:04:26.882	-0.005
00:04:27.312	-0.009
00:04:27.732	-0.005
00:04:28.162	-0.002
00:04:28.592	0.006
00:04:29.022	0.002
00:04:29.452	-0.002
00:04:29.882	-0.005
00:04:30.312	0.002
00:04:30.742	0.006
00:04:31.172	0.010
00:04:31.602	-0.002
00:04:32.032	-0.005
00:04:32.462	0.006
00:04:32.891	0.002
00:04:33.752	0.010
00:04:34.192	-0.002
00:04:35.481	0.013
00:04:35.911	-0.005
00:04:36.341	-0.016
00:04:36.771	-0.005
00:04:37.201	-0.002
00:04:37.631	0.006
00:04:38.061	0.002
00:04:38.491	-0.002
00:04:38.911	0.010
00:04:39.341	0.006
00:04:39.771	-0.005
00:04:40.201	-0.009
00:04:40.631	-0.002
00:04:41.491	-0.005
00:04:42.351	0.002
00:04:42.781	-0.009
00:04:43.641	-0.005
00:04:44.071	-0.002
00:04:44.501	-0.005
00:04:44.904	0.002
00:04:45.354	0.006
00:04:45.773	-0.016
00:04:46.203	-0.002
00:04:46.634	0.002
00:04:47.084	0.002
00:04:47.571	-0.005
00:04:48.051	0.002
00:04:48.526	-0.002
00:04:48.941	0.050
00:04:49.381	1.418
00:04:49.801	3.038
00:04:50.221	5.393
00:04:50.641	6.986
00:04:51.064	8.402
00:04:51.481	9.873
00:04:51.901	11.479
00:04:52.331	13.005
00:04:52.751	14.427
00:04:53.171	15.800
00:04:53.591	17.743
00:04:54.011	18.762
00:04:54.431	18.820
00:04:54.851	18.581
00:04:55.281	18.327
00:04:55.701	18.204
00:04:56.126	18.421
00:04:56.551	18.174
00:04:56.971	18.138
00:04:57.391	18.385
00:04:57.811	18.523
00:04:58.231	18.501
00:04:58.651	18.479
00:04:59.071	18.457
00:04:59.491	18.490
00:04:59.911	18.414
00:05:00.331	18.516
00:05:00.751	18.447
00:05:01.171	18.516
00:05:01.591	18.465
00:05:02.011	18.403
00:05:02.441	18.751
00:05:02.861	18.454
00:05:03.281	18.287
00:05:03.701	18.349
00:05:04.121	18.476
00:05:04.561	18.523
00:05:04.981	18.577
00:05:05.401	18.766
00:05:05.821	18.751
00:05:06.240	18.875
00:05:06.661	18.962
00:05:07.081	18.893
00:05:07.511	19.123
00:05:07.931	18.965
00:05:08.351	18.991
00:05:08.780	18.951
00:05:09.201	18.726
00:05:09.620	18.791
00:05:10.040	18.824
00:05:10.460	18.860
00:05:10.880	18.802
00:05:11.300	18.984
00:05:11.720	18.991
00:05:12.140	19.075
00:05:12.560	19.108
00:05:12.980	19.009
00:05:13.400	19.335
00:05:13.820	19.493
00:05:14.240	19.401
00:05:14.660	19.379
00:05:15.080	19.152
00:05:15.500	19.002
00:05:15.920	19.174
00:05:16.340	19.288
00:05:16.770	19.277
00:05:17.190	19.328
00:05:17.610	19.566
00:05:18.030	19.640
00:05:18.450	19.643
00:05:18.870	19.658
00:05:19.290	19.394
00:05:19.710	19.409
00:05:20.130	19.372
00:05:20.550	19.445
00:05:20.970	19.669
00:05:21.390	19.764
00:05:21.820	19.834
00:05:22.240	19.867
00:05:22.660	19.856
00:05:23.080	19.603
00:05:23.500	19.497
00:05:23.920	19.508
00:05:24.340	19.519
00:05:24.760	19.768
00:05:25.180	19.738
00:05:25.600	19.588
00:05:26.020	19.541
00:05:26.440	19.504
00:05:26.860	19.453
00:05:27.280	19.350
00:05:27.700	19.321
00:05:28.120	18.936
00:05:28.540	18.853
00:05:28.960	18.780
00:05:29.380	18.693
00:05:29.800	18.613
00:05:30.220	18.468
00:05:30.640	18.367
00:05:31.060	18.316
00:05:31.480	18.229
00:05:31.900	18.309
00:05:32.320	18.193
00:05:32.740	18.131
00:05:33.160	17.946
00:05:33.580	18.207
00:05:34.000	18.069
00:05:34.420	17.852
00:05:34.840	17.735
00:05:35.260	17.612
00:05:35.680	17.699
00:05:36.100	17.351
00:05:36.520	17.369
00:05:36.940	17.322
00:05:37.360	17.340
00:05:37.780	17.137
00:05:38.200	17.079
00:05:38.620	17.093
00:05:39.050	17.133
00:05:39.470	16.955
00:05:39.890	17.050
00:05:40.310	17.075
00:05:40.729	16.984
00:05:41.150	16.887
00:05:41.570	16.792
00:05:42.000	16.633
00:05:42.420	16.328
00:05:42.839	16.237
00:05:43.270	16.106
00:05:43.689	16.125
00:05:44.109	16.451
00:05:44.529	16.389
00:05:44.949	16.226
00:05:45.369	15.969
00:05:45.789	15.722
00:05:46.209	15.644
00:05:46.629	15.704
00:05:47.059	15.573
00:05:47.479	15.708
00:05:47.899	15.736
00:05:48.319	15.651
00:05:48.739	15.442
00:05:49.159	15.166
00:05:49.579	15.046
00:05:49.999	15.234
00:05:50.420	15.230
00:05:50.839	15.202
00:05:51.259	14.975
00:05:51.679	14.767
00:05:52.099	14.749
00:05:52.519	14.738
00:05:52.939	14.812
00:05:53.359	14.646
00:05:53.779	14.409
00:05:54.199	14.335
00:05:54.619	14.303
00:05:55.039	14.413
00:05:55.459	14.370
00:05:55.879	14.080
00:05:56.299	13.917
00:05:56.719	14.055
00:05:57.139	14.031
00:05:57.559	13.758
00:05:57.979	13.638
00:05:58.409	13.723
00:05:58.829	13.772
00:05:59.249	13.603
00:05:59.669	13.525
00:06:00.089	13.366
00:06:00.509	13.390
00:06:00.929	13.093
00:06:01.359	13.090
00:06:01.779	13.242
00:06:02.199	13.026
00:06:02.619	12.790
00:06:03.039	12.894
00:06:03.459	13.001
00:06:03.879	12.687
