time	Pump B:Pump speed [µL/min]
00:06:00.019	5.474
00:06:00.439	5.227
00:06:00.859	6.054
00:06:01.289	4.574
00:06:01.709	4.970
00:06:02.129	5.787
00:06:02.549	5.047
00:06:02.969	5.226
00:06:03.389	5.240
00:06:03.809	5.515
00:06:04.229	4.537
00:06:04.649	4.918
00:06:05.076	5.807
00:06:05.489	4.719
00:06:05.909	5.031
00:06:06.329	4.641
00:06:06.749	5.381
00:06:07.179	4.576
00:06:07.599	4.647
00:06:08.019	5.239
00:06:08.449	4.621
00:06:08.869	4.771
00:06:09.289	4.331
00:06:09.709	5.158
00:06:10.134	4.230
00:06:10.549	4.525
00:06:10.969	4.468
00:06:11.399	5.203
00:06:11.819	4.101
00:06:12.238	4.586
00:06:12.659	4.302
00:06:13.079	5.005
00:06:13.499	4.157
00:06:13.919	4.434
00:06:14.339	4.153
00:06:14.759	4.996
00:06:15.179	3.975
00:06:15.599	4.234
00:06:16.019	4.035
00:06:16.439	4.468
00:06:16.859	4.293
00:06:17.278	4.018
00:06:17.698	3.691
00:06:18.119	4.193
00:06:18.538	4.451
00:06:18.958	3.589
00:06:19.378	4.048
00:06:19.798	3.739
00:06:20.218	4.120
00:06:20.638	4.232
00:06:21.058	3.873
00:06:21.478	3.596
00:06:21.898	3.914
00:06:22.318	4.251
00:06:22.738	3.423
00:06:23.158	3.339
00:06:23.578	3.503
00:06:23.998	3.363
00:06:24.418	3.948
00:06:24.838	3.598
00:06:25.258	3.150
00:06:25.678	3.418
00:06:26.098	3.288
00:06:26.518	3.758
00:06:26.938	3.564
00:06:27.358	2.997
00:06:27.778	3.370
00:06:28.198	3.197
00:06:28.618	3.278
00:06:29.038	3.633
00:06:29.458	3.463
00:06:29.878	2.953
00:06:30.298	2.935
00:06:30.718	2.897
00:06:31.138	3.209
00:06:31.568	3.484
00:06:31.988	2.928
00:06:32.408	2.837
00:06:32.828	2.635
00:06:33.248	2.720
00:06:33.668	2.932
00:06:34.088	3.260
00:06:34.508	2.451
00:06:34.928	2.798
00:06:35.348	2.676
00:06:35.768	2.588
00:06:36.188	2.665
00:06:36.608	3.054
00:06:37.028	2.799
00:06:37.448	2.398
00:06:37.888	2.364
00:06:38.308	2.303
00:06:38.728	2.409
00:06:39.148	2.422
00:06:39.568	2.808
00:06:39.988	2.544
00:06:40.408	2.269
00:06:40.828	2.015
00:06:41.248	2.225
00:06:41.668	2.209
00:06:42.088	2.206
00:06:42.508	2.327
00:06:42.928	2.571
00:06:43.348	2.277
00:06:43.768	2.030
00:06:44.188	1.877
00:06:44.607	1.989
00:06:45.028	2.019
00:06:45.448	1.827
00:06:45.877	2.050
00:06:46.297	2.358
00:06:46.717	2.386
00:06:47.137	1.963
00:06:47.558	1.806
00:06:47.978	1.482
00:06:48.398	1.847
00:06:48.817	1.670
00:06:49.238	1.648
00:06:49.657	1.736
00:06:50.077	1.709
00:06:50.497	1.860
00:06:50.928	1.938
00:06:51.347	1.697
00:06:51.767	1.280
00:06:52.187	1.391
00:06:52.607	1.428
00:06:53.037	1.623
00:06:53.457	1.480
00:06:53.877	0.000
00:07:17.277	0.000
