time	Pump B:Pressure [bar]
00:00:00.072	0.000
00:00:06.078	0.000
00:00:06.694	0.800
00:00:07.114	0.000
00:00:16.218	0.000
00:00:16.794	0.800
00:00:17.214	2.500
00:00:17.644	3.400
00:00:18.078	4.200
00:00:18.928	5.100
00:00:19.358	6.000
00:00:19.788	6.800
00:00:20.658	8.600
00:00:21.528	9.400
00:00:22.377	9.400
00:00:22.798	8.600
00:00:40.557	8.600
00:00:40.937	9.400
00:00:41.367	8.600
00:00:41.817	9.400
00:00:42.237	9.400
00:00:42.677	8.600
00:00:43.097	8.600
00:00:43.517	8.600
00:00:43.957	9.400
00:00:52.727	9.400
00:00:53.308	6.800
00:00:53.753	5.100
00:00:54.183	4.200
00:00:54.613	2.500
00:00:55.478	1.600
00:00:56.353	0.800
00:01:02.867	0.800
00:01:03.303	0.000
00:01:04.593	0.800
00:01:05.498	0.000
00:01:07.937	0.000
00:01:08.642	0.800
00:01:09.082	0.000
00:01:09.523	0.800
00:01:10.977	0.800
00:01:11.253	0.000
00:01:11.717	0.800
00:01:13.007	0.800
00:01:13.041	0.000
00:01:13.912	0.800
00:01:14.342	0.000
00:01:14.792	0.800
00:01:15.242	0.000
00:01:15.692	0.800
00:01:19.086	0.800
00:01:19.252	0.000
00:01:19.702	0.800
00:01:21.032	0.000
00:01:21.927	0.800
00:01:23.146	0.800
00:01:23.272	0.000
00:01:23.732	0.800
00:01:24.171	0.000
00:01:24.627	0.800
00:01:26.017	0.000
00:01:26.477	0.800
00:01:26.937	0.000
00:01:27.867	0.800
00:01:30.236	0.800
00:01:30.627	0.000
00:01:31.097	0.800
00:01:31.567	0.000
00:01:32.472	0.800
00:01:32.937	0.000
00:01:33.397	0.800
00:01:33.867	0.000
00:01:34.797	0.800
00:01:35.737	0.000
00:01:36.207	0.800
00:01:37.336	0.800
00:01:38.077	0.000
00:01:39.366	0.000
00:01:39.937	0.800
00:01:41.396	0.800
00:01:42.267	0.000
00:01:43.206	0.800
00:01:44.436	0.800
00:01:44.617	0.000
00:01:45.087	0.800
00:01:45.551	0.000
00:01:46.876	0.800
00:01:47.346	0.000
00:01:47.816	0.800
00:01:48.286	0.000
00:01:51.536	0.000
00:01:51.576	0.800
00:01:52.036	0.000
00:01:52.976	0.800
00:01:53.916	0.000
00:01:55.326	0.800
00:01:55.796	0.000
00:01:56.736	0.800
00:01:57.206	0.000
00:01:57.681	0.800
00:01:59.086	0.000
00:02:00.026	0.800
00:02:00.496	0.000
00:02:00.966	0.800
00:02:01.436	0.000
00:02:04.715	0.000
00:02:05.196	0.800
00:02:06.196	0.000
00:02:21.955	0.000
00:02:22.615	0.800
00:02:23.085	0.000
00:02:27.025	0.000
00:02:27.785	0.800
00:02:28.255	0.000
00:02:31.075	0.000
00:02:31.545	0.800
00:02:32.015	0.000
00:02:32.475	0.800
00:02:32.945	0.000
00:02:37.165	0.000
00:02:37.175	0.800
00:02:37.645	0.000
00:02:44.257	0.000
00:02:44.635	0.800
00:02:45.065	0.000
00:03:20.766	0.000
00:03:21.714	0.800
00:03:22.154	0.000
00:03:24.816	0.000
00:03:25.604	0.800
00:03:26.033	0.000
00:03:28.875	0.000
00:03:29.043	0.800
00:03:29.903	0.000
00:03:44.085	0.000
00:03:44.993	0.800
00:03:45.423	0.000
00:04:01.325	0.000
00:04:01.372	0.800
00:04:01.802	0.000
00:04:03.355	0.000
00:04:03.952	0.800
00:04:04.382	0.000
00:04:48.984	0.000
00:04:49.731	0.800
00:04:52.024	0.800
00:04:52.261	1.600
00:05:03.173	1.600
00:05:03.631	2.500
00:05:04.491	1.600
00:05:06.170	2.500
00:05:06.591	1.600
00:05:08.243	1.600
00:05:08.280	2.500
00:05:09.130	1.600
00:05:09.551	2.500
00:05:41.713	2.500
00:05:41.930	1.600
00:05:42.349	2.500
00:05:43.619	1.600
00:05:44.040	2.500
00:05:44.459	1.600
00:05:44.879	2.500
00:05:45.299	1.600
00:05:45.719	2.500
00:05:46.559	1.600
00:05:52.862	1.600
00:05:53.289	2.500
00:05:53.709	1.600
00:06:17.202	1.600
00:06:17.278	0.800
00:06:17.699	1.600
00:06:22.272	1.600
00:06:23.158	0.800
00:06:24.292	0.800
00:06:24.838	1.600
00:06:25.258	0.800
00:06:28.352	0.800
00:06:28.618	1.600
00:06:29.038	0.800
00:06:29.458	1.600
00:06:29.878	0.800
00:06:53.701	0.800
00:06:53.877	0.000
00:06:54.717	0.800
00:06:55.147	0.000
00:06:58.771	0.000
00:06:59.767	0.800
00:07:00.187	0.000
00:07:01.037	0.800
00:07:01.457	0.000
00:07:17.277	0.000
