time	Pump HP:Displacement [µL]
00:00:00.072	24.350
00:00:07.098	24.350
00:00:07.324	23.160
00:00:07.744	21.060
00:00:08.174	18.910
00:00:08.594	16.810
00:00:09.014	14.710
00:00:09.454	12.510
00:00:09.874	10.410
00:00:10.294	8.310
00:00:10.714	6.210
00:00:11.144	4.060
00:00:11.584	1.860
00:00:12.014	0.000
00:00:12.949	0.720
00:00:13.434	1.520
00:00:13.909	2.320
00:00:14.384	3.090
00:00:14.864	3.890
00:00:15.284	4.590
00:00:15.719	4.750
00:00:16.154	4.810
00:00:16.584	4.860
00:00:17.004	4.900
00:00:17.424	4.950
00:00:17.859	4.970
00:00:18.304	4.890
00:00:18.734	4.840
00:00:19.164	4.800
00:00:19.594	4.770
00:00:20.014	4.740
00:00:20.449	4.730
00:00:21.334	4.740
00:00:21.754	4.760
00:00:22.184	4.800
00:00:22.604	4.850
00:00:23.024	4.900
00:00:23.454	4.960
00:00:23.874	5.020
00:00:24.294	5.080
00:00:24.734	5.150
00:00:25.154	5.210
00:00:25.574	5.270
00:00:26.004	5.320
00:00:26.424	5.370
00:00:26.844	5.420
00:00:27.274	5.460
00:00:27.694	5.490
00:00:28.139	5.520
00:00:28.584	5.540
00:00:29.004	5.560
00:00:29.429	5.580
00:00:30.314	5.620
00:00:30.754	5.640
00:00:31.189	5.650
00:00:31.639	5.670
00:00:32.079	5.700
00:00:32.528	5.720
00:00:32.954	5.740
00:00:33.384	5.770
00:00:33.809	5.800
00:00:34.254	5.830
00:00:34.689	5.870
00:00:35.114	5.900
00:00:35.533	5.930
00:00:35.959	5.970
00:00:36.398	6.010
00:00:36.839	6.040
00:00:37.274	6.080
00:00:37.698	6.120
00:00:38.123	6.150
00:00:38.563	6.180
00:00:38.993	6.220
00:00:39.418	6.250
00:00:39.868	6.290
00:00:40.308	6.320
00:00:40.753	6.350
00:00:41.183	6.380
00:00:41.618	6.410
00:00:42.053	6.440
00:00:42.488	6.470
00:00:42.913	6.500
00:00:43.333	6.530
00:00:43.768	6.560
00:00:44.203	6.590
00:00:44.640	6.630
00:00:45.083	6.660
00:00:45.518	6.690
00:00:45.963	6.720
00:00:46.383	6.750
00:00:46.818	6.780
00:00:47.263	6.820
00:00:47.699	6.850
00:00:48.113	6.880
00:00:48.553	6.910
00:00:48.998	6.950
00:00:49.458	6.980
00:00:49.938	7.010
00:00:50.353	7.040
00:00:50.773	7.070
00:00:51.208	7.100
00:00:51.648	7.130
00:00:52.727	7.130
00:00:53.068	7.260
00:00:53.553	7.360
00:00:53.973	7.430
00:00:54.393	7.490
00:00:54.828	7.550
00:00:55.263	7.600
00:00:55.703	7.650
00:00:56.133	7.690
00:00:56.573	7.730
00:00:57.003	7.760
00:00:57.453	7.800
00:00:57.873	7.840
00:00:58.303	7.880
00:00:58.743	7.910
00:00:59.183	7.940
00:00:59.608	7.970
00:01:00.043	8.010
00:01:00.478	8.040
00:01:00.923	8.070
00:01:01.348	8.110
00:01:01.798	8.140
00:01:02.238	8.170
00:01:02.663	8.200
00:01:03.083	8.230
00:01:03.508	8.260
00:01:03.948	8.290
00:01:04.383	8.330
00:01:04.823	8.360
00:01:05.273	8.380
00:01:05.748	8.420
00:01:06.638	8.510
00:01:07.083	8.560
00:01:07.523	8.600
00:01:07.982	8.640
00:01:08.428	8.680
00:01:08.867	8.720
00:01:09.303	8.760
00:01:09.743	8.790
00:01:10.163	8.830
00:01:10.607	8.870
00:01:11.037	8.900
00:01:11.488	8.940
00:01:11.942	8.980
00:01:12.378	9.020
00:01:12.822	9.050
00:01:13.262	9.090
00:01:13.697	9.120
00:01:14.132	9.160
00:01:14.567	9.190
00:01:15.017	9.230
00:01:15.467	9.260
00:01:15.912	9.300
00:01:16.352	9.330
00:01:16.782	9.370
00:01:17.227	9.400
00:01:17.687	9.440
00:01:18.142	9.470
00:01:18.587	9.510
00:01:19.032	9.540
00:01:19.487	9.580
00:01:19.917	9.610
00:01:20.372	9.650
00:01:20.807	9.680
00:01:21.262	9.720
00:01:21.707	9.750
00:01:22.152	9.780
00:01:22.607	9.820
00:01:23.057	9.850
00:01:23.507	9.890
00:01:23.952	9.920
00:01:24.397	9.950
00:01:24.867	9.990
00:01:25.327	10.030
00:01:25.787	10.060
00:01:26.252	10.100
00:01:26.717	10.130
00:01:27.177	10.160
00:01:27.637	10.200
00:01:28.107	10.230
00:01:28.552	10.270
00:01:29.007	10.300
00:01:29.457	10.330
00:01:29.927	10.370
00:01:30.397	10.400
00:01:30.867	10.440
00:01:31.337	10.470
00:01:31.797	10.500
00:01:32.257	10.540
00:01:32.707	10.570
00:01:33.177	10.600
00:01:33.637	10.630
00:01:34.107	10.660
00:01:34.567	10.680
00:01:35.037	10.710
00:01:35.507	10.730
00:01:35.977	10.750
00:01:36.437	10.780
00:01:36.907	10.800
00:01:37.377	10.820
00:01:37.847	10.840
00:01:38.317	10.860
00:01:38.777	10.870
00:01:39.247	10.890
00:01:39.707	10.910
00:01:40.177	10.920
00:01:40.637	10.940
00:01:41.107	10.950
00:01:41.567	10.970
00:01:42.037	10.980
00:01:42.506	11.000
00:01:42.977	11.010
00:01:43.446	11.020
00:01:43.917	11.040
00:01:44.397	11.050
00:01:44.857	11.060
00:01:45.327	11.080
00:01:45.771	11.090
00:01:46.196	11.100
00:01:46.646	11.110
00:01:47.116	11.120
00:01:47.586	11.130
00:01:48.056	11.140
00:01:48.527	11.150
00:01:48.996	11.160
00:01:49.466	11.170
00:01:49.936	11.180
00:01:50.406	11.190
00:01:50.876	11.200
00:01:51.346	11.210
00:01:51.806	11.220
00:01:52.276	11.230
00:01:52.746	11.240
00:01:53.216	11.250
00:01:53.686	11.260
00:01:54.156	11.270
00:01:54.626	11.280
00:01:55.096	11.290
00:01:55.566	11.300
00:01:56.506	11.310
00:01:56.976	11.320
00:01:57.446	11.330
00:01:57.916	11.340
00:01:58.856	11.350
00:01:59.326	11.360
00:01:59.796	11.370
00:02:00.736	11.380
00:02:01.206	11.390
00:02:02.146	11.400
00:02:02.616	11.410
00:02:03.556	11.420
00:02:04.496	11.430
00:02:05.436	11.440
00:02:06.436	11.450
00:02:07.376	11.460
00:02:08.775	11.460
00:02:08.776	11.470
00:02:10.186	11.480
00:02:11.815	11.480
00:02:12.066	11.490
00:02:15.865	11.490
00:02:16.296	11.500
00:02:17.236	11.490
00:02:18.651	11.480
00:02:19.566	11.470
00:02:20.935	11.470
00:02:20.975	11.460
00:02:21.915	11.450
00:02:23.985	11.450
00:02:24.265	11.460
00:02:24.735	11.470
00:02:25.205	11.480
00:02:26.145	11.490
00:02:26.615	11.500
00:02:27.090	11.510
00:02:27.555	11.520
00:02:28.025	11.530
00:02:28.495	11.550
00:02:28.965	11.560
00:02:29.435	11.570
00:02:29.905	11.580
00:02:30.375	11.590
00:02:30.845	11.600
00:02:31.315	11.610
00:02:31.785	11.630
00:02:32.255	11.640
00:02:32.715	11.650
00:02:33.185	11.670
00:02:33.655	11.680
00:02:34.125	11.690
00:02:34.595	11.710
00:02:35.065	11.720
00:02:35.535	11.740
00:02:36.005	11.750
00:02:36.475	11.760
00:02:36.945	11.780
00:02:37.415	11.790
00:02:37.885	11.810
00:02:38.355	11.820
00:02:38.825	11.840
00:02:39.295	11.850
00:02:39.765	11.870
00:02:40.235	11.880
00:02:40.705	11.900
00:02:41.175	11.910
00:02:41.645	11.930
00:02:42.115	11.940
00:02:42.585	11.960
00:02:43.055	11.970
00:02:43.525	11.980
00:02:43.985	12.000
00:02:44.415	12.010
00:02:44.845	12.030
00:02:45.275	12.040
00:02:45.704	12.060
00:02:46.134	12.070
00:02:46.565	12.080
00:02:46.995	12.100
00:02:47.435	12.110
00:02:47.865	12.120
00:02:48.295	12.140
00:02:48.770	12.150
00:02:49.215	12.170
00:02:49.645	12.180
00:02:50.075	12.200
00:02:50.504	12.210
00:02:50.935	12.220
00:02:51.364	12.240
00:02:51.795	12.250
00:02:52.224	12.270
00:02:52.655	12.280
00:02:53.085	12.300
00:02:53.514	12.310
00:02:53.944	12.320
00:02:54.375	12.340
00:02:54.804	12.350
00:02:55.234	12.370
00:02:55.664	12.380
00:02:56.094	12.390
00:02:56.524	12.410
00:02:56.954	12.420
00:02:57.384	12.440
00:02:57.814	12.450
00:02:58.244	12.470
00:02:58.684	12.480
00:02:59.114	12.490
00:02:59.544	12.510
00:02:59.974	12.520
00:03:00.404	12.540
00:03:00.834	12.550
00:03:01.264	12.570
00:03:01.694	12.580
00:03:02.124	12.590
00:03:02.554	12.610
00:03:02.984	12.620
00:03:03.414	12.640
00:03:03.844	12.650
00:03:04.274	12.660
00:03:04.704	12.680
00:03:05.134	12.690
00:03:05.564	12.710
00:03:05.994	12.720
00:03:06.424	12.740
00:03:06.854	12.750
00:03:07.284	12.770
00:03:07.737	12.780
00:03:08.144	12.790
00:03:08.574	12.810
00:03:09.004	12.820
00:03:09.444	12.840
00:03:09.874	12.850
00:03:10.304	12.870
00:03:10.734	12.880
00:03:11.164	12.900
00:03:11.594	12.910
00:03:12.024	12.920
00:03:12.454	12.940
00:03:12.884	12.950
00:03:13.314	12.970
00:03:13.744	12.980
00:03:14.174	13.000
00:03:14.604	13.010
00:03:15.034	13.030
00:03:15.464	13.040
00:03:15.894	13.050
00:03:16.324	13.070
00:03:16.754	13.080
00:03:17.184	13.100
00:03:17.614	13.110
00:03:18.044	13.130
00:03:18.474	13.140
00:03:18.904	13.160
00:03:19.334	13.170
00:03:19.764	13.180
00:03:20.204	13.200
00:03:20.634	13.210
00:03:21.064	13.230
00:03:21.494	13.240
00:03:21.933	13.250
00:03:22.364	13.270
00:03:22.794	13.280
00:03:23.224	13.300
00:03:23.654	13.310
00:03:24.084	13.330
00:03:24.514	13.340
00:03:24.953	13.360
00:03:25.384	13.370
00:03:25.814	13.390
00:03:26.244	13.400
00:03:26.674	13.410
00:03:27.104	13.430
00:03:27.533	13.440
00:03:27.963	13.460
00:03:28.394	13.470
00:03:28.823	13.490
00:03:29.253	13.500
00:03:29.683	13.510
00:03:30.123	13.530
00:03:30.553	13.540
00:03:30.983	13.560
00:03:31.413	13.570
00:03:31.843	13.590
00:03:32.273	13.600
00:03:32.703	13.610
00:03:33.143	13.630
00:03:33.573	13.640
00:03:34.003	13.660
00:03:34.433	13.670
00:03:34.863	13.690
00:03:35.293	13.700
00:03:35.723	13.710
00:03:36.153	13.730
00:03:36.583	13.740
00:03:37.013	13.760
00:03:37.443	13.770
00:03:37.873	13.790
00:03:38.303	13.800
00:03:38.733	13.820
00:03:39.163	13.830
00:03:39.593	13.840
00:03:40.023	13.860
00:03:40.463	13.870
00:03:40.893	13.890
00:03:41.323	13.900
00:03:41.753	13.920
00:03:42.183	13.930
00:03:42.613	13.950
00:03:43.043	13.960
00:03:43.473	13.970
00:03:43.903	13.990
00:03:44.343	14.000
00:03:44.773	14.020
00:03:45.203	14.030
00:03:45.633	14.050
00:03:46.063	14.060
00:03:46.493	14.080
00:03:46.923	14.090
00:03:47.353	14.110
00:03:47.783	14.120
00:03:48.213	14.130
00:03:48.643	14.150
00:03:49.073	14.160
00:03:49.503	14.180
00:03:49.933	14.190
00:03:50.363	14.210
00:03:50.793	14.220
00:03:51.223	14.230
00:03:51.663	14.250
00:03:52.093	14.260
00:03:52.523	14.280
00:03:52.953	14.290
00:03:53.383	14.310
00:03:53.813	14.320
00:03:54.250	14.340
00:03:54.683	14.350
00:03:55.113	14.370
00:03:55.553	14.380
00:03:55.983	14.400
00:03:56.413	14.410
00:03:56.843	14.420
00:03:57.273	14.440
00:03:57.703	14.450
00:03:58.133	14.470
00:03:58.563	14.480
00:03:58.993	14.500
00:03:59.423	14.510
00:03:59.853	14.530
00:04:00.283	14.540
00:04:00.723	14.560
00:04:01.152	14.570
00:04:01.582	14.580
00:04:02.012	14.600
00:04:02.442	14.610
00:04:02.873	14.630
00:04:03.303	14.640
00:04:03.732	14.660
00:04:04.162	14.670
00:04:04.592	14.690
00:04:05.022	14.700
00:04:05.452	14.720
00:04:05.882	14.730
00:04:06.312	14.740
00:04:06.742	14.760
00:04:07.172	14.770
00:04:07.602	14.790
00:04:08.032	14.800
00:04:08.462	14.820
00:04:08.902	14.830
00:04:09.332	14.850
00:04:09.762	14.860
00:04:10.192	14.870
00:04:10.622	14.890
00:04:11.052	14.900
00:04:11.493	14.920
00:04:11.922	14.930
00:04:12.352	14.950
00:04:12.782	14.960
00:04:13.212	14.980
00:04:13.672	14.990
00:04:14.102	15.010
00:04:14.532	15.020
00:04:14.962	15.040
00:04:15.392	15.050
00:04:15.822	15.060
00:04:16.252	15.080
00:04:16.682	15.090
00:04:17.112	15.110
00:04:17.542	15.120
00:04:17.982	15.140
00:04:18.412	15.150
00:04:18.842	15.170
00:04:19.272	15.180
00:04:19.702	15.200
00:04:20.132	15.210
00:04:20.562	15.230
00:04:20.992	15.240
00:04:21.422	15.250
00:04:21.862	15.270
00:04:22.292	15.280
00:04:22.722	15.300
00:04:23.152	15.310
00:04:23.582	15.330
00:04:24.012	15.340
00:04:24.442	15.360
00:04:24.872	15.370
00:04:25.302	15.380
00:04:25.732	15.400
00:04:26.162	15.410
00:04:26.592	15.430
00:04:27.022	15.440
00:04:27.452	15.460
00:04:27.872	15.470
00:04:28.302	15.490
00:04:28.736	15.500
00:04:29.162	15.510
00:04:29.592	15.530
00:04:30.022	15.540
00:04:30.452	15.560
00:04:30.881	15.570
00:04:31.312	15.590
00:04:31.742	15.600
00:04:32.172	15.610
00:04:32.602	15.630
00:04:33.032	15.640
00:04:33.462	15.660
00:04:33.891	15.670
00:04:34.332	15.690
00:04:34.762	15.700
00:04:35.192	15.720
00:04:35.622	15.730
00:04:36.051	15.740
00:04:36.481	15.760
00:04:36.911	15.770
00:04:37.341	15.790
00:04:37.771	15.800
00:04:38.201	15.820
00:04:38.631	15.830
00:04:39.051	15.840
00:04:39.481	15.860
00:04:39.911	15.870
00:04:40.341	15.890
00:04:40.771	15.900
00:04:41.201	15.910
00:04:41.631	15.930
00:04:42.061	15.940
00:04:42.491	15.960
00:04:42.921	15.970
00:04:43.351	15.980
00:04:43.781	16.000
00:04:44.211	16.010
00:04:44.641	16.030
00:04:45.071	16.040
00:04:45.511	16.060
00:04:45.931	16.070
00:04:46.381	16.080
00:04:46.831	16.100
00:04:47.251	16.110
00:04:47.731	16.130
00:04:48.216	16.150
00:04:48.661	16.160
00:04:49.091	16.170
00:04:49.521	16.190
00:04:49.941	16.200
00:04:50.361	16.220
00:04:50.781	16.230
00:04:51.201	16.240
00:04:51.621	16.260
00:04:52.041	16.270
00:04:52.471	16.290
00:04:52.891	16.300
00:04:53.311	16.310
00:04:53.731	16.330
00:04:54.151	16.340
00:04:54.571	16.360
00:04:54.991	16.370
00:04:55.421	16.380
00:04:55.841	16.400
