time	Pump C:Setpoint []
00:06:27.428	8.607
00:06:27.848	8.537
00:06:28.268	8.467
00:06:28.688	8.397
00:06:29.108	8.309
00:06:29.528	8.239
00:06:29.948	8.169
00:06:30.368	8.098
00:06:30.788	8.028
00:06:31.208	7.940
00:06:31.638	7.870
00:06:32.058	7.800
00:06:32.478	7.730
00:06:32.898	7.659
00:06:33.318	7.572
00:06:33.738	7.501
00:06:34.158	7.431
00:06:34.578	7.361
00:06:34.998	7.291
00:06:35.418	7.203
00:06:35.838	7.133
00:06:36.258	7.063
00:06:36.678	6.992
00:06:37.098	6.922
00:06:37.525	6.834
00:06:37.958	6.764
00:06:38.378	6.694
00:06:38.798	6.624
00:06:39.218	6.536
00:06:39.638	6.466
00:06:40.058	6.395
00:06:40.478	6.325
00:06:40.898	6.255
00:06:41.318	6.167
00:06:41.738	6.097
00:06:42.158	6.027
00:06:42.578	5.957
00:06:42.998	5.886
00:06:43.418	5.799
00:06:43.838	5.728
00:06:44.258	5.658
00:06:44.678	5.588
00:06:45.098	5.518
00:06:45.518	5.430
00:06:45.947	5.360
00:06:46.367	5.289
00:06:46.788	5.219
00:06:47.208	5.131
00:06:47.628	5.061
00:06:48.048	4.991
00:06:48.468	4.921
00:06:48.888	4.851
00:06:49.308	4.763
00:06:49.727	4.693
00:06:50.147	4.622
00:06:50.568	4.552
00:06:50.998	4.482
00:06:51.418	4.394
00:06:51.837	4.324
00:06:52.257	4.254
00:06:52.677	4.183
00:06:53.107	4.096
00:06:53.527	4.025
00:06:53.947	0.000
00:07:17.277	0.000
