time	Pump C:Setpoint []
00:00:00.072	0.000
00:00:16.218	0.000
00:00:16.444	3.640
00:00:16.864	6.840
00:00:17.284	10.040
00:00:17.724	14.040
00:00:18.164	17.240
00:00:18.594	19.740
00:00:19.014	17.380
00:00:19.444	15.491
00:00:19.874	13.603
00:00:20.310	11.715
00:00:20.749	9.354
00:00:21.184	8.198
00:00:25.348	8.198
00:00:26.284	13.041
00:00:26.704	20.639
00:00:27.134	27.295
00:00:27.554	27.564
00:00:27.984	27.832
00:00:28.434	28.168
00:00:28.864	28.436
00:00:29.284	28.705
00:00:29.724	29.040
00:00:30.174	29.309
00:00:30.614	29.644
00:00:31.039	29.912
00:00:31.479	30.181
00:00:31.929	30.516
00:00:32.374	30.785
00:00:32.814	31.120
00:00:33.239	31.389
00:00:33.654	31.657
00:00:34.109	31.993
00:00:34.543	32.220
00:00:34.964	32.424
00:00:35.384	32.628
00:00:35.804	32.832
00:00:36.244	33.087
00:00:36.684	33.291
00:00:37.124	33.546
00:00:37.553	33.750
00:00:37.974	33.954
00:00:38.408	34.158
00:00:38.843	34.413
00:00:39.273	34.582
00:00:39.723	34.511
00:00:40.148	34.455
00:00:40.603	34.399
00:00:41.038	34.329
00:00:41.458	34.273
00:00:41.903	34.217
00:00:42.328	34.146
00:00:42.763	34.090
00:00:43.183	34.034
00:00:43.608	34.106
00:00:44.043	34.450
00:00:44.488	34.688
00:00:52.727	34.688
00:00:52.903	0.000
00:01:05.907	0.000
00:01:06.483	20.000
00:02:05.725	20.000
00:02:06.276	0.000
00:02:11.815	0.000
00:02:11.906	-200.000
00:04:44.924	-200.000
00:04:45.354	60.000
00:04:46.954	60.000
00:04:47.571	0.000
00:04:48.941	0.914
00:04:49.381	2.354
00:04:49.801	3.794
00:04:50.221	5.598
00:04:50.641	7.038
00:04:51.064	8.478
00:04:51.481	9.918
00:04:51.901	11.358
00:04:52.331	13.158
00:04:52.751	14.598
00:04:53.171	16.038
00:04:53.591	17.478
00:04:54.011	18.021
00:04:54.431	18.045
00:04:54.851	18.069
00:04:55.281	18.093
00:04:55.701	18.117
00:04:56.126	18.147
00:04:56.551	18.171
00:04:56.971	18.195
00:04:57.391	18.219
00:04:57.811	18.249
00:04:58.231	18.273
00:04:58.651	18.297
00:04:59.071	18.321
00:04:59.491	18.345
00:04:59.911	18.375
00:05:00.331	18.399
00:05:00.751	18.423
00:05:01.171	18.447
00:05:01.591	18.471
00:05:02.011	18.501
00:05:02.441	18.525
00:05:02.861	18.549
00:05:03.281	18.573
00:05:03.701	18.597
00:05:04.121	18.627
00:05:04.561	18.651
00:05:04.981	18.675
00:05:05.401	18.699
00:05:05.821	18.729
00:05:06.240	18.753
00:05:06.661	18.777
00:05:07.081	18.801
00:05:07.511	18.831
00:05:07.931	18.855
00:05:08.351	18.879
00:05:08.780	18.903
00:05:09.201	18.927
00:05:09.621	18.957
00:05:10.040	18.981
00:05:10.460	19.005
00:05:10.880	19.029
00:05:11.300	19.053
00:05:11.720	19.083
00:05:12.140	19.107
00:05:12.560	19.131
00:05:12.980	19.155
00:05:13.400	19.179
00:05:13.820	19.209
00:05:14.240	19.233
00:05:14.660	19.257
00:05:15.080	19.281
00:05:15.500	19.305
00:05:15.920	19.335
00:05:16.340	19.359
00:05:16.770	19.383
00:05:17.190	19.407
00:05:17.610	19.437
00:05:18.030	19.461
00:05:18.450	19.485
00:05:18.870	19.509
00:05:19.290	19.533
00:05:19.710	19.563
00:05:20.130	19.587
00:05:20.550	19.611
00:05:20.970	19.635
00:05:21.390	19.659
00:05:21.820	19.689
00:05:22.240	19.713
00:05:22.660	19.737
00:05:23.080	19.761
00:05:23.500	19.785
00:05:23.920	19.755
00:05:24.340	19.685
00:05:24.760	19.615
00:05:25.180	19.545
00:05:25.600	19.474
00:05:26.020	19.387
00:05:26.440	19.316
00:05:26.860	19.246
00:05:27.280	19.176
00:05:27.700	19.106
00:05:28.120	19.018
00:05:28.540	18.948
00:05:28.960	18.878
00:05:29.380	18.807
00:05:29.800	18.737
00:05:30.220	18.649
00:05:30.640	18.579
00:05:31.060	18.509
00:05:31.480	18.439
00:05:31.900	18.368
00:05:32.320	18.281
00:05:32.740	18.210
00:05:33.160	18.140
00:05:33.580	18.070
00:05:34.000	18.000
00:05:34.420	17.912
00:05:34.840	17.842
00:05:35.260	17.772
00:05:35.680	17.701
00:05:36.100	17.631
00:05:36.520	17.543
00:05:36.940	17.473
00:05:37.360	17.403
00:05:37.780	17.333
00:05:38.200	17.262
00:05:38.620	17.175
00:05:39.050	17.104
00:05:39.470	17.034
00:05:39.890	16.964
00:05:40.310	16.876
00:05:40.730	16.806
00:05:41.150	16.736
00:05:41.570	16.666
00:05:42.000	16.595
00:05:42.420	16.508
00:05:42.839	16.437
00:05:43.270	16.367
00:05:43.690	16.297
00:05:44.109	16.209
00:05:44.529	16.139
00:05:44.949	16.069
00:05:45.370	15.998
00:05:45.789	15.928
00:05:46.209	15.840
00:05:46.629	15.770
00:05:47.059	15.700
00:05:47.479	15.630
00:05:47.899	15.560
00:05:48.319	15.472
00:05:48.739	15.402
00:05:49.159	15.331
00:05:49.579	15.261
00:05:49.999	15.191
00:05:50.420	15.103
00:05:50.839	15.033
00:05:51.259	14.963
00:05:51.679	14.892
00:05:52.099	14.822
00:05:52.519	14.734
00:05:52.939	14.664
00:05:53.359	14.594
00:05:53.779	14.524
00:05:54.199	14.454
00:05:54.619	14.366
00:05:55.039	14.296
00:05:55.459	14.225
00:05:55.879	14.155
00:05:56.299	14.085
00:05:56.719	13.997
00:05:57.139	13.927
00:05:57.559	13.857
00:05:57.979	13.786
00:05:58.409	13.699
00:05:58.829	13.628
00:05:59.249	13.558
00:05:59.669	13.488
00:06:00.089	13.418
00:06:00.509	13.330
00:06:00.929	13.260
00:06:01.359	13.190
00:06:01.779	13.119
00:06:02.199	13.049
00:06:02.619	12.961
00:06:03.039	12.891
00:06:03.459	12.821
00:06:03.879	12.751
00:06:04.299	12.680
00:06:04.719	12.593
00:06:05.139	12.522
00:06:05.559	12.452
00:06:05.979	12.382
00:06:06.399	12.312
00:06:06.819	12.224
00:06:07.249	12.154
00:06:07.669	12.084
00:06:08.100	12.013
00:06:08.519	11.926
00:06:08.939	11.855
00:06:09.359	11.785
00:06:09.779	11.715
00:06:10.199	11.645
00:06:10.619	11.557
00:06:11.039	11.487
00:06:11.469	11.416
00:06:11.889	11.346
00:06:12.309	11.258
00:06:12.729	11.188
00:06:13.149	11.118
00:06:13.569	11.048
00:06:13.989	10.978
00:06:14.409	10.890
00:06:14.829	10.820
00:06:15.248	10.749
00:06:15.669	10.679
00:06:16.089	10.609
00:06:16.509	10.521
00:06:16.929	10.451
00:06:17.348	10.381
00:06:17.769	10.310
00:06:18.188	10.240
00:06:18.608	10.152
00:06:19.028	10.082
00:06:19.448	10.012
00:06:19.869	9.942
00:06:20.288	9.871
00:06:20.708	9.784
00:06:21.128	9.713
00:06:21.548	9.643
00:06:21.968	9.573
00:06:22.388	9.503
00:06:22.808	9.415
00:06:23.228	9.345
00:06:23.648	9.275
00:06:24.068	9.204
00:06:24.488	9.134
00:06:24.908	9.046
00:06:25.328	8.976
00:06:25.748	8.906
00:06:26.168	8.836
00:06:26.588	8.765
00:06:27.008	8.678
