time	Pump A:Pressure [bar]
00:00:00.072	0.000
00:00:09.118	0.000
00:00:10.014	-0.800
00:00:10.434	0.000
00:00:16.218	0.000
00:00:17.144	1.700
00:00:17.564	2.600
00:00:18.024	3.400
00:00:18.428	4.300
00:00:18.874	5.200
00:00:19.304	6.000
00:00:20.138	6.900
00:00:20.604	7.800
00:00:21.044	8.600
00:00:24.328	8.600
00:00:24.444	7.800
00:00:24.874	8.600
00:00:25.277	7.800
00:00:26.564	7.800
00:00:32.647	7.800
00:00:33.497	7.800
00:00:33.927	7.800
00:00:34.367	7.800
00:00:34.807	8.600
00:00:35.227	7.800
00:00:35.647	8.600
00:00:36.087	7.800
00:00:36.527	8.600
00:00:36.967	7.800
00:00:37.387	8.600
00:00:40.557	8.600
00:00:40.867	9.500
00:00:41.297	9.500
00:00:42.587	9.500
00:00:43.447	10.400
00:00:44.317	11.200
00:00:44.767	12.100
00:00:46.077	11.200
00:00:46.497	11.200
00:00:47.657	11.200
00:00:48.227	12.100
00:00:48.667	11.200
00:00:52.727	11.200
00:00:53.228	9.500
00:00:53.713	7.800
00:00:54.113	6.000
00:00:54.973	4.300
00:00:55.843	3.400
00:00:56.278	2.600
00:00:57.148	1.700
00:00:58.448	0.800
00:01:00.837	0.800
00:01:01.498	0.000
00:01:01.943	0.800
00:01:02.383	0.000
00:03:43.075	0.000
00:03:44.053	-0.800
00:03:44.493	0.000
00:04:46.076	0.000
00:04:46.511	0.000
00:04:46.961	-0.800
00:04:47.401	0.000
00:04:48.984	0.000
00:04:49.661	1.700
00:04:50.081	2.600
00:04:50.501	3.400
00:04:50.921	4.300
00:04:51.341	5.200
00:04:51.761	6.000
00:04:52.191	6.900
00:04:52.611	7.800
00:04:53.451	9.500
00:04:56.084	9.500
00:04:56.411	8.600
00:04:57.251	9.500
00:04:57.671	8.600
00:04:58.511	9.500
00:04:58.931	8.600
00:05:06.223	8.600
00:05:06.941	7.800
00:05:08.243	7.800
00:05:09.060	8.600
00:05:09.481	7.800
00:05:14.333	7.800
00:05:14.520	6.900
00:05:14.940	7.800
00:05:16.200	6.900
00:05:16.630	7.800
00:05:17.050	6.900
00:05:22.443	6.900
00:05:22.940	6.000
00:05:23.360	6.900
00:05:23.780	6.000
00:05:24.620	6.900
00:05:25.040	6.000
00:05:36.643	6.000
00:05:37.220	5.200
00:05:37.640	6.000
00:05:39.683	6.000
00:05:40.170	5.200
00:05:51.852	5.200
00:05:51.959	4.300
00:05:52.799	5.200
00:05:53.872	5.200
00:05:54.059	4.300
00:05:54.479	5.200
00:05:54.899	4.300
00:05:55.319	5.200
00:05:55.739	4.300
00:06:07.062	4.300
00:06:07.949	3.400
00:06:08.799	4.300
00:06:09.639	3.400
00:06:10.059	4.300
00:06:10.479	3.400
00:06:19.222	3.400
00:06:20.148	2.600
00:06:20.569	3.400
00:06:21.828	2.600
00:06:22.248	3.400
00:06:23.088	2.600
00:06:25.312	2.600
00:06:25.608	3.400
00:06:26.028	2.600
00:06:26.868	3.400
00:06:27.288	2.600
00:06:34.431	2.600
00:06:35.278	1.700
00:06:35.698	2.600
00:06:36.538	1.700
00:06:38.238	2.600
00:06:38.658	1.700
00:06:47.621	1.700
00:06:48.328	0.800
00:06:48.748	1.700
00:06:51.671	1.700
00:06:52.117	0.800
00:06:52.968	1.700
00:06:53.387	0.800
00:06:53.807	0.000
00:07:17.277	0.000
