time	Pump HP:Pressure [bar]
00:00:00.072	176.400
00:00:00.085	175.600
00:00:00.515	173.000
00:00:00.975	171.300
00:00:01.455	169.500
00:00:01.940	167.800
00:00:02.394	166.100
00:00:02.805	164.300
00:00:03.254	162.600
00:00:03.734	160.900
00:00:04.204	159.100
00:00:04.675	157.400
00:00:05.134	155.700
00:00:05.594	153.900
00:00:06.054	152.200
00:00:06.494	0.000
00:00:07.744	-0.800
00:00:12.168	-0.800
00:00:12.459	0.000
00:00:12.949	44.000
00:00:13.434	105.500
00:00:13.909	167.800
00:00:14.384	235.300
00:00:14.864	299.300
00:00:15.284	358.200
00:00:15.719	369.400
00:00:17.238	369.400
00:00:17.859	368.500
00:00:18.304	357.300
00:00:18.734	348.600
00:00:19.164	340.900
00:00:19.594	333.900
00:00:20.014	328.700
00:00:20.449	323.600
00:00:20.904	320.100
00:00:21.334	316.600
00:00:21.754	314.900
00:00:22.604	317.500
00:00:23.024	320.100
00:00:23.454	322.700
00:00:23.874	326.100
00:00:24.294	328.700
00:00:24.734	332.200
00:00:25.154	335.700
00:00:25.574	338.300
00:00:26.004	340.000
00:00:26.424	341.700
00:00:26.844	342.600
00:00:27.274	343.500
00:00:28.139	342.600
00:00:28.584	341.700
00:00:29.004	340.000
00:00:29.429	339.100
00:00:30.314	335.700
00:00:30.754	333.900
00:00:31.189	333.100
00:00:31.639	331.300
00:00:32.079	330.500
00:00:32.528	329.600
00:00:32.954	328.700
00:00:33.384	327.900
00:00:35.488	327.900
00:00:35.959	328.700
00:00:36.839	329.600
00:00:37.274	330.500
00:00:38.527	330.500
00:00:38.993	331.300
00:00:41.568	331.300
00:00:41.618	330.500
00:00:43.597	330.500
00:00:44.203	329.600
00:00:44.640	330.500
00:00:45.083	329.600
00:00:48.667	329.600
00:00:48.998	330.500
00:00:49.458	329.600
00:00:49.938	329.600
00:00:50.353	328.700
00:00:52.727	328.700
00:00:53.068	327.000
00:00:53.973	327.900
00:00:55.263	328.700
00:00:57.797	328.700
00:00:58.303	329.600
00:00:59.608	328.700
00:01:01.847	328.700
00:01:02.238	329.600
00:01:02.663	328.700
00:01:03.508	329.600
00:01:03.948	328.700
00:01:05.907	328.700
00:01:06.638	331.300
00:01:07.083	332.200
00:01:07.523	333.900
00:01:08.428	334.800
00:01:08.867	335.700
00:01:09.743	336.500
00:01:10.163	337.400
00:01:11.488	338.300
00:01:11.942	339.100
00:01:13.007	339.100
00:01:13.262	340.000
00:01:15.017	340.900
00:01:15.467	340.000
00:01:15.912	340.900
00:01:17.057	340.900
00:01:17.687	341.700
00:01:22.126	341.700
00:01:22.607	342.600
00:01:23.057	341.700
00:01:23.507	342.600
00:01:23.952	341.700
00:01:24.867	342.600
00:01:26.186	342.600
00:01:26.252	341.700
00:01:29.226	341.700
00:01:29.457	342.600
00:01:29.927	341.700
00:01:32.267	341.700
00:01:33.177	340.900
00:01:34.107	340.000
00:01:34.567	339.100
00:01:35.037	338.300
00:01:35.507	337.400
00:01:35.977	335.700
00:01:36.437	334.800
00:01:36.907	333.900
00:01:37.377	332.200
00:01:37.847	330.500
00:01:38.317	329.600
00:01:38.777	327.900
00:01:39.247	326.100
