time	Pump B:Setpoint []
00:00:00.072	0.000
00:02:11.815	0.000
00:02:11.826	-38.000
00:04:44.924	-38.000
00:04:45.301	60.000
00:04:46.954	60.000
00:04:47.472	0.000
00:04:48.871	0.054
00:04:49.311	0.254
00:04:49.731	0.414
00:04:50.151	0.574
00:04:50.571	0.734
00:04:50.991	0.934
00:04:51.411	1.094
00:04:51.831	1.254
00:04:52.261	1.414
00:04:52.681	1.574
00:04:53.101	1.774
00:04:53.521	1.934
00:04:53.941	2.047
00:04:54.361	2.127
00:04:54.781	2.207
00:04:55.211	2.307
00:04:55.631	2.387
00:04:56.051	2.467
00:04:56.481	2.547
00:04:56.901	2.647
00:04:57.321	2.727
00:04:57.741	2.807
00:04:58.161	2.887
00:04:58.581	2.967
00:04:59.001	3.067
00:04:59.421	3.147
00:04:59.841	3.227
00:05:00.261	3.307
00:05:00.681	3.387
00:05:01.101	3.487
00:05:01.521	3.567
00:05:01.941	3.647
00:05:02.371	3.727
00:05:02.791	3.827
00:05:03.210	3.907
00:05:03.631	3.987
00:05:04.051	4.067
00:05:04.491	4.167
00:05:04.911	4.247
00:05:05.330	4.327
00:05:05.751	4.407
00:05:06.170	4.487
00:05:06.591	4.587
00:05:07.011	4.667
00:05:07.441	4.747
00:05:07.861	4.827
00:05:08.280	4.907
00:05:08.711	5.007
00:05:09.130	5.087
00:05:09.551	5.167
00:05:09.971	5.247
00:05:10.390	5.347
00:05:10.810	5.427
00:05:11.230	5.507
00:05:11.650	5.587
00:05:12.070	5.667
00:05:12.490	5.767
00:05:12.910	5.847
00:05:13.330	5.927
00:05:13.750	6.007
00:05:14.170	6.087
00:05:14.590	6.187
00:05:15.010	6.267
00:05:15.430	6.347
00:05:15.850	6.427
00:05:16.270	6.507
00:05:16.700	6.607
00:05:17.120	6.687
00:05:17.540	6.767
00:05:17.960	6.847
00:05:18.380	6.927
00:05:18.800	7.027
00:05:19.220	7.107
00:05:19.640	7.187
00:05:20.060	7.267
00:05:20.480	7.347
00:05:20.900	7.447
00:05:21.320	7.527
00:05:21.750	7.607
00:05:22.170	7.687
00:05:22.590	7.787
00:05:23.010	7.867
00:05:23.430	7.947
00:05:23.850	7.990
00:05:24.270	7.962
00:05:24.690	7.926
00:05:25.110	7.898
00:05:25.530	7.870
00:05:25.950	7.841
00:05:26.370	7.813
00:05:26.790	7.777
00:05:27.210	7.749
00:05:27.630	7.720
00:05:28.050	7.692
00:05:28.470	7.663
00:05:28.890	7.628
00:05:29.310	7.599
00:05:29.730	7.571
00:05:30.150	7.542
00:05:30.570	7.514
00:05:30.990	7.478
00:05:31.410	7.450
00:05:31.830	7.422
00:05:32.250	7.393
00:05:32.670	7.365
00:05:33.090	7.329
00:05:33.510	7.301
00:05:33.930	7.272
00:05:34.350	7.244
00:05:34.770	7.215
00:05:35.190	7.180
00:05:35.610	7.151
00:05:36.030	7.123
00:05:36.450	7.094
00:05:36.870	7.066
00:05:37.290	7.030
00:05:37.709	7.002
00:05:38.130	6.974
00:05:38.550	6.945
00:05:38.980	6.917
00:05:39.400	6.881
00:05:39.819	6.853
00:05:40.240	6.824
00:05:40.660	6.796
00:05:41.080	6.767
00:05:41.500	6.732
00:05:41.930	6.703
00:05:42.349	6.675
00:05:42.769	6.646
00:05:43.199	6.611
00:05:43.619	6.582
00:05:44.040	6.554
00:05:44.459	6.526
00:05:44.879	6.497
00:05:45.299	6.462
00:05:45.719	6.433
00:05:46.139	6.405
00:05:46.559	6.376
00:05:46.989	6.341
00:05:47.409	6.312
00:05:47.829	6.284
00:05:48.249	6.255
00:05:48.669	6.227
00:05:49.089	6.191
00:05:49.509	6.163
00:05:49.929	6.134
00:05:50.349	6.106
00:05:50.769	6.078
00:05:51.189	6.042
00:05:51.609	6.014
00:05:52.029	5.985
00:05:52.449	5.957
00:05:52.869	5.928
00:05:53.289	5.893
00:05:53.709	5.864
00:05:54.129	5.836
00:05:54.549	5.807
00:05:54.969	5.779
00:05:55.389	5.743
00:05:55.809	5.715
00:05:56.229	5.686
00:05:56.649	5.658
00:05:57.069	5.630
00:05:57.489	5.594
00:05:57.909	5.566
00:05:58.339	5.537
00:05:58.759	5.509
00:05:59.179	5.480
00:05:59.599	5.445
00:06:00.019	5.416
00:06:00.439	5.388
00:06:00.859	5.359
00:06:01.289	5.324
00:06:01.709	5.295
00:06:02.129	5.267
00:06:02.549	5.238
00:06:02.969	5.210
00:06:03.389	5.174
00:06:03.809	5.146
00:06:04.229	5.118
00:06:04.649	5.089
00:06:05.076	5.061
00:06:05.489	5.025
00:06:05.909	4.997
00:06:06.329	4.968
00:06:06.749	4.940
00:06:07.179	4.911
00:06:07.599	4.876
00:06:08.019	4.847
00:06:08.449	4.819
00:06:08.869	4.790
00:06:09.289	4.755
00:06:09.709	4.726
00:06:10.134	4.698
00:06:10.549	4.670
00:06:10.969	4.641
00:06:11.399	4.606
00:06:11.819	4.577
00:06:12.238	4.549
00:06:12.659	4.520
00:06:13.079	4.492
00:06:13.499	4.456
00:06:13.919	4.428
00:06:14.339	4.399
00:06:14.759	4.371
00:06:15.179	4.342
00:06:15.599	4.307
00:06:16.019	4.278
00:06:16.439	4.250
00:06:16.859	4.222
00:06:17.278	4.193
00:06:17.699	4.158
00:06:18.119	4.129
00:06:18.538	4.101
00:06:18.958	4.072
00:06:19.378	4.044
00:06:19.798	4.008
00:06:20.218	3.980
00:06:20.638	3.951
00:06:21.058	3.923
00:06:21.478	3.894
00:06:21.898	3.859
00:06:22.318	3.830
00:06:22.738	3.802
00:06:23.158	3.774
00:06:23.578	3.745
00:06:23.998	3.710
00:06:24.418	3.681
00:06:24.838	3.653
00:06:25.258	3.624
00:06:25.678	3.596
00:06:26.098	3.560
00:06:26.518	3.532
00:06:26.938	3.503
00:06:27.358	3.475
00:06:27.778	3.446
00:06:28.198	3.411
00:06:28.618	3.382
00:06:29.038	3.354
00:06:29.458	3.326
00:06:29.878	3.297
00:06:30.298	3.262
00:06:30.718	3.233
00:06:31.138	3.205
00:06:31.568	3.176
00:06:31.988	3.141
00:06:32.408	3.112
00:06:32.828	3.084
00:06:33.248	3.055
00:06:33.668	3.027
00:06:34.088	2.991
00:06:34.508	2.963
00:06:34.928	2.934
00:06:35.348	2.906
00:06:35.768	2.878
00:06:36.188	2.842
00:06:36.608	2.814
00:06:37.028	2.785
00:06:37.448	2.757
00:06:37.888	2.721
00:06:38.308	2.693
00:06:38.728	2.664
00:06:39.148	2.636
00:06:39.568	2.607
00:06:39.988	2.572
00:06:40.408	2.543
00:06:40.828	2.515
00:06:41.248	2.486
00:06:41.668	2.458
00:06:42.088	2.422
00:06:42.508	2.394
00:06:42.928	2.366
00:06:43.348	2.337
00:06:43.768	2.309
00:06:44.188	2.273
00:06:44.607	2.245
00:06:45.028	2.216
00:06:45.448	2.188
00:06:45.877	2.159
00:06:46.297	2.124
00:06:46.717	2.095
00:06:47.137	2.067
00:06:47.558	2.038
00:06:47.978	2.010
00:06:48.398	1.974
00:06:48.817	1.946
00:06:49.238	1.918
00:06:49.657	1.889
00:06:50.077	1.861
00:06:50.498	1.825
00:06:50.928	1.797
00:06:51.347	1.768
00:06:51.767	1.740
00:06:52.187	1.704
00:06:52.607	1.676
00:06:53.037	1.647
00:06:53.457	1.619
00:06:53.877	0.000
00:07:17.277	0.000
