time	Pump D:Setpoint []
00:00:00.072	0.000
00:00:18.248	0.000
00:00:18.674	1.855
00:00:19.099	6.974
00:00:19.529	13.372
00:00:19.954	18.490
00:00:20.384	23.609
00:00:20.829	30.007
00:00:21.269	31.990
00:00:26.358	31.990
00:00:26.364	25.437
00:00:26.784	17.839
00:00:27.214	12.832
00:00:27.634	12.563
00:00:28.069	12.295
00:00:28.519	11.959
00:00:28.944	11.691
00:00:29.364	11.422
00:00:29.804	11.087
00:00:30.229	10.819
00:00:30.659	10.550
00:00:31.109	10.215
00:00:31.554	9.946
00:00:31.999	9.678
00:00:32.444	9.342
00:00:32.874	9.074
00:00:33.304	8.738
00:00:33.724	8.470
00:00:34.174	8.202
00:00:34.603	7.922
00:00:35.034	7.718
00:00:35.454	7.514
00:00:35.879	7.309
00:00:36.319	7.054
00:00:36.759	6.850
00:00:37.194	6.646
00:00:37.613	6.391
00:00:38.043	6.187
00:00:38.483	5.983
00:00:38.913	5.728
00:00:39.333	5.526
00:00:39.778	5.326
00:00:40.228	5.076
00:00:40.673	4.876
00:00:41.103	4.627
00:00:41.538	4.427
00:00:41.973	4.227
00:00:42.403	3.977
00:00:42.833	3.777
00:00:43.253	3.578
00:00:43.683	2.643
00:00:44.118	0.893
00:00:44.558	0.000
00:02:11.815	0.000
00:02:11.986	-28.000
00:04:44.924	-28.000
00:04:45.424	60.000
00:04:46.954	60.000
00:04:47.651	0.000
00:04:48.984	0.000
00:04:49.011	0.138
00:04:49.451	0.298
00:04:49.871	0.458
00:04:50.291	0.618
00:04:50.711	0.818
00:04:51.131	0.978
00:04:51.551	1.138
00:04:51.971	1.298
00:04:52.401	1.498
00:04:52.821	1.658
00:04:53.241	1.818
00:04:53.661	1.978
00:04:54.086	1.980
00:04:54.501	1.950
00:04:54.921	1.926
00:04:55.351	1.901
00:04:55.771	1.877
00:04:56.201	1.847
00:04:56.621	1.823
00:04:57.041	1.799
00:04:57.461	1.775
00:04:57.881	1.751
00:04:58.301	1.721
00:04:58.721	1.697
00:04:59.141	1.673
00:04:59.561	1.649
00:04:59.981	1.625
00:05:00.401	1.595
00:05:00.821	1.571
00:05:01.241	1.547
00:05:01.661	1.523
00:05:02.081	1.499
00:05:02.511	1.469
00:05:02.931	1.445
00:05:03.351	1.421
00:05:03.771	1.397
00:05:04.191	1.373
00:05:04.631	1.343
00:05:05.051	1.319
00:05:05.471	1.295
00:05:05.891	1.271
00:05:06.310	1.241
00:05:06.731	1.217
00:05:07.151	1.193
00:05:07.581	1.169
00:05:08.001	1.139
00:05:08.430	1.115
00:05:08.851	1.091
00:05:09.271	1.067
00:05:09.691	1.043
00:05:10.110	1.013
00:05:10.530	0.989
00:05:10.950	0.965
00:05:11.370	0.941
00:05:11.790	0.917
00:05:12.210	0.887
00:05:12.630	0.863
00:05:13.050	0.839
00:05:13.470	0.815
00:05:13.890	0.791
00:05:14.310	0.761
00:05:14.730	0.737
00:05:15.150	0.713
00:05:15.570	0.689
00:05:15.990	0.665
00:05:16.415	0.635
00:05:16.840	0.611
00:05:17.260	0.587
00:05:17.680	0.563
00:05:18.100	0.533
00:05:18.520	0.509
00:05:18.940	0.485
00:05:19.360	0.461
00:05:19.780	0.437
00:05:20.200	0.407
00:05:20.620	0.383
00:05:21.040	0.359
00:05:21.460	0.335
00:05:21.890	0.311
00:05:22.310	0.281
00:05:22.730	0.257
00:05:23.150	0.233
00:05:23.570	0.209
00:05:23.990	0.199
00:05:24.410	0.198
00:05:24.830	0.197
00:05:25.250	0.196
00:05:25.670	0.196
00:05:26.090	0.195
00:05:26.510	0.194
00:05:26.930	0.193
00:05:27.350	0.192
00:05:27.770	0.191
00:05:28.190	0.190
00:05:28.610	0.189
00:05:29.030	0.188
00:05:29.450	0.187
00:05:29.870	0.186
00:05:30.290	0.185
00:05:30.710	0.184
00:05:31.130	0.183
00:05:31.550	0.182
00:05:31.970	0.182
00:05:32.390	0.181
00:05:32.810	0.180
00:05:33.230	0.179
00:05:33.650	0.178
00:05:34.070	0.177
00:05:34.490	0.176
00:05:34.910	0.175
00:05:35.330	0.174
00:05:35.750	0.173
00:05:36.170	0.172
00:05:36.590	0.171
00:05:37.010	0.170
00:05:37.430	0.169
00:05:37.850	0.168
00:05:38.270	0.168
00:05:38.690	0.167
00:05:39.120	0.166
00:05:39.540	0.165
00:05:39.960	0.164
00:05:40.380	0.163
00:05:40.799	0.162
00:05:41.220	0.161
00:05:41.640	0.160
00:05:42.070	0.159
00:05:42.490	0.158
00:05:42.919	0.157
00:05:43.340	0.156
00:05:43.759	0.155
00:05:44.179	0.154
00:05:44.599	0.153
00:05:45.019	0.152
00:05:45.439	0.152
00:05:45.859	0.151
00:05:46.279	0.150
00:05:46.699	0.149
00:05:47.129	0.148
00:05:47.549	0.147
00:05:47.969	0.146
00:05:48.389	0.145
00:05:48.809	0.144
00:05:49.229	0.143
00:05:49.649	0.142
00:05:50.069	0.141
00:05:50.489	0.140
00:05:50.909	0.139
00:05:51.329	0.138
00:05:51.749	0.138
00:05:52.169	0.137
00:05:52.589	0.136
00:05:53.009	0.135
00:05:53.429	0.134
00:05:53.849	0.133
00:05:54.269	0.132
00:05:54.689	0.131
00:05:55.109	0.130
00:05:55.529	0.129
00:05:55.949	0.128
00:05:56.369	0.127
00:05:56.789	0.127
00:05:57.209	0.125
00:05:57.629	0.125
00:05:58.049	0.124
00:05:58.479	0.123
00:05:58.899	0.122
00:05:59.319	0.121
00:05:59.739	0.120
00:06:00.159	0.119
00:06:00.579	0.118
00:06:01.011	0.117
00:06:01.429	0.116
00:06:01.849	0.115
00:06:02.269	0.114
00:06:02.689	0.113
00:06:03.109	0.112
00:06:03.529	0.111
00:06:03.949	0.111
00:06:04.369	0.110
00:06:04.789	0.109
00:06:05.209	0.108
00:06:05.629	0.107
00:06:06.049	0.106
00:06:06.469	0.105
00:06:06.889	0.104
00:06:07.319	0.103
00:06:07.739	0.102
00:06:08.169	0.101
00:06:08.589	0.100
00:06:09.009	0.099
00:06:09.429	0.098
00:06:09.849	0.097
00:06:10.269	0.097
00:06:10.689	0.096
00:06:11.109	0.095
00:06:11.539	0.094
00:06:11.959	0.093
00:06:12.379	0.092
00:06:12.799	0.091
00:06:13.218	0.090
00:06:13.639	0.089
00:06:14.059	0.088
00:06:14.479	0.087
00:06:14.899	0.086
00:06:15.318	0.085
00:06:15.739	0.084
00:06:16.159	0.083
00:06:16.579	0.083
00:06:16.999	0.081
00:06:17.419	0.081
00:06:17.839	0.080
00:06:18.258	0.079
00:06:18.678	0.078
00:06:19.098	0.077
00:06:19.518	0.076
00:06:19.938	0.075
00:06:20.358	0.074
00:06:20.778	0.073
00:06:21.198	0.072
00:06:21.618	0.071
00:06:22.038	0.070
00:06:22.458	0.069
00:06:22.878	0.069
00:06:23.298	0.067
00:06:23.718	0.067
00:06:24.138	0.066
00:06:24.558	0.065
00:06:24.978	0.064
00:06:25.398	0.063
00:06:25.818	0.062
00:06:26.238	0.061
00:06:26.658	0.060
00:06:27.078	0.059
00:06:27.498	0.058
00:06:27.918	0.057
00:06:28.338	0.056
00:06:28.758	0.055
00:06:29.178	0.055
00:06:29.604	0.053
00:06:30.018	0.053
00:06:30.438	0.052
