time	Pump D:Setpoint []
00:06:30.858	0.051
00:06:31.278	0.050
00:06:31.708	0.049
00:06:32.128	0.048
00:06:32.548	0.047
00:06:32.968	0.046
00:06:33.388	0.045
00:06:33.808	0.044
00:06:34.228	0.043
00:06:34.648	0.042
00:06:35.068	0.041
00:06:35.490	0.041
00:06:35.908	0.039
00:06:36.328	0.039
00:06:36.748	0.038
00:06:37.168	0.037
00:06:37.603	0.036
00:06:38.028	0.035
00:06:38.448	0.034
00:06:38.868	0.033
00:06:39.288	0.032
00:06:39.708	0.031
00:06:40.128	0.030
00:06:40.548	0.029
00:06:40.968	0.028
00:06:41.388	0.027
00:06:41.808	0.026
00:06:42.228	0.025
00:06:42.648	0.025
00:06:43.068	0.024
00:06:43.488	0.023
00:06:43.908	0.022
00:06:44.328	0.021
00:06:44.748	0.020
00:06:45.168	0.019
00:06:45.588	0.018
00:06:46.017	0.017
00:06:46.437	0.016
00:06:46.858	0.015
00:06:47.278	0.014
00:06:47.697	0.013
00:06:48.118	0.012
00:06:48.538	0.011
00:06:48.958	0.011
00:06:49.377	0.010
00:06:49.797	0.009
00:06:50.218	0.008
00:06:50.638	0.007
00:06:51.068	0.006
00:06:51.488	0.005
00:06:51.907	0.004
00:06:52.327	0.003
00:06:52.752	0.002
00:06:53.177	0.001
00:06:53.597	0.000
00:06:54.017	0.000
00:07:17.277	0.000
